Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm
70,2.3333,1711.6052,301.5647,5.2633,15.2293,0.3111,-11.1009,11.1053
71,2.3667,1713.3466,485.5333,8.4742,133.1301,0.6595,-11.2786,11.2979
72,2.4000,1736.0713,889.2082,15.5196,161.2781,5.2952,-10.8226,12.0485
73,2.4333,1777.5037,1262.2391,22.0302,77.9183,12.3075,-5.0970,13.3212
74,2.4667,1826.1717,1285.9647,22.4443,-53.4822,12.6514,6.2175,14.0966
75,2.5000,1869.3904,955.6535,16.6793,-140.8089,4.9205,13.0842,13.9788
76,2.5333,1895.3860,586.5548,10.2373,-123.3707,-1.2310,13.0566,13.1145
77,2.5667,1899.8369,414.2541,7.2301,-24.1637,-2.0477,11.8094,11.9856
78,2.6000,1912.1977,515.8728,9.0037,67.1197,-4.0840,10.0087,10.8099
79,2.6333,1936.3403,782.2007,13.6520,84.6350,-7.1048,6.7799,9.8207
80,2.6667,1968.7349,954.0177,16.6508,31.3797,-8.8595,1.7647,9.0335
81,2.7000,2002.7937,898.2792,15.6779,-39.9647,-7.8100,-3.2820,8.4716
82,2.7333,2031.5680,713.6756,12.4560,-66.9326,-4.9214,-6.2021,7.9174
83,2.7667,2051.0243,564.2639,9.8483,-27.5364,-2.4969,-7.2617,7.6790
84,2.8000,2064.7426,576.3887,10.0599,42.4801,-0.7384,-8.0242,8.0581
85,2.8333,2084.2610,755.4617,13.1853,85.2339,2.2294,-8.7712,9.0501
86,2.8667,2114.9979,981.6857,17.1336,67.3642,7.6740,-7.6746,10.8531
87,2.9000,2152.9685,1082.2606,18.8890,1.4161,12.8236,-1.5817,12.9208
88,2.9333,2190.7179,980.6741,17.1160,-65.8119,12.2961,7.3061,14.3029
89,2.9667,2220.9827,762.8796,13.3148,-87.6957,7.2986,13.1576,15.0463
90,3.0000,2240.6419,580.5582,10.1327,-51.9121,2.4606,14.9309,15.1323
91,3.0333,2255.6178,541.3716,9.4487,11.4811,-1.4657,14.9011,14.9730
92,3.0667,2273.9103,651.5024,11.3709,55.7382,-5.8371,13.1657,14.4016
93,3.1000,2299.0590,813.6159,14.2003,51.8028,-10.1897,8.8394,13.4895
94,3.1333,2329.7826,901.0573,15.7264,7.2602,-12.2625,2.2102,12.4601
95,3.1667,2361.4474,847.1967,14.7864,-40.2399,-10.2951,-4.0444,11.0610
96,3.2000,2388.8086,698.1392,12.1848,-51.6571,-6.2060,-7.0912,9.4234
97,3.2333,2408.7647,584.0052,10.1928,-15.8654,-3.0080,-7.7409,8.3048
