Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm
70,2.3333,1419.3107,250.2629,4.3679,-16.8970,7.8612,-2.9688,8.4031
71,2.3667,1427.0363,226.5370,3.9538,-8.0464,8.1293,-1.8714,8.3419
72,2.4000,1435.3385,218.4458,3.8126,2.2207,8.1385,-0.6636,8.1656
73,2.4333,1441.9235,232.9742,4.0662,15.9693,7.7845,0.2614,7.7889
74,2.4667,1449.6994,274.1961,4.7856,32.5140,6.9293,1.1844,7.0298
75,2.5000,1460.2527,352.7003,6.1558,48.0619,5.7737,2.1303,6.1542
76,2.5333,1473.3960,459.2457,8.0154,56.7150,4.4649,2.9436,5.3480
77,2.5667,1490.3826,574.2677,10.0229,52.1909,3.0082,3.6340,4.7175
78,2.6000,1511.2812,670.4685,11.7019,33.1354,1.4028,4.1399,4.3712
79,2.6333,1535.2898,712.2231,12.4306,5.3081,-0.3928,4.2426,4.2607
80,2.6667,1560.5031,690.8740,12.0580,-19.7676,-2.2214,3.7708,4.3765
81,2.7000,1582.0602,625.3059,10.9136,-30.0647,-3.7145,2.8958,4.7099
82,2.7333,1601.3252,556.5645,9.7139,-21.8388,-4.8777,1.6486,5.1488
83,2.7667,1618.7444,530.7485,9.2633,-1.4073,-5.6354,0.1235,5.6368
84,2.8000,1636.0436,557.3364,9.7274,19.2453,-5.8504,-1.6824,6.0875
85,2.8333,1655.2746,615.8599,10.7488,28.6568,-5.1875,-3.6695,6.3541
86,2.8667,1677.1937,678.5492,11.8429,23.2575,-3.5457,-5.5005,6.5443
87,2.9000,1701.0963,713.9376,12.4606,8.6394,-1.0275,-6.5586,6.6386
88,2.9333,1725.4565,710.1119,12.3938,-5.4587,1.7581,-6.3583,6.5969
89,2.9667,1748.8634,681.4679,11.8939,-10.6174,4.1227,-5.1160,6.5704
90,3.0000,1770.8142,657.1115,11.4688,-4.5530,5.7070,-3.1877,6.5369
91,3.0333,1792.0244,659.4662,11.5099,7.6571,6.3617,-0.8913,6.4238
92,3.0667,1814.1057,690.9860,12.0600,17.8008,5.9516,1.4956,6.1367
93,3.1000,1838.0427,736.4608,12.8537,20.2424,4.5165,3.5341,5.7348
94,3.1333,1863.5543,774.4343,13.5164,14.5055,2.3728,4.7705,5.3281
95,3.1667,1889.9171,791.0402,13.8063,3.4443,0.0074,5.1405,5.1405
96,3.2000,1916.3441,783.8143,13.6801,-9.9250,-2.3053,4.6554,5.1949
97,3.2333,1942.1039,752.8524,13.1398,-23.9585,-4.3432,3.3806,5.5038
98,3.2667,1966.5318,695.8913,12.1456,-37.4000,-5.9956,1.4359,6.1651
99,3.3000,1988.7598,613.0091,10.6990,-47.3323,-6.8564,-1.0565,6.9373
100,3.3333,2007.7949,513.3226,8.9592,-49.2246,-6.8337,-3.6022,7.7250
101,3.3667,2023.1528,417.7258,7.2907,-39.5785,-6.1871,-5.8005,8.4809
102,3.4000,2035.3988,352.8110,6.1577,-19.4128,-5.1272,-7.4319,9.0289
103,3.4333,2046.1148,337.2514,5.8861,4.0855,-3.8224,-8.6318,9.4403
104,3.4667,2057.2889,371.7792,6.4888,20.7082,-2.1245,-9.4185,9.6552
105,3.5000,2070.4598,430.0070,7.5050,23.0806,0.0779,-9.7038,9.7041
106,3.5333,2086.0144,472.8569,8.2529,10.8153,2.6305,-9.1649,9.5349
107,3.5667,2103.0210,475.5153,8.2993,-8.6587,5.0480,-7.7670,9.2633
108,3.6000,2118.5038,435.1589,7.5950,-24.4282,6.7438,-5.9656,9.0038
109,3.6333,2131.8811,370.7641,6.4711,-28.9032,7.8285,-4.1834,8.8762
110,3.6667,2143.0305,313.8461,5.4776,-21.4233,8.4397,-2.5754,8.8239
111,3.7000,2152.5306,285.2578,4.9787,-7.8425,8.7441,-1.1464,8.8189
112,3.7333,2161.5685,288.8512,5.0414,3.7812,8.8247,0.2416,8.8280
113,3.7667,2171.3475,309.5665,5.4030,8.4514,8.2750,1.6607,8.4400
114,3.8000,2182.3694,326.9139,5.7057,6.2473,7.3007,3.0046,7.8948
115,3.8333,2194.0808,332.9059,5.8103,1.2736,5.9596,4.0320,7.1954
116,3.8667,2204.5973,327.6065,5.7178,-2.2577,4.5157,4.4527,6.3418
117,3.9000,2215.3374,319.1607,5.5704,-3.0243,3.0337,4.3873,5.3340
118,3.9333,2225.9827,315.8412,5.5125,-2.8999,1.6980,3.8108,4.1720
119,3.9667,2236.5332,314.4229,5.4877,-1.3790,0.6650,2.7772,2.8557
120,4.0000,2246.9887,314.9057,5.4961,1.5384,0.0728,1.3833,1.3853
