Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm
70,2.3333,1435.5293,649.5903,11.3375,-20.6342,6.6872,-0.5229,6.7077
71,2.3667,1456.8133,577.3548,10.0767,-45.7831,6.5640,1.9835,6.8571
72,2.4000,1474.5941,463.2901,8.0859,-59.5763,5.8825,4.0572,7.1459
73,2.4333,1487.6697,339.9030,5.9324,-58.6217,5.1114,5.6114,7.5905
74,2.4667,1496.5200,234.9355,4.1004,-45.9757,4.4677,6.7551,8.0989
75,2.5000,1503.0149,165.5678,2.8897,-27.5639,3.9691,7.7949,8.7472
76,2.5333,1507.5866,131.4871,2.2949,-10.2146,3.5915,8.7078,9.4194
77,2.5667,1511.6626,129.7047,2.2638,1.0564,3.1251,9.4288,9.9332
78,2.6000,1516.0088,146.1804,2.5513,6.3586,2.4104,9.6741,9.9699
79,2.6333,1521.1424,159.5061,2.7839,9.6556,1.4781,9.4847,9.5992
80,2.6667,1528.0126,175.6277,3.0653,16.9257,0.3092,8.9110,8.9163
81,2.7000,1533.4697,213.7105,3.7300,32.1490,-0.4877,8.0434,8.0582
82,2.7333,1540.5396,288.2900,5.0316,51.3638,-1.2935,6.9522,7.0715
83,2.7667,1552.0262,408.4320,7.1285,64.8123,-2.2498,5.5610,5.9989
84,2.8000,1567.9704,547.5860,9.5572,62.8394,-3.0461,3.9030,4.9509
85,2.8333,1588.5968,663.4391,11.5792,41.4541,-3.4951,2.1337,4.0949
86,2.8667,1612.3315,719.3055,12.5542,7.3739,-3.5621,0.4796,3.5942
87,2.9000,1637.0884,693.1000,12.0969,-25.1232,-3.2873,-1.0106,3.4391
88,2.9333,1660.4393,608.4844,10.6201,-42.0176,-2.7845,-2.3731,3.6586
89,2.9667,1677.8827,513.5109,8.9625,-36.9568,-2.2605,-3.6011,4.2518
