Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm
71,2.3667,1424.4036,161.9069,2.8258,-38.5964,3.0470,-0.8505,3.1635
72,2.4000,1428.3997,97.1608,1.6958,-26.3108,2.9888,-0.6135,3.0511
73,2.4333,1430.6251,59.7977,1.0437,-14.1842,3.1716,-0.5236,3.2146
74,2.4667,1432.1630,48.1756,0.8408,-5.0288,3.4207,-0.4708,3.4530
75,2.5000,1433.8228,50.6122,0.8833,2.3771,3.6794,-0.3982,3.7009
76,2.5333,1435.9510,58.8820,1.0277,13.3363,3.7768,-0.2674,3.7863
77,2.5667,1438.5179,88.3572,1.5421,32.6835,3.7071,-0.0959,3.7084
78,2.6000,1441.7410,167.5624,2.9245,58.6829,3.6599,0.1112,3.6616
79,2.6333,1448.1339,307.8204,5.3725,80.5887,3.6752,0.5253,3.7125
80,2.6667,1461.1475,487.3522,8.5059,84.7370,3.6225,1.4013,3.8841
81,2.7000,1481.0761,653.9178,11.4130,64.9516,3.1402,2.7371,4.1656
82,2.7333,1505.7674,752.3442,13.1309,28.0382,1.8583,4.1287,4.5277
83,2.7667,1532.1193,760.4534,13.2724,-9.3074,-0.1832,4.9500,4.9534
84,2.8000,1557.1970,699.7982,12.2138,-30.4164,-2.4963,4.8579,5.4618
85,2.8333,1579.1412,622.2080,10.8596,-28.6891,-4.5702,3.9531,6.0426
86,2.8667,1597.8955,577.4717,10.0788,-10.6848,-6.1237,2.4871,6.6095
87,2.9000,1616.0579,584.3609,10.1990,8.9632,-7.0762,0.4876,7.0930
88,2.9333,1636.3174,626.9477,10.9423,17.4999,-6.9899,-2.0463,7.2833
89,2.9667,1658.5069,667.4355,11.6489,11.3629,-5.6553,-4.4995,7.2269
90,3.0000,1681.4336,674.2550,11.7680,-4.6134,-3.2954,-6.0527,6.8917
91,3.0333,1703.7282,642.5118,11.2139,-22.6719,-0.6978,-6.3495,6.3877
92,3.0667,1724.2647,581.6653,10.1520,-37.1935,1.4371,-5.6526,5.8324
93,3.1000,1742.4038,499.9831,8.7264,-46.5005,2.8251,-4.4510,5.2719
94,3.1333,1757.6676,404.9598,7.0679,-50.6710,3.4632,-3.1549,4.6848
