Frame,Theta,Omega,Alpha,CoM_X_rel,CoM_Z_rel,L_pendulum,omega_0,XCoM_X,XCoM_Z,Tilt_deg
0,-0.334839636185631,11.325979174725736,-7.522613803267586,-0.13671784921772093,-0.2649456691150128,0.3,5.718391382198319,0.11578584642100057,-0.12170275854704762,83.61800420664407
1,0.026877573629103757,11.075225381283484,-7.522613803267586,-0.10434352994427726,-0.24350942577408513,0.3202199802262468,5.534906521322407,0.13757697110917474,-0.11477840643282883,55.8240997016833
2,0.38410941218093514,10.82447158784123,-7.522613803267586,-0.07001348968922154,-0.2213771986794363,0.37601976815733446,5.107744502504636,0.17159995830643004,-0.10275159177078416,38.132353450931184
3,0.736855879469863,10.573717794398979,-7.522613803267586,-0.03463023520540237,-0.19975810249261777,0.3293032144082418,5.458037543843225,0.17225587605144926,-0.10827752533852456,37.999633960764776
4,1.0851169754958876,10.322964000956725,-7.522613803267586,0.000903726754331674,-0.17986125187518082,0.3,5.718391382198319,0.1800248284573251,-0.11118817032334306,36.83732293419671
5,1.4288927002590126,10.072210207514448,-7.522613803267433,0.03568588943713191,-0.16289576148867685,0.3,5.718391382198319,0.1964613426561933,-0.11286513719087096,33.770163639279886
6,1.7854079760268515,9.897663233898431,-6.844999730666103,0.06881374609014981,-0.15007074599465714,0.3,5.718391382198319,0.21124355082527918,-0.11868257895088312,33.388879876379086
7,2.1158695137785415,9.775920244902215,-4.794369985104581,0.0993847899605374,-0.14259532005467374,0.3,5.718391382198319,0.22346894621173374,-0.12984961026492992,35.4065797081656
8,2.409596440600433,9.685040413118422,-2.456613653754978,0.12222874085044086,-0.14442116717764578,0.3,5.718391382198319,0.22306678548257639,-0.14169744198773557,39.09977949514314
9,2.696775154475232,9.602674720584302,-0.677947552646117,0.14266848051180872,-0.16189850259193836,0.3875871866380164,5.03094764839153,0.2248191496746182,-0.1678062272426392,33.83152334906135
10,3.008573913766721,9.531490862942487,0.5078884161722286,0.16190704328159083,-0.18692523326514088,0.49760579154928003,4.440090175868965,0.21379891260957265,-0.202240625492199,29.799749779711508
11,3.342453630137074,9.470162735866303,0.9575017828188308,0.17801693877364358,-0.2072823492820065,0.5297415725728036,4.303308441777639,0.18732200160927626,-0.2315442173339023,31.04990834581832
12,3.682574553678453,9.426940873132729,-0.8174048100675861,0.18558886802018826,-0.2145581347839276,0.5122581177325869,4.376128630292748,0.15181293987835692,-0.24730189849530682,33.62791923206186
13,4.007668725381901,9.33119202924808,-4.926176946196861,0.17873783969437787,-0.20865656965873214,0.47379829910553706,4.550276158834681,0.10711477007661803,-0.2496778005480855,35.44192145980075
14,4.3153285293918096,9.075714133900801,-10.324288186514352,0.15543896351169567,-0.1962753866269941,0.437936771291048,4.732916010201175,0.05234686593923425,-0.24524430935692135,34.869155570396174
15,4.6213097563993255,8.618095494254208,-15.726866106212185,0.11953275942169342,-0.1857650499110397,0.43480605460956323,4.7499245617431844,-0.012290836557119184,-0.24252932214939033,30.533510082336676
16,4.923244978612393,7.994504173462606,-20.55998999453162,0.0786003335583324,-0.1829349629988163,0.45527135875636937,4.641938036222525,-0.07958733042977834,-0.2451839651716211,25.9339578157121
17,5.207575030546241,7.2349288019023525,-25.165939996081107,0.03942691008940169,-0.19022009418696526,0.43912325025200705,4.726517688578167,-0.12990473413529033,-0.250250600319159,26.256384947874462
18,5.456934809970637,6.086752896212894,-35.94089035709938,0.0046620649491937605,-0.20797569763325702,0.3600595710660783,5.219721405140823,-0.15092835234327934,-0.2554916664202573,35.29313240505286
19,5.655540919283526,4.948628639247362,-40.48842281545656,-0.026986108686437842,-0.23519561925245297,0.3,5.718391382198319,-0.16026906554823941,-0.26597323408053536,52.104200897506736
20,5.811878812550887,4.1527996569601155,-31.95859255826136,-0.05771685174504354,-0.268466176536176,0.3462683834499038,5.322652140248613,-0.18012891659116187,-0.280498264813252,52.46932843666029
21,5.939027733509892,3.944671291530229,-10.159175093489381,-0.08748657885361015,-0.30052597481527116,0.40594374255890553,4.91588345353436,-0.18728871175774092,-0.2829260349552701,50.44789413341101
22,6.024741200583758,4.474727600944688,20.82383569911478,-0.11302607150055395,-0.3208993802969003,0.4205920170180531,4.829520245746194,-0.1742512843354974,-0.2655315706117096,53.989883710986014
23,5.868079881395355,5.779758288937691,54.439830744051925,-0.12937025371215422,-0.31957775637638813,0.4273389125920538,4.791243944868146,-0.14707318997069668,-0.22299554882026948,53.7829372845727
24,5.922439149958811,7.76106999319825,83.06642093413384,-0.13254797551243808,-0.291891679601388,0.39793780141401575,4.96508748989872,-0.10739641464829876,-0.16096880663965177,53.66786900954233
25,6.187218004826375,10.173900729048974,99.39391401547766,-0.12150213106821546,-0.241200998334479,0.3,5.718391382198319,-0.06605014001187465,-0.10082596540987179,64.1910973937038
26,6.625398879866333,12.665376850695635,96.84239887407155,-0.09804827900755717,-0.17728068062232105,0.3,5.718391382198319,-0.01498556441766094,-0.020800662542784898,42.4769378353172
27,7.20522986612324,14.80129923215979,70.64561917053828,-0.06529612961581693,-0.11143400451001295,0.5238412334463529,4.327475955651832,0.06901025669501473,0.09816544734382471,14.273718949690847
28,7.8887453255957265,16.076513550917497,20.831057838891567,-0.026195213962285236,-0.051971902979843915,0.7032033173583264,3.735029602816866,0.13998040987426238,0.17087244670246937,4.7474845853506515
29,8.62168706122589,16.32440130609048,-20.307261462109636,0.016470674127636867,-0.003313194452546207,0.6874952762316413,3.7774580013247054,0.1713333092466451,0.17631412298677457,1.4003000284673488
30,9.332757470134261,15.764469538635717,-47.299108697073024,0.05890981643826651,0.0315320257469254,0.4811418504401043,4.515417758035048,0.16436365785274892,0.13493320218759564,7.982674502002999
31,9.9382685913006,14.63007353227568,-59.40548900419668,0.09546860138013222,0.048600936418311765,0.3,5.718391382198319,0.14921425316200654,0.08831814386764533,20.921695821660187
32,10.350228432432566,13.151462019625042,-58.11096377619816,0.11933824905608673,0.04384503545199539,0.3,5.718391382198319,0.1368299102996623,0.04226175612235803,25.074254307323816
33,10.498426499077071,11.578567713042034,-46.767457204126885,0.12471532077981981,0.016800027275590462,0.42593909295011434,4.799110534372715,0.09962657509030733,-0.02766411646996878,17.1842514450167
34,10.82778432850635,10.16630451256401,-30.29753882268264,0.10914662405928699,-0.026476682332908386,0.5147827721058895,4.365384494933253,0.03383124147609064,-0.11004085593744252,12.601788709486947
35,11.162093112392053,9.122434419272757,-14.507641841290393,0.07470256743545298,-0.07454145953839822,0.5275972525444302,4.312044569010152,-0.04181000949661329,-0.1791797767685689,11.53829733697784
