Frame,Theta,Omega,Alpha,CoM_X_rel,CoM_Z_rel,L_pendulum,omega_0,XCoM_X,XCoM_Z,Tilt_deg
0,-0.711630434343884,2.720764825437078,36.60408168792027,-0.2643650644310909,0.30877262828457863,0.5408967098912691,4.258702805583219,1.1392753528683837,-0.39164423470310183,48.720535528693404
1,-0.5841917326691094,3.9409008817010873,36.60408168792027,-0.16563937902985248,0.13155411830907968,0.44217926164354326,4.710156297624278,0.9348470850469344,-0.4130343003463687,28.578977295559014
2,-0.41957360858012493,5.161036937965096,36.60408168792027,-0.0559168149416267,-1.0165952798402156e-05,0.32722618680990023,5.475332251122625,0.7457220471310609,-0.3921920065274428,9.839060029795906
3,-0.21777606207693068,6.3811729942291056,36.60408168792027,0.05818713984850171,-0.09106789318414099,0.3,5.718391382198319,0.6868630630267567,-0.3935227401271049,21.114507104895573
4,0.0212009068404736,7.601309050493114,36.60408168792027,0.17005699735544805,-0.14676673206803342,0.3,5.718391382198319,0.6598434880205337,-0.37616419944079704,48.48443727610089
5,0.29735729817208867,8.821445106757112,36.60408168792022,0.27307726959412754,-0.17225435128756106,0.3549141133369097,5.2574223720809,0.6547408627705793,-0.34230228495366544,65.46435423178245
6,0.5511639936901943,9.993489818406285,37.2989878129754,0.36063246857945547,-0.1726784195258093,0.4301931684394735,4.775322963153365,0.6145090312260945,-0.2724084534348866,68.34886120330187
7,0.8983470955625843,11.041474866184373,34.42098400937835,0.42610710632634974,-0.15318660546586482,0.5087868712032666,4.3910315300398715,0.5213281136433691,-0.16650293692507295,62.869746549789454
8,1.3181660851473957,11.85488474395867,26.597224385698645,0.4469024078092828,-0.12300864099190123,0.5767603175742371,4.124172457313907,0.3867568482829443,-0.06273861202215901,53.481553588807095
9,1.781737522913415,12.363748829226482,14.264437690530745,0.4215922717385628,-0.07398037650624273,0.6014861182701321,4.038514991203754,0.20433873489539162,0.022541106702234748,45.36748492727937
10,2.2696002094830545,12.619599104008515,0.9976589304463062,0.3504656269983669,-0.015991963206684563,0.5695602393290585,4.1501583897677765,0.011814745916629843,0.07599699737550006,38.02221620740789
11,2.7543362312498907,12.741253690553979,-9.010896532471648,0.24115764186329847,0.03673590298055766,0.4992980285438487,4.432559541215663,-0.15964669826643296,0.09262698455226429,29.246316183615757
12,3.2036260355201205,12.697916386069158,-11.11189103786964,0.10669752952276286,0.07095759874503339,0.44017234653074055,4.720881793661839,-0.30632386634743636,0.07489338940379321,16.924342175668635
13,3.5916260489150744,12.578515278159848,-7.632161432407841,-0.036500496472682276,0.07918976975370273,0.44533013521153275,4.6934636794394455,-0.4420176569737298,0.022236953348635992,11.291631290975838
14,3.928375343438857,12.438042514423229,-1.9715189353555047,-0.17034706928256174,0.060750822049305264,0.5065353534623345,4.400779638904366,-0.5422682748896994,-0.06793506743074562,20.918804526184008
15,4.285289800818226,12.340047789939184,3.6584362961484516,-0.2772214524115875,0.019215423372386055,0.5695465231653665,4.150208362778575,-0.5597715873918641,-0.1818131903429942,29.203207751881816
16,4.708309738642354,12.357893824402943,7.681902172786636,-0.3427699672441877,-0.04067706677404582,0.5990270449748943,4.046795780313795,-0.48339048640327315,-0.2966288186691457,35.18555578667738
17,5.164938138692472,12.512442364188558,8.642149753248233,-0.35846105240394094,-0.11395455819450903,0.5941878316458021,4.06324141901004,-0.33399910061880306,-0.39317156753383387,39.273964389632525
18,5.615293122934768,12.74670149443413,6.045402836603799,-0.32283441323402506,-0.19415770020561401,0.5773424700034654,4.12209266700787,-0.14122765925078634,-0.46362889570499016,40.73111443446794
19,6.039446993300735,12.941373307128112,1.4566019046243213,-0.2412530353628316,-0.27207157934480825,0.5676132371560699,4.157270142544509,0.0710096029402093,-0.5044369401870731,39.83865850315172
20,6.458568011730735,12.970163756552786,-2.4373768227417685,-0.12470745197374206,-0.3364785418383133,0.5645013682492512,4.168713072925759,0.2789916606250099,-0.5095246575501081,39.47080563388277
21,6.893448775505689,12.807858541209539,-5.04502797996048,0.01172530312030444,-0.37695567680071385,0.5643032019473371,4.169444971963418,0.4579363511017129,-0.47563136604870065,41.93792621142057
22,7.336783766492705,12.488065004796905,-8.701050344459148,0.15047265228189932,-0.3870546671341631,0.5750867433176162,4.130169026290828,0.5898810742957307,-0.4055476099393931,46.22883544390452
23,7.772579941420962,11.975000701245431,-15.86197964332942,0.27330100783653805,-0.36626208471547317,0.6028746949487307,4.033861436699685,0.659362240099443,-0.3059291223589708,49.29003661560799
24,8.191740006989352,11.55247342335651,-18.40822546050005,0.3639305839033897,-0.32006862824262217,0.6364078316849379,3.9261487162273894,0.6505482927555222,-0.1899873556505958,49.600687698610656
25,8.586017312111512,11.448903816223657,-10.55929006745204,0.4113110791803891,-0.2581865304407707,0.6549363147263257,3.8702138949928466,0.5608985614572153,-0.07863033958593132,47.85874109796032
26,8.94911153616099,11.792559625146243,7.472037705652639,0.4120669925989494,-0.1916611277045815,0.6425710602225654,3.9072744963016635,0.41065728251984435,0.006898003437413119,45.011713239498754
27,9.258760522389705,12.585898175049948,29.81317048009177,0.37039844914175873,-0.1302713712468929,0.5941423013604165,4.063397103091844,0.23602957542230857,0.05383784280807666,41.36478065580737
28,9.479164703177217,13.687202589792957,48.10631567792363,0.2954595850754378,-0.08131886054197898,0.5186883605672664,4.3489183349106915,0.07293856532315196,0.06199943178993275,36.21446621369373
29,9.867977853802618,14.842603874804205,54.556150185693184,0.19829263475818504,-0.049726077226958224,0.4485570326251673,4.676550932778456,-0.061708947429307714,0.04175809697623742,27.113580342440358
30,10.443432447424808,15.822471369502411,45.670079019149,0.09057469308192972,-0.038426247043325895,0.4356713800491248,4.7452050946172735,-0.17597462643672956,0.003277099525060591,13.051839718593982
31,11.149249621240944,16.466643394135104,22.967301217776622,-0.014637385251542743,-0.04809244936803185,0.49364618149695516,4.45786192416596,-0.26600324158984495,-0.054359069131586786,5.844868287183967
32,11.895296369999194,16.6179970751079,-9.399930729341293,-0.10230120650348073,-0.07626097565098143,0.5749031400433582,4.130828486962474,-0.30001380947629797,-0.12845704947719525,12.823422146257005
33,12.589505533928968,16.14606255625863,-42.63623754517266,-0.15719040776270982,-0.11694648314502737,0.6316712525704593,3.9408413135205844,-0.26009676954216904,-0.20349014824376446,18.0691138223407
34,13.156765515699025,15.140273793977808,-57.51774369165426,-0.1681525605859226,-0.16169900453195896,0.6398617522829555,3.9155378653778974,-0.15486596271369743,-0.26204859806333497,21.382133440293032
35,13.601885772309672,13.880463516017123,-53.52153229770414,-0.13256549807360435,-0.20180769099922166,0.5975925197018492,4.051650050515314,-0.010683566744519021,-0.2938000404894666,23.831250422788326
36,13.964605481179099,12.62864488294978,-37.63155686239341,-0.058215556116970824,-0.23046921687841349,0.5221745306046103,4.334376780777976,0.14056851080818902,-0.2980482597406704,27.079552102814255
37,14.243209927449321,11.553529357389651,-19.59618493497308,0.03891029586177928,-0.2439879679212355,0.44254171325119807,4.708227040591523,0.2738085395256925,-0.2809505621515362,33.93832587903049
38,14.47337280902968,10.705984197203925,-7.8243846973576865,0.14019416112849112,-0.2418290735433889,0.3983002687672983,4.962827772930815,0.3806087826111752,-0.2501318561247952,44.57170126350526
39,14.860317137562852,9.897329716478872,-9.597031315949778,0.23034959691554435,-0.22597964383438426,0.42140986762884797,4.824831527406713,0.4610130001795023,-0.2094096946777519,49.97242753726715
40,15.2836893988576,8.80422207734615,-26.512726583467355,0.300239838985335,-0.20028011669389667,0.4821967006162125,4.510476105603982,0.4961217741718499,-0.16301320259863128,48.45807439982656
41,15.682146735110418,7.205245611701839,-53.98482184165749,0.345352095678768,-0.16993808387424197,0.5218013135792287,4.335926579535634,0.4722028201525621,-0.12139535257602296,47.530309936918975
42,16.012491262906803,5.003133351916857,-85.12208553422926,0.362425171521662,-0.14090170264307356,0.5169716274989049,4.356133183529608,0.40261529534807355,-0.09379708250130853,48.77881915971145
43,16.256768427337963,2.159190460327073,-110.35483995272637,0.34824168752009876,-0.11889145137172831,0.4907949105263469,4.470792136916998,0.30909221026205824,-0.08301526725905753,48.56943754584314
44,16.324531673694484,-1.214115548988076,-119.32409438193741,0.30225274134802727,-0.10826236856298901,0.490385214663364,4.47265932477083,0.20282990360303094,-0.08789035619709723,40.8971514866057
45,16.182225940691225,-4.392312130339439,-107.95163552474799,0.23065424336536333,-0.1109544447964074,0.5381146342278367,4.269697450989174,0.09032675281409105,-0.10736571312319373,28.40160970041542
46,15.88220324498172,-6.735650752582725,-73.84918975285461,0.14769945208573915,-0.12582921096202865,0.6022678571433865,4.035893160030281,-0.008001765998621957,-0.13808610192566026,18.794066986445955
47,15.46070350650301,-7.758148382622414,-20.294565522896818,0.07218835729268441,-0.1487527686563665,0.6289601612511028,3.9493255490347057,-0.06579291828479253,-0.17120878151105678,15.241272203878616
48,14.954921979386654,-7.200174224209519,43.38264866720496,0.021027169306040726,-0.17362184174861062,0.5832648464019299,4.10111174259891,-0.07128604641831685,-0.19625888071901496,17.44844287664844
49,14.432869312212429,-5.147806686319278,100.13562359583447,0.003766283788220791,-0.19413246722789085,0.473075412430793,4.553751374731634,-0.03373193755009749,-0.2071817389491862,24.232468023378207
50,14.103515665782606,-2.0174659692331325,136.2886498442158,0.020774108365071996,-0.20561440966384115,0.34829943914019995,5.307110327773167,0.026586090969940638,-0.2045093323568836,36.39463089646816
51,14.056337827885454,1.7221171893021143,147.685051766149,0.06497160405075514,-0.206040668636081,0.3,5.718391382198319,0.0961911972939139,-0.1903874750214693,46.06598978772392
52,14.301335437803598,5.61548566393591,134.61759733210843,0.12514727725971686,-0.19578938395075185,0.3,5.718391382198319,0.16596292114761835,-0.16562534967340078,50.76544124845355
53,14.787772389851819,9.17157312528476,101.45155542102782,0.18869238250201875,-0.176699217529384,0.3,5.718391382198319,0.21937343503765852,-0.1357289928594223,59.50800424719379
54,15.345584496206808,11.955571776232311,58.562679968799415,0.242849991435275,-0.1514129890208215,0.361706320713552,5.207825870631184,0.24491427933902185,-0.10191399795808667,52.29863284634731
55,15.872545479096408,13.75861758887886,22.32068457686509,0.27527541274717154,-0.12337458878842104,0.42738773788647993,4.790970258286686,0.22763458992175084,-0.07457932122338914,44.895766771192626
56,16.399692910176725,14.603100031243121,-1.0674030162237216,0.2754629641659889,-0.09697828261625513,0.4385884702495815,4.729398381162025,0.1717529663006121,-0.062375137793402084,41.74777715089388
57,16.915989437397506,14.672553358489004,-12.022143907109808,0.23766428096587972,-0.0772411976515594,0.3847136168658621,5.049701707302178,0.09526720656536825,-0.0654966476267017,40.50969541393751
58,17.381206952312816,14.345701157906557,-12.957555122695709,0.1641558061676028,-0.0688235272743689,0.3,5.718391382198319,0.013044925869467983,-0.07925444223672246,36.393781299772904
59,17.80604701305346,14.001798899808804,-9.703420063556166,0.06667388975547961,-0.07470869534791687,0.3,5.718391382198319,-0.08931456145980568,-0.10449383611677993,19.498345978236923
60,18.283369805641826,13.804634178107356,-5.000212910528404,-0.03559008794448197,-0.0950848418125879,0.3,5.718391382198319,-0.17370800606884834,-0.13901931507419368,19.780893850749706
61,18.745747808503143,13.789498800603042,2.0141918031232535,-0.12114252282402592,-0.12687892886904428,0.3104456524065681,5.621364058588715,-0.22188071653189206,-0.1778137104211326,34.40738214498368
62,19.162452958103685,13.974117300057546,9.066783679993932,-0.17231732881643266,-0.16416893308558506,0.4014220852157247,4.943492417994172,-0.22304528665458537,-0.21836780093524016,36.362773919019915
63,19.59905479850479,14.263507989330794,12.162543655547154,-0.17976866820734794,-0.19944166842131747,0.4390071953173774,4.727142392978922,-0.15652407345766492,-0.24140848697822032,37.70627304496966
64,20.062370952675934,14.338751249374706,6.982772646669275,-0.14384269210915152,-0.22531745259592273,0.41966155300091107,4.83487123239806,-0.04917304323617902,-0.24387694579733155,39.567264880328054
65,20.555523664305397,14.109366845783,-2.6329401958388985,-0.07299593878522263,-0.23612882490536133,0.36863368067117397,5.158661096793049,0.06928176341200949,-0.22869214259802512,42.10260374429557
66,21.098646504202158,13.753556350473541,-13.854559914529602,0.01930564513847601,-0.2289615533314287,0.3309792141635343,5.444200905448458,0.18307696737194554,-0.19917124475926448,43.965486154091856
67,21.657775968363396,13.371071935271441,-22.27705868575424,0.11745315466413067,-0.20426689659591435,0.3339311930519308,5.42008389880463,0.2846793372890013,-0.1566342970527506,44.87934906037448
68,22.166669686536203,13.053803638829034,-21.729587606408643,0.20551174870102962,-0.16619799098796884,0.35573396919930156,5.251360517882277,0.3544881253224619,-0.10769050461784245,47.98618730014019
69,22.501503270364054,12.883477221465697,-12.448658771739247,0.26866881867853104,-0.1222901024497271,0.3646078158457018,5.187062926570335,0.37472666374636693,-0.06472238165346006,54.05811158099736
