Frame,Theta,Omega,Alpha,CoM_X_rel,CoM_Z_rel,L_pendulum,omega_0,XCoM_X,XCoM_Z,Tilt_deg
0,3.0050316892314046,-0.7054056609633002,-49.03280271202965,0.24686658161687058,-0.2714958240092178,0.44022949797893474,4.720575346695282,-0.11949220821159334,-0.3716663346936467,56.46463112488974
1,2.9818841308716637,-2.339832418030955,-49.03280271202965,0.2656242823547616,-0.22741242344199936,0.39920048258993396,4.957228922404389,-0.059643442958964565,-0.29410210218194044,61.15624798113772
2,2.8972355901785063,-3.9742591750986094,-49.03280271202965,0.2585405842000928,-0.20341549118011576,0.3816314526257497,5.0700521151837545,-0.03641277044332697,-0.2405609802342,59.54290782295659
3,2.7510860671519324,-5.608685932166265,-49.03280271202965,0.23068402049310818,-0.19506954224957368,0.39616498547745355,4.976184332377149,-0.046321631158959015,-0.2043262585092971,49.691548895133
4,2.543435561791942,-7.24311268923392,-49.03280271202965,0.18712312457405178,-0.19793909167637988,0.43501827289201755,4.748765824440958,-0.0785108389663518,-0.17768049900978378,38.766780081099554
5,2.27428407409854,-8.877539446301611,-49.0328027120293,0.1329264297831677,-0.20758865448654096,0.4780059067977641,4.53020517703702,-0.11969696083343717,-0.1549487094698185,31.04325248331079
6,1.8997419918448046,-10.247832637451719,-39.93871263927595,0.07316246946069999,-0.21958274570606368,0.5121719248849708,4.376496841729109,-0.161600203359277,-0.13258709504530064,26.86565106955904
7,1.48617880091164,-11.321832783460504,-28.393790695891784,0.012899776946892259,-0.22948588036095563,0.530572252410201,4.299938427806824,-0.19883358053688158,-0.10785562028416983,25.671321904549
8,1.0504024571694668,-12.111613718608577,-16.82828952740622,-0.03023167057503312,-0.2201023670450239,0.5265671149734834,4.3162603931790215,-0.20654408184632062,-0.0824873284258836,24.955825075148535
9,0.597265045716872,-12.62701154004434,-7.028025145699361,-0.06958071781447599,-0.19594780115415789,0.5036612308874473,4.413318212717819,-0.18804477573776973,-0.04582208066427754,24.383817157603378
10,0.1453328636917228,-12.847552946633698,0.5741836508110758,-0.10041070708804259,-0.15617200106826706,0.48184709558180716,4.512112100968785,-0.1510884205979725,-0.0006450089622677957,22.663743684181252
11,-0.28454404605606815,-12.739808623674511,6.318718489774405,-0.11498958672815582,-0.10402366375351974,0.4920923737081192,4.464894345048688,-0.09566478412484651,0.05104194117141225,18.367028478407143
12,-0.697400556644908,-12.357618027066678,13.09587451199771,-0.10685914727474155,-0.047006528153539937,0.5515316452980079,4.217443621306325,-0.01443003888406108,0.10095238265969787,12.220069070280152
13,-1.123251824018575,-11.707489216571918,21.09543411939555,-0.07433380688998403,0.004817483594471492,0.63043106567569,3.9447156296509878,0.09231408182947584,0.1304505255114606,6.785741259655147
14,-1.5507555958370811,-10.823545550554554,29.290918123324133,-0.02127515897217829,0.04188799668669304,0.6708198649037744,3.824120302867581,0.20721342717786545,0.12409336460462059,4.016029015848942
15,-1.9457152844488632,-9.764165039789527,36.739846514300865,0.044270709474716397,0.05798676636517729,0.6350426583042537,3.9303665401492203,0.3065865614882745,0.0818873955622158,6.596777361095581
16,-2.2798208001293396,-8.57839544053539,42.340486046320976,0.11223849710586656,0.05146204439887533,0.5321244777247272,4.293662313770466,0.37656323458225727,0.01932732258195987,13.417183868538698
