Frame,Theta,Omega,Alpha,CoM_X_rel,CoM_Z_rel,L_pendulum,omega_0,XCoM_X,XCoM_Z,Tilt_deg
0,2.792191306744065,-17.21689866706802,32.83473082299577,-0.016233004058561682,-0.07279923786126251,0.3,5.718391382198319,-0.34067206608729017,-0.09327930108762533,14.396088056845109
1,2.2450224208017673,-16.122407639634826,32.83473082299577,0.08401452209345037,-0.1033679824406819,0.3,5.718391382198319,-0.21035320280687372,-0.11179778031204321,26.360288670722742
2,1.7322575891268563,-15.027916612201635,32.83473082299577,0.12900486003630748,-0.1201561587723817,0.3478706380903755,5.310380212296221,-0.1555981487429038,-0.11625752077843185,30.449705327302237
3,1.2538968117193316,-13.933425584768443,32.83473082299577,0.1285778375657595,-0.12519916658128194,0.41347745279243475,4.87089297956347,-0.14640059384598544,-0.10680184518801819,25.72385258445166
4,0.8099400885791936,-12.838934557335252,32.83473082299577,0.09257328247755633,-0.12053240559230259,0.4611726368559337,4.612142723850615,-0.160547860103635,-0.08616236835197211,19.241517636435386
5,0.4003874197064418,-11.744443529902066,32.83473082299583,0.030831022567447904,-0.10819127553036367,0.4833924029713678,4.504894174548121,-0.19014445928661858,-0.05770670432320062,13.457674824552836
6,0.003228775945486822,-10.686780879876286,32.89006636496564,-0.046809114368816046,-0.09021117612038519,0.48461314709960795,4.499216665876891,-0.2298435283551003,-0.024347314408093776,12.105865948127608
7,-0.3413944629234631,-9.702546025433795,30.988569496487052,-0.13050730053548615,-0.06862750708728751,0.483405647873759,4.5048324589965985,-0.27514127231586405,0.012450739701840532,17.75973107277048
8,-0.6340006889559505,-8.844032025636851,26.6273911482767,-0.20293641698424847,-0.05184411109842482,0.5022368949634829,4.419571832536183,-0.29835441013657477,0.04093338863228575,24.64799901430499
9,-0.8785694377821787,-8.160247371240565,19.777036229503548,-0.26030115379977325,-0.03338212922305037,0.5427021853597085,4.251612923428098,-0.2661960931755762,0.06108096492751571,28.918639585224582
10,-1.1023133890834116,-7.680495922035957,11.148578588041829,-0.28844302626722107,-0.01308630504628143,0.5748619015455855,4.130976649595929,-0.17637829143480077,0.07045674825454705,30.1507387159395
11,-1.3188810046316837,-7.399572032652712,2.259797033244741,-0.27546603424481664,0.007756413046532357,0.5613433266730612,4.180422934250546,-0.04492057702256316,0.0672698281915162,29.401132539029714
12,-1.5383398538704882,-7.307609799720687,-3.6286070934842236,-0.21509095489028113,0.026134907812713062,0.4856393570414277,4.494460479501755,0.09750845983886314,0.05320825697598505,26.49758703808242
13,-1.7718898042017792,-7.299160982710349,-4.851785996915954,-0.1100186120492192,0.03800293336158603,0.3642710910018863,5.189459780932309,0.22282128878181007,0.03245029557376941,18.634785895799563
14,-2.0268212032722936,-7.243364668665166,-0.8190975042070718,0.026787526605750827,0.03964596610742933,0.3,5.718391382198319,0.35723614726826824,0.005167529993504866,9.177373690249851
15,-2.299841088976348,-7.010188406104165,7.457567710864502,0.17443839071220588,0.029229113798089484,0.30584972921284953,5.663441952008699,0.505051095092772,-0.037423368018557474,35.330459315219244
16,-2.5761409990424875,-6.534870076466902,18.11487732870181,0.30950661144178715,0.007794674998385541,0.45749564858987224,4.630640009710123,0.6733490218398259,-0.11447450794627216,42.58927143232961
17,-2.8334281916766884,-5.836029816618108,27.90156288106909,0.41211040978371494,-0.021258187238502754,0.599693253956396,4.044547330081653,0.7465312015875458,-0.20641214960578796,43.481133409458494
18,-3.048454870234288,-5.026858768230119,32.66587829905322,0.4701632996341555,-0.05445586462575305,0.6709604155863333,3.82371974952884,0.7109879520249393,-0.2915814288956623,44.86318715290575
19,-3.2040179826319153,-4.281514572998933,29.307664729553025,0.480572598722109,-0.09073377423114198,0.651291801363578,3.8810273037525103,0.59529806881727,-0.3538588142438067,48.66946583231867
20,-3.294460313864034,-3.779027012220703,17.418145575222894,0.44803747493277724,-0.13175982971531747,0.5604236740511578,4.183851555458126,0.44342755562072866,-0.3896232339457281,56.44086951971022
21,-3.3315748983296682,-3.6537238794924742,-0.48310890460235356,0.3831455849254424,-0.17947640190415567,0.4465207900350236,4.687201904413174,0.2916652715764132,-0.4084583164117418,71.3598821620573
22,-3.3536299793658686,-3.9686376925670004,-19.981601668190372,0.3007508205911905,-0.23286265175669402,0.35819201409381224,5.233311118808064,0.15615265650519167,-0.42465220870905684,90.0
23,-3.4163199102973976,-4.719206152404996,-36.56565696097951,0.2179966537102439,-0.28668029125729905,0.31722112348378784,5.561007159860088,0.038932421456673055,-0.4434132941251501,90.0
24,-3.5584623401668836,-5.83576391136927,-46.882520266219295,0.1508098285186392,-0.3332974380203063,0.3190278632994644,5.545238069199829,-0.0574790216157377,-0.4556291265482735,90.0
25,-3.7879540337407875,-7.176266041568761,-49.13163515374154,0.10904579029348059,-0.3662155036605759,0.35492916307486716,5.2573109080536735,-0.12944284322370764,-0.4472955781072182,90.0
26,-4.089158650892957,-8.54385244193517,-43.50246967956793,0.09252098351810002,-0.3826908110199385,0.4172274843650848,4.8489538309610465,-0.17847598366150147,-0.40801412332099896,70.67360513189989
27,-4.438288031452264,-9.73710295782002,-32.44338056391127,0.09082833037397418,-0.38370361846761225,0.4910343806411836,4.469701834779346,-0.2117654668738893,-0.3356327085482581,53.418855482889015
28,-4.8214528810663895,-10.60771023894233,-19.457853405579627,0.08783563334278746,-0.3714894645695991,0.5543453109491339,4.206726860571939,-0.23907548128136655,-0.23857715062307447,43.52082571821814
29,-5.229417957367814,-11.086361418471364,-6.949071593656498,0.06849598604247474,-0.3465163892598909,0.5871712263339353,4.0874468740610945,-0.2679360085875738,-0.1320118336834121,36.98202479956256
30,-5.6431607121565275,-11.171359854833494,4.2549697768811825,0.024230736908340406,-0.30642943282613716,0.5817444248581107,4.10646748778735,-0.3003841982476029,-0.029632191620902915,31.89650824853242
