frame,timestamp_sec,x_0,y_0,z_0,vis_0,x_1,y_1,z_1,vis_1,x_2,y_2,z_2,vis_2,x_3,y_3,z_3,vis_3,x_4,y_4,z_4,vis_4,x_5,y_5,z_5,vis_5,x_6,y_6,z_6,vis_6,x_7,y_7,z_7,vis_7,x_8,y_8,z_8,vis_8,x_9,y_9,z_9,vis_9,x_10,y_10,z_10,vis_10,x_11,y_11,z_11,vis_11,x_12,y_12,z_12,vis_12,x_13,y_13,z_13,vis_13,x_14,y_14,z_14,vis_14,x_15,y_15,z_15,vis_15,x_16,y_16,z_16,vis_16,x_17,y_17,z_17,vis_17,x_18,y_18,z_18,vis_18,x_19,y_19,z_19,vis_19,x_20,y_20,z_20,vis_20,x_21,y_21,z_21,vis_21,x_22,y_22,z_22,vis_22,x_23,y_23,z_23,vis_23,x_24,y_24,z_24,vis_24,x_25,y_25,z_25,vis_25,x_26,y_26,z_26,vis_26,x_27,y_27,z_27,vis_27,x_28,y_28,z_28,vis_28,x_29,y_29,z_29,vis_29,x_30,y_30,z_30,vis_30,x_31,y_31,z_31,vis_31,x_32,y_32,z_32,vis_32,angle_right_elbow,FPS,angle_right_elbow_smooth,angular_velocity_deg_s,angular_acceleration_deg_s2
0,0.0,0.5357339382171631,0.3703843057155609,-0.6987584233283997,0.9999181032180786,0.5330848693847656,0.3564985990524292,-0.7223660945892334,0.9999558925628662,0.5328168272972107,0.35458919405937195,-0.7226247787475586,0.9999183416366577,0.5387755632400513,0.35556548833847046,-0.7226588726043701,0.999957799911499,0.5342267155647278,0.3627716302871704,-0.7283176183700562,0.9999758005142212,0.534621000289917,0.36447829008102417,-0.7285597324371338,0.9999575614929199,0.5340222120285034,0.3653217554092407,-0.7289260029792786,0.99997878074646,0.5374205708503723,0.33712679147720337,-0.6751714944839478,0.9999655485153198,0.5326781868934631,0.34546613693237305,-0.7028065323829651,0.9999715089797974,0.5335713028907776,0.36213719844818115,-0.6607839465141296,0.9997720122337341,0.5327886939048767,0.3648546040058136,-0.6700087785720825,0.9998657703399658,0.5113892555236816,0.31341609358787537,-0.4733784794807434,0.9999208450317383,0.5353481769561768,0.33343905210494995,-0.5096114873886108,0.999937891960144,0.4767640233039856,0.2872214913368225,-0.186545267701149,0.01941867731511593,0.5064947009086609,0.3034340739250183,-0.23316062986850739,0.03433649241924286,0.49001267552375793,0.31229597330093384,0.10810092091560364,0.0014610395301133394,0.5192956328392029,0.3162626624107361,0.07106733322143555,0.00041613532812334597,0.4942062199115753,0.30843329429626465,0.1432618647813797,0.0017182831652462482,0.5161433219909668,0.31376975774765015,0.10271555930376053,0.00026568080647848547,0.49754759669303894,0.30711424350738525,0.11935145407915115,0.0014524235157296062,0.516401469707489,0.31242606043815613,0.09570082277059555,0.0002650988462846726,0.4965660870075226,0.3119036555290222,0.10836060345172882,0.001728406990878284,0.5117746591567993,0.31137537956237793,0.07766614109277725,0.00027034690720029175,0.5187385082244873,0.44250741600990295,0.034973565489053726,0.999848484992981,0.5229490995407104,0.45821115374565125,-0.034924961626529694,0.9999536275863647,0.5098373293876648,0.5567758679389954,0.3241576552391052,0.00013471399142872542,0.5380136370658875,0.5936504602432251,0.09275048226118088,0.015442803502082825,0.52826327085495,0.6072044372558594,0.7230681777000427,0.0006938738515600562,0.5201952457427979,0.7912625074386597,0.30219176411628723,0.11378597468137741,0.5356185436248779,0.6167470216751099,0.7630496621131897,0.0029220725409686565,0.513787567615509,0.8180580139160156,0.3247952163219452,0.03453977778553963,0.5212268233299255,0.6151546239852905,0.7755696177482605,0.0005166176124475896,0.5327711701393127,0.834061861038208,0.2786807119846344,0.016535239294171333,168.02824233551823,30.0,151.20096911423397,-205.50849604271036,977.0496075409384
1,0.03333333333333333,0.5721415281295776,0.3861551582813263,-0.47409480810165405,0.9992314577102661,0.5731074213981628,0.38158202171325684,-0.49302753806114197,0.999651312828064,0.5730551481246948,0.3844452202320099,-0.49328142404556274,0.999411940574646,0.5731379985809326,0.38721010088920593,-0.49327772855758667,0.9997296929359436,0.5722261667251587,0.3732365071773529,-0.5094603896141052,0.9998690485954285,0.5697776675224304,0.37117624282836914,-0.5097522139549255,0.9998259544372559,0.5672275424003601,0.3690890073776245,-0.5100738406181335,0.9999229907989502,0.5745051503181458,0.3528507351875305,-0.45989495515823364,0.9998220801353455,0.5515927076339722,0.34575873613357544,-0.537061333656311,0.9999219179153442,0.5639584064483643,0.3808337450027466,-0.44372114539146423,0.9994347095489502,0.5588285326957703,0.3760922849178314,-0.4674447476863861,0.9997303485870361,0.5514754056930542,0.3258316218852997,-0.31737619638442993,0.9999134540557861,0.5012022852897644,0.3359796404838562,-0.4193265736103058,0.9999417662620544,0.5226897597312927,0.2955330014228821,-0.10113416612148285,0.018031790852546692,0.4505428969860077,0.31086593866348267,-0.22578176856040955,0.049553047865629196,0.49459677934646606,0.31136059761047363,0.09709098935127258,0.0014242925681173801,0.5202586054801941,0.2955690622329712,0.013490862213075161,0.0007703846204094589,0.49401038885116577,0.3094707131385803,0.11886895447969437,0.0017127146711573005,0.5296347141265869,0.29823461174964905,0.031124461442232132,0.00045199907617643476,0.4939480721950531,0.30807551741600037,0.10623225569725037,0.0014472242910414934,0.5294808149337769,0.299974262714386,0.03533296659588814,0.0004178864764980972,0.49613243341445923,0.31035685539245605,0.09842102229595184,0.0017103528371080756,0.5257127285003662,0.30055922269821167,0.02314796671271324,0.0003813676885329187,0.5301138758659363,0.4388972818851471,0.04312955215573311,0.9998617172241211,0.4927436113357544,0.43900901079177856,-0.04307425022125244,0.9999580383300781,0.5123677253723145,0.5558607578277588,0.24797801673412323,0.0001326898782281205,0.5029497742652893,0.602417528629303,-0.061362024396657944,0.03212643414735794,0.49356672167778015,0.5024129152297974,0.5583979487419128,0.0006832961807958782,0.48929399251937866,0.8295647501945496,-0.01281663402915001,0.16982290148735046,0.4949626624584198,0.4897693693637848,0.5891018509864807,0.0033064219169318676,0.47839805483818054,0.8474776148796082,-0.007935591042041779,0.061811357736587524,0.46251818537712097,0.48868516087532043,0.5761398077011108,0.0005729398690164089,0.5028740167617798,0.894321084022522,-0.11316236853599548,0.03966813534498215,149.01554887144493,30.0,144.3506859128103,-172.94017579134575,1465.5744113114074
2,0.06666666666666667,0.6101115345954895,0.3858456611633301,-0.10891552269458771,0.9992445707321167,0.6072209477424622,0.3929714262485504,-0.12932880222797394,0.9996199011802673,0.60377037525177,0.4024088680744171,-0.12934596836566925,0.9993593692779541,0.5993691682815552,0.40803295373916626,-0.12936174869537354,0.9996802806854248,0.6151912808418274,0.38193148374557495,-0.1401655375957489,0.9998632669448853,0.6175966262817383,0.380313515663147,-0.1403680145740509,0.9998184442520142,0.61984783411026,0.3786018192768097,-0.1403786540031433,0.9999176859855652,0.5901235938072205,0.4060286283493042,-0.17166844010353088,0.9997395873069763,0.617681086063385,0.374986857175827,-0.22598929703235626,0.9999012351036072,0.6017181277275085,0.3789266049861908,-0.11369819939136505,0.9994150996208191,0.6088078618049622,0.37414395809173584,-0.13067930936813354,0.9997188448905945,0.542415976524353,0.35831311345100403,-0.1884148269891739,0.9999194741249084,0.5800973176956177,0.343137264251709,-0.21486081182956696,0.9999465942382812,0.5100785493850708,0.33661511540412903,-0.2799925208091736,0.061579979956150055,0.5589579939842224,0.2818742096424103,-0.25274863839149475,0.09390490502119064,0.5014150142669678,0.33417677879333496,-0.40409818291664124,0.02983158454298973,0.5071441531181335,0.29872024059295654,-0.27914100885391235,0.017511604353785515,0.5013784766197205,0.3424525856971741,-0.43716371059417725,0.04806390404701233,0.5002455711364746,0.2993711829185486,-0.2944791615009308,0.030149830505251884,0.5061665177345276,0.3504007160663605,-0.4399658441543579,0.040755562484264374,0.4906077980995178,0.30796346068382263,-0.3098880350589752,0.0252899881452322,0.5074951648712158,0.3491068482398987,-0.4087710976600647,0.044080596417188644,0.49399134516716003,0.3097359240055084,-0.28719809651374817,0.03058999590575695,0.529184103012085,0.4030352830886841,0.02531745471060276,0.9998745322227478,0.5558107495307922,0.39649125933647156,-0.025520116090774536,0.9999621510505676,0.4942154288291931,0.49011072516441345,0.16752861440181732,0.09475146979093552,0.49231159687042236,0.6018914580345154,-0.21501734852790833,0.12884527444839478,0.44315212965011597,0.5179688334465027,0.2962261438369751,0.009787355549633503,0.4752400517463684,0.8255089521408081,-0.332424521446228,0.252727210521698,0.4358210563659668,0.5136519074440002,0.3047370910644531,0.042267847806215286,0.4630102217197418,0.8648199439048767,-0.3498336672782898,0.1554197371006012,0.4189172089099884,0.522649347782135,0.25053417682647705,0.027501344680786133,0.4708847105503082,0.8772119879722595,-0.49020057916641235,0.13532239198684692,103.52957241881397,30.0,139.6716240614776,-107.80353528861653,1954.0992150818768
3,0.1,0.6190338730812073,0.4740581810474396,-0.1009724959731102,0.9993190765380859,0.6266489028930664,0.4723769724369049,-0.1307723969221115,0.9996573328971863,0.622123122215271,0.47172436118125916,-0.13098616898059845,0.9994229078292847,0.6208550333976746,0.471524178981781,-0.13101305067539215,0.999711811542511,0.6214762330055237,0.4712959825992584,-0.14627663791179657,0.9998767375946045,0.6215190887451172,0.47009751200675964,-0.1463983803987503,0.9998363852500916,0.6216009855270386,0.4686351716518402,-0.14643235504627228,0.9999256730079651,0.5981862545013428,0.4580574631690979,-0.19280485808849335,0.9997655153274536,0.6055475473403931,0.4501970708370209,-0.26743075251579285,0.999910831451416,0.6047576069831848,0.4640405476093292,-0.10876469314098358,0.9994732141494751,0.6080435514450073,0.45925867557525635,-0.13176454603672028,0.9997465014457703,0.5482003092765808,0.36957815289497375,-0.2168644219636917,0.9999275207519531,0.5638425946235657,0.43848463892936707,-0.24653953313827515,0.9999517798423767,0.5312052369117737,0.3223457634449005,-0.2802089750766754,0.14898289740085602,0.5558754205703735,0.3632608652114868,-0.3550233840942383,0.16757190227508545,0.4996471703052521,0.3289671242237091,-0.35442259907722473,0.11542065441608429,0.504901111125946,0.3242340385913849,-0.425293505191803,0.03899737820029259,0.47720465064048767,0.3347775638103485,-0.3781144917011261,0.13283604383468628,0.5017661452293396,0.3221513032913208,-0.4520725607872009,0.05461103841662407,0.4799540340900421,0.34469836950302124,-0.37136024236679077,0.12348365038633347,0.4960173964500427,0.3258126378059387,-0.45176824927330017,0.04327564686536789,0.48465585708618164,0.3466263711452484,-0.3525267243385315,0.12370546907186508,0.4990859031677246,0.3270120918750763,-0.4287671446800232,0.046699151396751404,0.5215724110603333,0.3888086974620819,0.026304567232728004,0.9998870491981506,0.5392622351646423,0.41568830609321594,-0.026530388742685318,0.9999659061431885,0.4335905611515045,0.43269485235214233,0.1486659198999405,0.17956215143203735,0.48306024074554443,0.6136636137962341,-0.15142951905727386,0.21593093872070312,0.3626490533351898,0.5201917886734009,0.27121415734291077,0.09990935027599335,0.46189218759536743,0.8441509008407593,-0.2003839910030365,0.3274077773094177,0.35578662157058716,0.5291643142700195,0.2812593877315521,0.13465258479118347,0.45047616958618164,0.8724768161773682,-0.20835937559604645,0.23973242938518524,0.33179396390914917,0.5210827589035034,0.2595770061016083,0.11740510165691376,0.4841928780078888,0.878537118434906,-0.3073636591434479,0.22167682647705078,150.5839227185146,30.0,137.16378356023586,-42.66689478588731,1954.0992150819407
4,0.13333333333333333,0.56968092918396,0.44264665246009827,-0.35460659861564636,0.9993453025817871,0.5782356262207031,0.44280797243118286,-0.3812008798122406,0.9996588230133057,0.5773594379425049,0.4414929449558258,-0.3814534842967987,0.9994465112686157,0.5715354084968567,0.4409734308719635,-0.38151466846466064,0.9997227787971497,0.571794331073761,0.44378194212913513,-0.39057397842407227,0.9998696446418762,0.570892870426178,0.44327759742736816,-0.390807569026947,0.999829113483429,0.5707817673683167,0.4424257278442383,-0.39087626338005066,0.9999099969863892,0.5597399473190308,0.42032501101493835,-0.407743364572525,0.9997826218605042,0.5557128190994263,0.4206761419773102,-0.4531026780605316,0.9998792409896851,0.5580184459686279,0.42958492040634155,-0.34840112924575806,0.9995161890983582,0.5614989399909973,0.4283435046672821,-0.36310091614723206,0.9997578263282776,0.5414921045303345,0.35516053438186646,-0.33421218395233154,0.999934732913971,0.5119763016700745,0.4033510982990265,-0.3766980767250061,0.9999550580978394,0.5819151401519775,0.3159492015838623,-0.35725632309913635,0.2328970730304718,0.546967089176178,0.37091752886772156,-0.4525018334388733,0.22635221481323242,0.6255620121955872,0.37913569808006287,-0.42248135805130005,0.2019731104373932,0.4879254400730133,0.3523683547973633,-0.5136809945106506,0.07326053082942963,0.6389754414558411,0.4014914631843567,-0.4435243308544159,0.2174132913351059,0.4789392352104187,0.3456917405128479,-0.5456495881080627,0.09271667152643204,0.6389914751052856,0.4138956069946289,-0.46581757068634033,0.20881909132003784,0.47599682211875916,0.3406790792942047,-0.5606803894042969,0.07892278581857681,0.6312965154647827,0.4113035798072815,-0.4329410493373871,0.20887944102287292,0.478555291891098,0.34222283959388733,-0.5242670774459839,0.08367690443992615,0.506418764591217,0.3810027241706848,0.026766519993543625,0.9998981952667236,0.496872216463089,0.4052954912185669,-0.026949580758810043,0.9999691843986511,0.5108205676078796,0.48480960726737976,0.17240409553050995,0.19350314140319824,0.4805974066257477,0.6145361661911011,-0.1262892335653305,0.2908399701118469,0.43689796328544617,0.4261210262775421,0.42473119497299194,0.09485922008752823,0.44222837686538696,0.83296138048172,-0.1017194613814354,0.39271077513694763,0.44660356640815735,0.41119277477264404,0.4487510025501251,0.14313651621341705,0.43792104721069336,0.8788608312606812,-0.10155916213989258,0.3079797625541687,0.3713361620903015,0.40457531809806824,0.44985076785087585,0.12360857427120209,0.4456888735294342,0.8828436732292175,-0.18937267363071442,0.2954167425632477,114.0243404795211,30.0,136.8271644090851,22.469745716846177,3240.2216797361307
5,0.16666666666666666,0.5176913738250732,0.44010427594184875,-0.3130399286746979,0.9989519119262695,0.5207777619361877,0.4446570873260498,-0.3498991131782532,0.9994176030158997,0.5187597274780273,0.4443436563014984,-0.3501738905906677,0.9989354014396667,0.5156797170639038,0.4447411000728607,-0.35017290711402893,0.9994789958000183,0.52312171459198,0.44263431429862976,-0.35395166277885437,0.9996801018714905,0.5246694087982178,0.4414238929748535,-0.35415011644363403,0.9996539950370789,0.5264348387718201,0.439872145652771,-0.35430657863616943,0.999767541885376,0.510962188243866,0.42592158913612366,-0.4212387502193451,0.9997027516365051,0.5210411548614502,0.41753077507019043,-0.4454632103443146,0.9995659589767456,0.5092617869377136,0.426444411277771,-0.32240867614746094,0.9992079734802246,0.5157151818275452,0.4229828417301178,-0.3302624821662903,0.9993239641189575,0.4921640157699585,0.35295170545578003,-0.38582882285118103,0.9999411106109619,0.5138821005821228,0.3874812424182892,-0.4354483485221863,0.9999580383300781,0.5480777621269226,0.35589244961738586,-0.5664228200912476,0.3051277697086334,0.6021708250045776,0.3542047142982483,-0.6234566569328308,0.29132986068725586,0.5294888019561768,0.43036606907844543,-0.7444783449172974,0.26023897528648376,0.6482869982719421,0.4215526282787323,-0.7533667683601379,0.0989428386092186,0.5247401595115662,0.4490068554878235,-0.7959645390510559,0.2761708199977875,0.651168942451477,0.44293925166130066,-0.8071349263191223,0.10642126202583313,0.5102170705795288,0.44987696409225464,-0.7976304292678833,0.26280370354652405,0.6508466601371765,0.44046735763549805,-0.7960914373397827,0.08610154688358307,0.5127790570259094,0.4423278868198395,-0.7489787936210632,0.25122588872909546,0.6459260582923889,0.43014225363731384,-0.7539588809013367,0.08258288353681564,0.48740914463996887,0.38839370012283325,0.026156000792980194,0.9999082088470459,0.48183855414390564,0.3727934658527374,-0.026516806334257126,0.9999717473983765,0.48663032054901123,0.6136805415153503,0.03873581066727638,0.19560296833515167,0.42269545793533325,0.4918907880783081,-0.12229558825492859,0.32810690999031067,0.44613590836524963,0.8309590816497803,0.07770559936761856,0.13421465456485748,0.28473225235939026,0.5337446928024292,-0.10514965653419495,0.4301496744155884,0.43033793568611145,0.8700937032699585,0.07645419239997864,0.2080308049917221,0.2605670690536499,0.5536865592002869,-0.10688470304012299,0.3384716808795929,0.39205631613731384,0.8931530714035034,0.00667980220168829,0.16130734980106354,0.26828140020370483,0.5109314322471619,-0.1715511530637741,0.32728201150894165,144.439292622719,30.0,138.6617666080256,173.34788386318806,5476.744797771609
6,0.2,0.531549870967865,0.3546323776245117,-0.4162975549697876,0.9990553259849548,0.531721830368042,0.3677223324775696,-0.448731005191803,0.9994751811027527,0.5294849276542664,0.3695453107357025,-0.4489203989505768,0.999040961265564,0.5283134579658508,0.3716695308685303,-0.44894981384277344,0.9995304346084595,0.5343626737594604,0.3664507269859314,-0.4559583067893982,0.9997115731239319,0.5353174805641174,0.3680548071861267,-0.45618706941604614,0.9996881484985352,0.536418080329895,0.3697829842567444,-0.4565110206604004,0.9997903108596802,0.5207197070121765,0.38457179069519043,-0.45793384313583374,0.9997321367263794,0.5304984450340271,0.38444262742996216,-0.4879477620124817,0.9996078610420227,0.5252876877784729,0.35781458020210266,-0.3541962206363678,0.9992862939834595,0.5283365845680237,0.35027655959129333,-0.3567066788673401,0.9993906021118164,0.459003746509552,0.34825384616851807,-0.4523177444934845,0.9999469518661499,0.5487606525421143,0.3646909296512604,-0.46960321068763733,0.9999616146087646,0.38042300939559937,0.35411858558654785,-0.4952009320259094,0.37423163652420044,0.6254499554634094,0.4053786098957062,-0.5399314165115356,0.35436785221099854,0.339710533618927,0.4053500294685364,-0.5600656867027283,0.333616703748703,0.6558099985122681,0.49864619970321655,-0.5920437574386597,0.1749405413866043,0.316245436668396,0.42596200108528137,-0.6001347303390503,0.3477756679058075,0.6679170727729797,0.5336066484451294,-0.6286843419075012,0.18521980941295624,0.3148576021194458,0.4226250648498535,-0.6048175692558289,0.33567678928375244,0.6716166138648987,0.5315784215927124,-0.6354749798774719,0.16579727828502655,0.327999085187912,0.4138474762439728,-0.5609484314918518,0.3248409926891327,0.6561914086341858,0.5152461528778076,-0.5953212976455688,0.15528716146945953,0.4749496281147003,0.3949294686317444,0.026879727840423584,0.9999173879623413,0.4918037950992584,0.3785960078239441,-0.02716832049190998,0.9999745488166809,0.48168593645095825,0.6401304602622986,-0.008531192317605019,0.2659268379211426,0.5420195460319519,0.5087581276893616,-0.06766347587108612,0.3836929500102997,0.4476262927055359,0.8633037805557251,-0.030453264713287354,0.219143807888031,0.5816931128501892,0.6128413677215576,-0.06444061547517776,0.4836336672306061,0.43205592036247253,0.8912066221237183,-0.03580809012055397,0.2854241132736206,0.5804189443588257,0.6171228289604187,-0.06614779680967331,0.39935117959976196,0.4439420700073242,0.9212777018547058,-0.12654194235801697,0.24311785399913788,0.6164115071296692,0.6205331087112427,-0.13771986961364746,0.389987975358963,142.0707413461887,30.0,148.3836899999643,387.5860655682868,2203.5463563101735
7,0.23333333333333334,0.4966049790382385,0.4222978353500366,-0.3533495366573334,0.9990740418434143,0.49547454714775085,0.43585312366485596,-0.393764466047287,0.9994959831237793,0.4927903413772583,0.43540021777153015,-0.3939644396305084,0.9990795850753784,0.49201640486717224,0.4343046545982361,-0.39390844106674194,0.9995394349098206,0.49563470482826233,0.43299004435539246,-0.3938179910182953,0.9997237920761108,0.4953332245349884,0.43081000447273254,-0.3941897451877594,0.999704897403717,0.4963916838169098,0.4282345771789551,-0.3944086730480194,0.9998019337654114,0.473152756690979,0.4175654351711273,-0.46723371744155884,0.9997372627258301,0.5032682418823242,0.40801239013671875,-0.47042176127433777,0.9996328949928284,0.5015881061553955,0.40206634998321533,-0.36001941561698914,0.9993079304695129,0.5046576857566833,0.39930829405784607,-0.36160239577293396,0.9994166493415833,0.4498000144958496,0.34573397040367126,-0.4530026614665985,0.9999518394470215,0.5447631478309631,0.38688206672668457,-0.4566675126552582,0.9999647736549377,0.3437570333480835,0.3125290870666504,-0.6136505603790283,0.43648311495780945,0.6080809831619263,0.4538952708244324,-0.5887535214424133,0.41628190875053406,0.251404345035553,0.2681193947792053,-0.7260278463363647,0.3990473449230194,0.6416760087013245,0.4944693148136139,-0.6824924945831299,0.24405831098556519,0.21779274940490723,0.27019640803337097,-0.7703830003738403,0.41210368275642395,0.649746835231781,0.5170068740844727,-0.7229903936386108,0.2533568739891052,0.21272116899490356,0.25326964259147644,-0.7504767179489136,0.40125593543052673,0.6484561562538147,0.5063204169273376,-0.7084388732910156,0.23822888731956482,0.22357816994190216,0.2492278516292572,-0.717924952507019,0.3912346661090851,0.6424263715744019,0.49261656403541565,-0.6781319379806519,0.22591111063957214,0.48026135563850403,0.4009135663509369,0.024233615025877953,0.9999256134033203,0.5198639035224915,0.3955511450767517,-0.02467106096446514,0.9999769926071167,0.4829806089401245,0.6383353471755981,0.08730719983577728,0.33221760392189026,0.6037538647651672,0.5335731506347656,-0.011741159483790398,0.4394546449184418,0.45021793246269226,0.8651812076568604,0.15550640225410461,0.2942172884941101,0.6385095715522766,0.552027702331543,0.13009501993656158,0.5260624885559082,0.43579521775245667,0.9014766812324524,0.16071920096874237,0.354234516620636,0.6357077360153198,0.5531179904937744,0.14891956746578217,0.45305585861206055,0.45262300968170166,0.9215781688690186,0.11771269887685776,0.31334173679351807,0.663042426109314,0.5407822728157043,0.15439121425151825,0.43584561347961426,174.07586539595516,30.0,164.5008376459114,320.2509742838663,-6814.292535429369
8,0.26666666666666666,0.5074931383132935,0.49579304456710815,-0.4021969437599182,0.9991636872291565,0.5114940404891968,0.4908813536167145,-0.4343412220478058,0.9995372295379639,0.512768030166626,0.4888676404953003,-0.43464019894599915,0.9991639852523804,0.5143115520477295,0.48661935329437256,-0.4346090853214264,0.9995747804641724,0.5033730864524841,0.48689308762550354,-0.4356362223625183,0.9997480511665344,0.5006926655769348,0.4825141131877899,-0.43592607975006104,0.9997323155403137,0.4984818696975708,0.47839152812957764,-0.43606653809547424,0.9998193383216858,0.48200514912605286,0.4639580547809601,-0.47244933247566223,0.9997577667236328,0.49784234166145325,0.4528559148311615,-0.47645026445388794,0.9996665716171265,0.5138189792633057,0.4828253984451294,-0.3975445330142975,0.99936443567276,0.5064271688461304,0.48091480135917664,-0.40101850032806396,0.9994685053825378,0.5543308854103088,0.4044734239578247,-0.43128862977027893,0.999955415725708,0.4834994971752167,0.37365013360977173,-0.43143215775489807,0.9999680519104004,0.5833352208137512,0.42680925130844116,-0.5935436487197876,0.4205229580402374,0.3928757905960083,0.26739490032196045,-0.5463027358055115,0.468951016664505,0.5697471499443054,0.40985438227653503,-0.7904604077339172,0.38393664360046387,0.3157265782356262,0.16626614332199097,-0.6717528104782104,0.3171353340148926,0.5710856318473816,0.40548229217529297,-0.8398146033287048,0.41577354073524475,0.2926042377948761,0.15416499972343445,-0.7156046032905579,0.3254815340042114,0.5641511678695679,0.3825811743736267,-0.8448627591133118,0.4052978754043579,0.29080459475517273,0.1428108513355255,-0.7201159000396729,0.311943382024765,0.5618592500686646,0.3849555253982544,-0.7985918521881104,0.3901820778846741,0.3014685809612274,0.1465625762939453,-0.681329071521759,0.3003402054309845,0.5320478677749634,0.4026965796947479,0.020884960889816284,0.9999317526817322,0.48515403270721436,0.4038199484348297,-0.021322110667824745,0.9999789595603943,0.5776614546775818,0.5203690528869629,0.03475000709295273,0.30576398968696594,0.5169257521629333,0.6175636053085327,-0.027068253606557846,0.48019930720329285,0.6141529083251953,0.6334909200668335,0.1374448835849762,0.29231059551239014,0.4830513596534729,0.8397288918495178,0.028135348111391068,0.567787230014801,0.6087563633918762,0.6360514163970947,0.14192070066928864,0.369112104177475,0.4827532172203064,0.876459002494812,0.030255259945988655,0.4877398610115051,0.6298366189002991,0.6395779252052307,0.09003307670354843,0.3408345878124237,0.48555442690849304,0.908223032951355,-0.055231526494026184,0.4850306808948517,174.33956414986443,30.0,169.73375495222206,-66.70010346033777,-9865.022732401105
9,0.3,0.5091800689697266,0.48417216539382935,-0.32646819949150085,0.9992311000823975,0.5123471021652222,0.4798501431941986,-0.353526771068573,0.9995409846305847,0.5160296559333801,0.4736954867839813,-0.35386893153190613,0.999208927154541,0.5200136303901672,0.47192510962486267,-0.35384276509284973,0.999574601650238,0.5041217803955078,0.481777161359787,-0.3556808531284332,0.9997563362121582,0.5014032125473022,0.47897857427597046,-0.355964720249176,0.9997482299804688,0.4988008737564087,0.47589483857154846,-0.3561042249202728,0.9998267292976379,0.4863531291484833,0.4486638009548187,-0.38566768169403076,0.9997559189796448,0.5010796189308167,0.44110628962516785,-0.39743855595588684,0.9996854066848755,0.5130173563957214,0.4705791473388672,-0.32271823287010193,0.9993979334831238,0.5056102871894836,0.4667240381240845,-0.3278310000896454,0.9995055794715881,0.5607700347900391,0.4218185544013977,-0.32763031125068665,0.9999580383300781,0.47800952196121216,0.36814507842063904,-0.35220763087272644,0.9999708533287048,0.5893558859825134,0.47408249974250793,-0.45156329870224,0.39520737528800964,0.39034324884414673,0.25524112582206726,-0.4889182448387146,0.5044945478439331,0.6069612503051758,0.48373714089393616,-0.5936003923416138,0.36380112171173096,0.3132553994655609,0.15616707503795624,-0.5265900492668152,0.38141685724258423,0.6159194707870483,0.4878118932247162,-0.6332932114601135,0.4089776873588562,0.2927527129650116,0.1406511515378952,-0.5667710900306702,0.38977140188217163,0.6121522784233093,0.4664442241191864,-0.6466959118843079,0.40043768286705017,0.2959788143634796,0.135748952627182,-0.5729647278785706,0.3778480291366577,0.6079803705215454,0.464072048664093,-0.6041775345802307,0.3858763873577118,0.3059708774089813,0.1442016214132309,-0.5356383919715881,0.3673294186592102,0.5369899868965149,0.40356844663619995,0.02165844291448593,0.999937891960144,0.48382121324539185,0.397434264421463,-0.021995697170495987,0.9999809265136719,0.5870010256767273,0.5327669978141785,0.10802397131919861,0.29044032096862793,0.5007438659667969,0.6325422525405884,-0.02969561330974102,0.52373868227005,0.6226897835731506,0.6118952631950378,0.25032034516334534,0.32683441042900085,0.46632105112075806,0.8518705368041992,0.034561626613140106,0.6088026762008667,0.620911717414856,0.6343770623207092,0.25837284326553345,0.40848731994628906,0.4598101079463959,0.8889289498329163,0.038593094795942307,0.5271804928779602,0.6532012224197388,0.6055561900138855,0.1995457112789154,0.3909870982170105,0.4714489281177521,0.9285770058631897,-0.05999527499079704,0.5335984230041504,152.98102113660562,30.0,160.05416408188887,-337.4172078762074,-3465.0781697513644
