frame,timestamp_sec,x_0,y_0,z_0,vis_0,x_1,y_1,z_1,vis_1,x_2,y_2,z_2,vis_2,x_3,y_3,z_3,vis_3,x_4,y_4,z_4,vis_4,x_5,y_5,z_5,vis_5,x_6,y_6,z_6,vis_6,x_7,y_7,z_7,vis_7,x_8,y_8,z_8,vis_8,x_9,y_9,z_9,vis_9,x_10,y_10,z_10,vis_10,x_11,y_11,z_11,vis_11,x_12,y_12,z_12,vis_12,x_13,y_13,z_13,vis_13,x_14,y_14,z_14,vis_14,x_15,y_15,z_15,vis_15,x_16,y_16,z_16,vis_16,x_17,y_17,z_17,vis_17,x_18,y_18,z_18,vis_18,x_19,y_19,z_19,vis_19,x_20,y_20,z_20,vis_20,x_21,y_21,z_21,vis_21,x_22,y_22,z_22,vis_22,x_23,y_23,z_23,vis_23,x_24,y_24,z_24,vis_24,x_25,y_25,z_25,vis_25,x_26,y_26,z_26,vis_26,x_27,y_27,z_27,vis_27,x_28,y_28,z_28,vis_28,x_29,y_29,z_29,vis_29,x_30,y_30,z_30,vis_30,x_31,y_31,z_31,vis_31,x_32,y_32,z_32,vis_32
0,0.0,0.4738030731678009,0.32531559467315674,-0.22667381167411804,0.9999951124191284,0.47567877173423767,0.3156328797340393,-0.20532366633415222,0.9999819993972778,0.4783973693847656,0.31588655710220337,-0.2055281400680542,0.9999755620956421,0.4816974103450775,0.316372275352478,-0.205435112118721,0.9999804496765137,0.4685612916946411,0.3154611885547638,-0.2104991376399994,0.9999905824661255,0.465326189994812,0.3157024681568146,-0.2108115553855896,0.9999912977218628,0.4620511829853058,0.3161064386367798,-0.21094654500484467,0.999991774559021,0.48694685101509094,0.3209788203239441,-0.09392273426055908,0.99997878074646,0.45911306142807007,0.32219675183296204,-0.11755048483610153,0.9999692440032959,0.47775381803512573,0.33623725175857544,-0.18375009298324585,0.9999619722366333,0.46930915117263794,0.33694228529930115,-0.1920253038406372,0.9999550580978394,0.509935736656189,0.3925282657146454,-0.015162116847932339,0.9999464750289917,0.43801429867744446,0.3904377818107605,-0.07580725848674774,0.9996612071990967,0.5763739347457886,0.4148174524307251,-0.01933114603161812,0.9361074566841125,0.3635232448577881,0.40016019344329834,-0.12586571276187897,0.9376197457313538,0.6223599314689636,0.4317103326320648,-0.14531783759593964,0.9552730321884155,0.30559778213500977,0.39318662881851196,-0.2603952884674072,0.9680492877960205,0.6386193037033081,0.43294182419776917,-0.16328147053718567,0.9379427433013916,0.28629815578460693,0.39444056153297424,-0.2924353778362274,0.9477546811103821,0.6423776745796204,0.42297783493995667,-0.20020288228988647,0.951968789100647,0.28155550360679626,0.3922116756439209,-0.31837448477745056,0.9562984704971313,0.6370731592178345,0.4209040403366089,-0.16436369717121124,0.949395477771759,0.28834080696105957,0.3908800780773163,-0.27649322152137756,0.9548811316490173,0.477784663438797,0.539469838142395,0.0189437847584486,0.9999704360961914,0.44273635745048523,0.522803544998169,-0.01924252137541771,0.9998964071273804,0.4799344837665558,0.6505802273750305,-0.014517677947878838,0.9947940707206726,0.40837448835372925,0.5000186562538147,-0.1501079648733139,0.8757829070091248,0.45378974080085754,0.7599481344223022,0.04287857189774513,0.9972956776618958,0.4255782961845398,0.5053781270980835,-0.008794437162578106,0.4952443838119507,0.44506555795669556,0.7764431834220886,0.0430142879486084,0.9918608069419861,0.42668813467025757,0.507696807384491,0.004104291554540396,0.5569545030593872,0.4583011269569397,0.7922112345695496,-0.07691297680139542,0.9961106181144714,0.4230089485645294,0.48889869451522827,-0.06229446083307266,0.7236812114715576
1,0.03333333333333333,0.4733191256149057,0.32179174810509525,-0.2395174270267443,0.9999876022338867,0.4754852189973715,0.3128930779377773,-0.2169425568324892,0.9999626874923706,0.4783268943810303,0.3131099504839543,-0.217157412404119,0.9999523162841797,0.4816655050836026,0.3135133467362868,-0.21705882101194046,0.9999595880508423,0.46848466644133036,0.31274969703870426,-0.2215837278512871,0.9999815225601196,0.465435105101492,0.31297734733207605,-0.22191671055747475,0.9999845027923584,0.4622178074043193,0.31333573984984064,-0.22206056013119635,0.9999850988388062,0.4868645405650323,0.3182838993027317,-0.099720770136737,0.9999567270278931,0.4587744628996838,0.31943589282935514,-0.12142794034096091,0.9999505281448364,0.47735427712111694,0.3325146638162573,-0.19454915148972418,0.9999240636825562,0.4691123712001494,0.3330112598697227,-0.2023507686801188,0.9999263286590576,0.5108056200512897,0.389363895002681,-0.01933669037007943,0.9999043941497803,0.43729547060305746,0.3872644717982251,-0.07405630427123275,0.9997503161430359,0.5771967425761426,0.41062753366232263,-0.022671367720612432,0.963678240776062,0.36267038996314666,0.3969663487449295,-0.12356983801870222,0.9498490691184998,0.6239585118529951,0.42564622086975323,-0.14785508670657807,0.9646058678627014,0.3034973895677318,0.39313915742732514,-0.26449286571296127,0.9764427542686462,0.6392204746043928,0.42723535469872914,-0.1653121572457662,0.9376475811004639,0.2840718936829987,0.3942693009642005,-0.2971248060722862,0.9548747539520264,0.6431197195059737,0.4184712178297364,-0.2037637346838501,0.9515474438667297,0.2797313575030656,0.3921535719634436,-0.3250658398438282,0.9632511138916016,0.637771035815043,0.41698480413802375,-0.1674590105394755,0.9497929215431213,0.2863061465098132,0.39104587055067697,-0.28170336999157075,0.9634139537811279,0.479197282042505,0.5361797516069938,0.01852732972999429,0.9999699592590332,0.44278274066030654,0.5198835249791967,-0.018838454254538825,0.9999377727508545,0.4786844368671289,0.648740166257441,-0.018246820227893906,0.9819923639297485,0.4101339485999742,0.5021829949077736,-0.1847984672543742,0.9630380868911743,0.45281141374183365,0.7596612398786713,0.04428894289601697,0.9910248517990112,0.42839204533341324,0.5132578982104146,-0.0591089923998517,0.8149176239967346,0.4444408713340633,0.7762331287528385,0.04454754441730426,0.9708093404769897,0.4305974066241667,0.5167037025372554,-0.04806704726772407,0.7603353261947632,0.45727504011090225,0.7911320778923063,-0.08250158241531068,0.9896630644798279,0.4270555294373642,0.5012222907231162,-0.12692031099504342,0.9114330410957336
2,0.06666666666666667,0.47186793439567914,0.3155677404745516,-0.27540631334793714,0.9999883770942688,0.47425737982450356,0.3070792945561945,-0.2528587060296047,0.9999646544456482,0.47711167299613305,0.3072718621232306,-0.25309502000264966,0.9999549388885498,0.48044973429033855,0.3076129767859682,-0.2529883044705894,0.9999617338180542,0.46741420980822296,0.3069520144107983,-0.25586885620719924,0.9999824166297913,0.4644672588636834,0.30716554607793906,-0.2562174523179625,0.9999852180480957,0.4612606116132017,0.3074853641572914,-0.2563709810912872,0.9999857544898987,0.4857408958240489,0.3125231211654008,-0.13177099727870484,0.999958872795105,0.4576407951109598,0.31358901290643615,-0.14562942218961994,0.9999525547027588,0.4758200429593596,0.3263761646218697,-0.2288119113000887,0.9999290108680725,0.4677623684147162,0.32672521822227646,-0.2344115061050823,0.9999303221702576,0.5116871225907883,0.3829662931522862,-0.04639302922585153,0.9999086856842041,0.4357097014491267,0.38145900148700856,-0.08862109823825551,0.9997594356536865,0.5786018490218329,0.40325076990476527,-0.052452735311181886,0.9642082452774048,0.3607534105873402,0.39248888568511303,-0.13196578793934405,0.952802836894989,0.6259416327904992,0.41705069300133407,-0.18453752025806922,0.9624693393707275,0.29997995827780183,0.39287148590555565,-0.2756065769503519,0.9761546850204468,0.6406259824287589,0.4205180996048469,-0.20499411140789936,0.933392345905304,0.2807761146606906,0.3940734939492878,-0.30912344341984493,0.9523667097091675,0.6447590120083657,0.4115615921320141,-0.2442844727656206,0.9478107690811157,0.276801780487203,0.3922402393205247,-0.34051847518665646,0.9610509872436523,0.639090038907136,0.41031886908240445,-0.20464410021937718,0.9457016587257385,0.28353119988992753,0.39153328295585094,-0.2943996629908687,0.9613025188446045,0.47998017286379097,0.5304790809161861,0.015155967983666538,0.9999621510505676,0.44231451944491673,0.514508244524774,-0.015501665712803245,0.9999207854270935,0.47586581792998195,0.6454731586064337,-0.028398887374463035,0.9787667989730835,0.4114283952951938,0.5026075832109017,-0.16148414289694132,0.9118679165840149,0.45049299636030266,0.7582817612323436,0.03225492716585885,0.9896427989006042,0.4256750651272698,0.5231822577326524,0.0010627965567967593,0.7495993971824646,0.4425282132148269,0.7748713227054083,0.03159984423924187,0.9649069905281067,0.42781699636748693,0.5274914423096854,0.015367868283282404,0.7030370235443115,0.4558999990860906,0.7895243539093955,-0.10743926172612808,0.9880469441413879,0.42377972537593234,0.5185391602286981,-0.06628901423171932,0.8475041389465332
3,0.1,0.47095433591374963,0.3067545640883508,-0.31502062701435907,0.9999893307685852,0.4736560416169608,0.2983209862776209,-0.2931160256537557,0.9999673962593079,0.47660319711240573,0.2985391117905333,-0.2933791748413458,0.9999584555625916,0.47996326887781465,0.2988849131042129,-0.2932730187336602,0.999964714050293,0.4667453000416004,0.2981820018437795,-0.29430568276472646,0.9999837875366211,0.46390462936267246,0.2984336657001639,-0.29466243602143505,0.9999863505363464,0.46079742511805166,0.29878241203882716,-0.2948197686588976,0.9999868273735046,0.4850778753821207,0.30384681147551135,-0.17074096800898275,0.9999620318412781,0.45696013390336515,0.3049727504369902,-0.17556908744441033,0.999955952167511,0.4750203879840397,0.31768779506857314,-0.26776357386210814,0.9999353289604187,0.46694698352692954,0.318028319503515,-0.2707884237059876,0.9999363422393799,0.5121073162956606,0.373502198507209,-0.08350958770761452,0.9999164938926697,0.4339086555651419,0.37369757452222246,-0.10607504366413173,0.9997792840003967,0.5788591143078162,0.39241560128276487,-0.09123512713284135,0.9667343497276306,0.35997789295390203,0.38833197718211315,-0.1379030892569118,0.9567965269088745,0.6266791701104641,0.40527520525108146,-0.2278238447737212,0.9649437665939331,0.29890977128517837,0.3939868650472331,-0.2847510008135742,0.9781160950660706,0.641003886118505,0.4102165051901484,-0.25235021794592305,0.9370932579040527,0.2802506032298289,0.3960382875784517,-0.3189683268375355,0.9558598399162292,0.644574920790027,0.4013334314120672,-0.291959276170593,0.9506420493125916,0.2766928245401584,0.39430346579520476,-0.3541687638400396,0.9639080166816711,0.638841360870251,0.4001920307198451,-0.24816585071481112,0.9485507011413574,0.2834780825961584,0.39364187138762363,-0.30511249634731885,0.9640206098556519,0.47998057870497407,0.5219223433154665,0.007772590910041469,0.9999568462371826,0.44135903327798093,0.5064232031996116,-0.00815981939622756,0.9999093413352966,0.47292383389778103,0.6402256896600251,-0.03967309632377778,0.9764161109924316,0.40693810075046766,0.4978858075806931,-0.10910583924586259,0.8522657752037048,0.4485832424080823,0.7545466738916256,0.024467687029770653,0.9863415360450745,0.4087783506027902,0.5253267273707177,0.08972135595439258,0.692005455493927,0.44089140085722545,0.7708424458954699,0.023759347199447854,0.9529081583023071,0.4097001552386059,0.5300068655184539,0.10719826409852169,0.6510313749313354,0.45470916083097435,0.7874654894253825,-0.12301080154954469,0.9846093654632568,0.4043946952274678,0.5267171723560015,0.025733862237290413,0.7896241545677185
4,0.13333333333333333,0.47025552992774017,0.29946888207852856,-0.34151924019978963,0.9999903440475464,0.473299417949039,0.2912033280665127,-0.32040306666115514,0.999970555305481,0.47633586872935224,0.2914388651743583,-0.320688101968533,0.9999624490737915,0.47970124380020235,0.2917839154652319,-0.3205850300863176,0.9999681115150452,0.46623964313686633,0.29105373252716255,-0.320503496957216,0.9999853372573853,0.46349830829191796,0.2912936027592859,-0.3208621639405421,0.9999876618385315,0.4605384611204123,0.2915796603777647,-0.3210181243866248,0.9999880790710449,0.48462019393960876,0.29705075551027466,-0.19843901248839232,0.9999656677246094,0.456743521165349,0.29784990272927786,-0.19732316017798537,0.9999598860740662,0.4744694135968887,0.3106013955227301,-0.29412229531295225,0.9999415874481201,0.46638397812202165,0.310874074115479,-0.29548542407032974,0.999942421913147,0.5123786701178086,0.3654056824931071,-0.10997320177799623,0.9999242424964905,0.432788399230258,0.36743808695970515,-0.11937632165542456,0.9997968077659607,0.5795744096762523,0.38233528143103884,-0.11421732249304128,0.9694869518280029,0.3603676948711663,0.38505028307879907,-0.14010762914782376,0.9596400856971741,0.6283126026228825,0.3944319234050405,-0.2494567245033697,0.9671723246574402,0.29877175685205737,0.3947045971174473,-0.2831468707741104,0.9784666299819946,0.6428341361068015,0.39972803259569256,-0.27618671230721975,0.9400888681411743,0.2802998507247088,0.39718073684224997,-0.31632560891101763,0.9544522166252136,0.6446484484971966,0.3939575814756386,-0.3154999417892178,0.9528750777244568,0.27701470640119025,0.3956623921833191,-0.3563160233981847,0.9626233577728271,0.6397312173543963,0.39129121108640763,-0.2696462781850699,0.9505670666694641,0.28390800562864105,0.3951583168242489,-0.3049624631590451,0.9626029133796692,0.47986563286909395,0.5142155302614414,0.0014712281794809776,0.9999567270278931,0.4411650687166785,0.49928994295524537,-0.0018895836487503592,0.9999024271965027,0.4709485993923367,0.6354419146609765,-0.05293394336978128,0.9748730063438416,0.40649093370834494,0.4960972283752299,-0.03475917634589654,0.7863814234733582,0.4474943066064008,0.7512411001493302,0.00738198780794647,0.9847443103790283,0.4094984837883645,0.5202871152769193,0.21561578301329298,0.6268415451049805,0.4397968016967456,0.7666610076076212,0.006110424910514474,0.9442858099937439,0.40526564590427544,0.5260126763332826,0.2383653003688963,0.5939708948135376,0.45411852807625336,0.7852890691948038,-0.14497761106671642,0.9833847284317017,0.4035286436698986,0.5250964274786507,0.1661346769380448,0.7198501825332642
5,0.16666666666666666,0.47042849225489236,0.292357236799965,-0.34951827534171104,0.9999885559082031,0.4738102390143602,0.2843117815795241,-0.3285952044803514,0.9999593496322632,0.4769153910945065,0.28458696793469324,-0.3288870653707674,0.9999480843544006,0.4802730615578045,0.28498141326178184,-0.32878666577375765,0.9999563097953796,0.4666271626399592,0.28414127619660723,-0.3280826017500118,0.9999790787696838,0.4639215691296965,0.2844159017495562,-0.32844519290035196,0.9999825954437256,0.461002622080494,0.28472334483267714,-0.328602439721484,0.9999833703041077,0.48496224157782525,0.29035164158451066,-0.2082811003301109,0.9999565482139587,0.45699672472319436,0.29102403424331036,-0.20742899950018118,0.9999437928199768,0.47476270401687964,0.30378490851498513,-0.30229774862875924,0.9999358654022217,0.46656215455385264,0.30402346437472605,-0.30294162558762705,0.9999339580535889,0.5128949055104848,0.35798922667285243,-0.12581215281686536,0.9999289512634277,0.4323825907028409,0.3613593916873646,-0.1137688556492776,0.999803364276886,0.5800605312516484,0.373826475972015,-0.13913323840656555,0.9716187119483948,0.3623505648161166,0.38365979424013824,-0.12716967880163418,0.9581604599952698,0.6295067850613627,0.3848814261473614,-0.2778393567564813,0.9682947993278503,0.3015630601257783,0.39772688803932765,-0.27589297003302804,0.9754842519760132,0.6441575954401725,0.3902196048138409,-0.30805793877771154,0.9408704042434692,0.28364594116950403,0.4012024582434016,-0.30884396087231547,0.9490197896957397,0.6455715460366619,0.3859505250309458,-0.3457434761790995,0.9532411694526672,0.2804328954317612,0.3998617600021483,-0.3508408537639531,0.9579645395278931,0.6406037755518383,0.3829523133980848,-0.29755655551669496,0.950975775718689,0.28733026884610297,0.39923918826554783,-0.29860310305666427,0.9576610922813416,0.4802321735303494,0.5080800690420088,-0.006705272099252526,0.9999563694000244,0.4407232335721962,0.4932571250456499,0.006271741800307738,0.9999018907546997,0.469350607631359,0.630743322450274,-0.05885870106773798,0.9742838144302368,0.3938487101794951,0.49214941475583057,-0.0038056655279798644,0.7667932510375977,0.4469952376948495,0.7468616193786475,0.01632677767046338,0.9799690842628479,0.3734566806229992,0.515338295046199,0.23496376987971349,0.63211989402771,0.43971231766118046,0.7615395460032588,0.01665558114283442,0.9242638349533081,0.36678365653473743,0.5217333608223231,0.25577948306793474,0.5865024924278259,0.4528034714926308,0.7825997683003675,-0.1366184841682743,0.9770963788032532,0.36349879820036285,0.5186081620865383,0.17660238174954773,0.7192608118057251
6,0.2,0.4697827316397689,0.2847694278483536,-0.34751110228482995,0.9999829530715942,0.47320694895846416,0.2770561821923283,-0.3281049835941795,0.9999414086341858,0.47628540499516203,0.2774008381361216,-0.3284141608331468,0.9999289512634277,0.4796107798261266,0.2778461702887169,-0.32832177532846973,0.9999374747276306,0.4661786018896804,0.27679942211549863,-0.32518809845392194,0.9999692440032959,0.4635541369083816,0.27706915035825774,-0.32554011091822005,0.9999749660491943,0.4607234256338804,0.2773531960143114,-0.3257010843521624,0.9999754428863525,0.4841832974709931,0.2832706463700309,-0.21105152049342657,0.999941349029541,0.45683702616432253,0.2836841827459956,-0.2015626599434453,0.9999253153800964,0.47399636953441443,0.29622180980735285,-0.3026847007263343,0.9999257326126099,0.4660181223182642,0.29635511699803047,-0.29990801391195865,0.9999220967292786,0.5107148242240321,0.3505778248211553,-0.13557471906581273,0.9999308586120605,0.43149348547060645,0.3548727128565436,-0.10034981102833487,0.9997938275337219,0.5763060653258538,0.36527110864796297,-0.1611518836364081,0.972818911075592,0.36583242280280126,0.3832700792806709,-0.10602598647772643,0.9542390704154968,0.6254067773351307,0.37556631370740867,-0.30970443306414674,0.9695161581039429,0.3079927875134383,0.4019918613991399,-0.25651268362412954,0.9738259315490723,0.6396562765495507,0.3812373249788887,-0.34413428735083607,0.9431892037391663,0.2906373680897168,0.4073227058087031,-0.28901230922679744,0.9469420909881592,0.6409393526798128,0.37770914215912166,-0.37977950751852385,0.9548906087875366,0.2873140984734595,0.40606698954727755,-0.33198334527321055,0.9561023712158203,0.6359135919121226,0.37452993936277934,-0.32885855759983235,0.9524681568145752,0.2943019669135205,0.4049221456534077,-0.27963703059060663,0.955600380897522,0.4786058407960518,0.501112923675056,-0.016136280359505515,0.9999518394470215,0.4392629999301229,0.4866974796265036,0.015701692384861562,0.9998920559883118,0.4658447564186293,0.6244362992246372,-0.07042598714620647,0.9752649664878845,0.3828595974993816,0.48797620445406387,0.024797490311258927,0.7583093047142029,0.445659583284282,0.7416911655515755,0.019057756892186473,0.978683590888977,0.3571044512391988,0.5106481539297409,0.2682184029409344,0.6322682499885559,0.43997001651735895,0.755320574642964,0.022531761845672925,0.907372236251831,0.35106432873645044,0.5176959134908921,0.28940319012411586,0.5786029696464539,0.44798778935023975,0.7799467684082007,-0.13061454989575783,0.9737225770950317,0.34506244342899206,0.5132821301312153,0.21159003734032583,0.7110670804977417
7,0.23333333333333334,0.4698994065879685,0.2779972971394086,-0.3416074986026388,0.999975860118866,0.473338463963382,0.27043855553204765,-0.32245241542904063,0.9999231100082397,0.47636195740759313,0.2707875525433329,-0.32277561505275676,0.999904453754425,0.47958104159393566,0.27121760707314874,-0.32268839279533457,0.9999182820320129,0.46637872743852893,0.2701521047389191,-0.31877848683357674,0.9999585747718811,0.46378832952114885,0.2704048768054434,-0.3191209718454523,0.9999648928642273,0.46100168145901016,0.27064994840910045,-0.31928314085435205,0.9999671578407288,0.48370204087235436,0.27661176175272134,-0.20555640808337794,0.9999186396598816,0.4567328165736171,0.27689634640740285,-0.19179465780941943,0.9998903274536133,0.47385279977942957,0.28953429639313405,-0.2968665043004821,0.999908447265625,0.4661129825847607,0.2897078321946422,-0.293007604972932,0.9999015927314758,0.5090439558920823,0.34406208488786133,-0.13937186295557868,0.9999328851699829,0.4312681211555365,0.3497160824715355,-0.08708490936969022,0.9997819662094116,0.5709855700188644,0.35861354511115434,-0.1739029888178676,0.952564001083374,0.37041163122294285,0.38583481709620054,-0.08785816266563175,0.9115994572639465,0.6131473834278329,0.3690104783394809,-0.3393693623618056,0.9437392354011536,0.3155502575120412,0.40906750617049964,-0.23865491162449895,0.9414380788803101,0.6256202005462507,0.3747179097231576,-0.3794129166945701,0.9160571694374084,0.2993792574544401,0.4161478157439088,-0.2715845971194102,0.9107808470726013,0.6260419458035764,0.37118380969669185,-0.41218472456165856,0.9296420216560364,0.2958470386259464,0.41483916938426924,-0.3144287272273659,0.9229167699813843,0.6213781072627296,0.3683471325543165,-0.3577804149788873,0.9228247404098511,0.30274342694482637,0.41300208004325584,-0.26161856136059675,0.9180247187614441,0.47757012376166214,0.494671981211808,-0.022640915768408938,0.9999507665634155,0.4384845737404893,0.4810636370776754,0.022198717120647193,0.9998885989189148,0.4632184735651014,0.6173711889353608,-0.07727513917642236,0.9732346534729004,0.37502879328327654,0.4844702060379402,0.06617160503590437,0.7050557732582092,0.4448164570029014,0.7362647363073642,0.021514089077153825,0.9717482924461365,0.3426342840907738,0.5047913505860651,0.316393544193067,0.6030827164649963,0.4405335702884512,0.749112129050266,0.026281223601406303,0.8704689145088196,0.33639902815897565,0.5127087788932769,0.3379682813875503,0.5431787371635437,0.444263623467182,0.7771604126637092,-0.12698073893218967,0.9627837538719177,0.3196362217914683,0.5063319440791981,0.2604744260429379,0.6752728223800659
8,0.26666666666666666,0.4697023339374049,0.2735606503491758,-0.3191196247734845,0.9999642372131348,0.4730444305444325,0.26616021317548044,-0.299374571477587,0.9999075531959534,0.4759176567125367,0.26644418066647824,-0.2996864121054613,0.9998863339424133,0.47898123439131735,0.26680196630189995,-0.2996069680477492,0.9999060034751892,0.46636743659789914,0.2659647182816366,-0.29611518578707025,0.9999435544013977,0.46386419003976276,0.26622105267600593,-0.2964496169234051,0.9999486804008484,0.4611620844610075,0.2664509283464725,-0.2966122450358696,0.999954879283905,0.48268769442123327,0.2720841702084819,-0.18150700905250658,0.99989914894104,0.4570448706777285,0.27253775384967116,-0.16885989528681963,0.9998332262039185,0.4732927790698929,0.2848034320035598,-0.27369994321632124,0.9998722076416016,0.4661579130004553,0.2849653026432867,-0.27055737944062935,0.9998501539230347,0.5065456930940618,0.33907042582994495,-0.118838037781479,0.9999328255653381,0.4343335528410732,0.3449159811524665,-0.06462202799128589,0.999769389629364,0.5528089033612752,0.3669038115947856,-0.14683176127324263,0.9416812658309937,0.37932046387536844,0.387290322880566,-0.05975410455180064,0.8729615807533264,0.585537160894401,0.38934368699727134,-0.30335630591418156,0.9373810291290283,0.326202706743084,0.4163217365532164,-0.20468103943801563,0.9260876178741455,0.5961178501288473,0.3977586193599488,-0.3421216833768899,0.9083612561225891,0.31089254986626985,0.42551368552562563,-0.23720232482461587,0.8937690854072571,0.5956671936026542,0.3926413450231538,-0.37390137479728397,0.922709047794342,0.3071605220794362,0.4246756841360567,-0.2794156963567684,0.9076762795448303,0.5920580412005525,0.39104200803595685,-0.32070844573991564,0.9122617840766907,0.31392170704304545,0.42211059169475806,-0.22718948406094963,0.8998264074325562,0.4756039845596067,0.4895280216609385,-0.024602281444849612,0.9999387264251709,0.43873566034510175,0.47796601422712015,0.024240457631099523,0.9998788237571716,0.46097389209606643,0.6110770537610233,-0.06731175402075926,0.9628561735153198,0.3878794596868895,0.5030995045424057,0.05342233005357644,0.7098449468612671,0.444258454860886,0.7309267264339075,0.03819407197200462,0.9652906060218811,0.35619160559733065,0.5372738835353572,0.2846372621283336,0.6136565208435059,0.4408600681937396,0.7434053396179299,0.04337550695235502,0.845685601234436,0.3543574133904615,0.5468148616288931,0.3042790072627497,0.5238569974899292,0.4408719485449477,0.7731949311161991,-0.10564209422376332,0.9553686380386353,0.3371901887989442,0.5471173421556188,0.21768564736276896,0.6770310997962952
9,0.3,0.46896692127744444,0.2712138580746571,-0.2962607427272834,0.9999528527259827,0.4723140862562223,0.2639608497670568,-0.2783740462588308,0.9998939633369446,0.47507482125929695,0.2641967868895748,-0.2786711473500584,0.9998657703399658,0.4780412253815373,0.26452417747144585,-0.27860046432669616,0.9998900890350342,0.46587319569264285,0.26386586787090766,-0.27207268096570153,0.999937117099762,0.4634886118018209,0.26412993753697644,-0.2723962654291614,0.9999407529830933,0.46091014302956756,0.26436196957741565,-0.27254575021788713,0.9999507069587708,0.48176850134873117,0.26967111206518785,-0.16814633800641435,0.9998675584793091,0.4573741858190891,0.2701156996620174,-0.14138276369414043,0.9998089671134949,0.472306065283672,0.28220459412905163,-0.25353959153531824,0.9998329281806946,0.46565533822564287,0.2823829622597017,-0.24655445019695515,0.9998238682746887,0.502433581433347,0.33597286722511055,-0.11937834218827387,0.9999256730079651,0.4377860975270189,0.34195979644663194,-0.02991507481614164,0.9997820258140564,0.536842397218866,0.3678914461982979,-0.17088569116462174,0.9146069288253784,0.3881297105403268,0.38852969061345455,-0.01459552429869649,0.8136225938796997,0.5616397683999317,0.39303397859566813,-0.3320102358278632,0.9076956510543823,0.3363206595322277,0.42143990828224237,-0.1598553243141767,0.9221900701522827,0.5704416548117288,0.40354570925705335,-0.37523886062558887,0.882140576839447,0.3216421549876012,0.4322957485547159,-0.19133459598753114,0.8935628533363342,0.57009273894967,0.3994793017855906,-0.40148302165297756,0.8980074524879456,0.31770824621198296,0.43171438343614793,-0.23478068637600424,0.9079058766365051,0.5670460609362092,0.39866271813750276,-0.34704859573125324,0.8782995939254761,0.3244811267992118,0.42855327325002585,-0.18299097429451794,0.8976206183433533,0.47370631648978506,0.4863558621617444,-0.03526506552535094,0.9999156594276428,0.43925779205579646,0.4763949375524363,0.03493432407392742,0.9998728036880493,0.45865031783728977,0.6073853189072576,-0.06741793919842787,0.8926043510437012,0.3982729741234697,0.5191619979016872,0.05935171676253673,0.648328959941864,0.4441742820671799,0.727782991958271,0.045799853504867136,0.9067152738571167,0.37185924602001996,0.5677200885841183,0.2621899884675727,0.5708344578742981,0.441998452246504,0.7402041229624786,0.05267404637898482,0.7846779227256775,0.3729397380042657,0.580170750601003,0.2820348652863952,0.48657339811325073,0.4380185984389584,0.7704991289169703,-0.09835185933003673,0.9043470621109009,0.3546163462834996,0.5833840797716718,0.19074738470775215,0.6340461373329163
