frame,timestamp_sec,detected,used_roi,mean_visibility,n_low_visibility_landmarks
0,0.0,True,False,0.9432200410149314,1
1,0.03333333333333333,True,True,0.9684076002149871,0
2,0.06666666666666667,True,True,0.9602962732315063,0
3,0.1,True,True,0.9536683523293698,0
4,0.13333333333333333,True,True,0.9458045363426208,0
5,0.16666666666666666,True,True,0.9437193527366176,0
6,0.2,True,True,0.9422387083371481,0
7,0.23333333333333334,True,True,0.926460553299297,0
8,0.26666666666666666,True,True,0.9204482327808033,0
9,0.3,True,True,0.9012739549983632,1
10,0.3333333333333333,True,True,0.8977136891899686,1
11,0.36666666666666664,True,True,0.8929436495809844,0
12,0.4,True,True,0.8827257282806166,0
13,0.43333333333333335,True,True,0.8559220595793291,0
14,0.4666666666666667,True,True,0.8283852022705656,1
15,0.5,True,True,0.8006987038886908,4
16,0.5333333333333333,True,True,0.8089064720905188,0
17,0.5666666666666667,True,True,0.8188187299352704,0
18,0.6,True,True,0.8296870228016016,0
19,0.6333333333333333,True,True,0.840864360332489,0
20,0.6666666666666666,True,True,0.8416307658860178,0
21,0.7,True,True,0.8485762476921082,0
22,0.7333333333333333,True,True,0.8591677672935255,0
23,0.7666666666666666,True,True,0.8667189388564138,0
24,0.8,True,True,0.8723291772784609,0
25,0.8333333333333334,True,True,0.8826762058518149,0
26,0.8666666666666667,True,True,0.8860717668677821,0
27,0.9,True,True,0.8789786226821669,0
28,0.9333333333333333,True,True,0.8881525939161127,0
29,0.9666666666666667,True,True,0.8908793059262362,0
30,1.0,True,True,0.8904024922486508,1
31,1.0333333333333332,True,True,0.890593072681716,1
32,1.0666666666666667,True,True,0.8911037842432658,2
33,1.1,True,True,0.883032789736083,1
34,1.1333333333333333,True,True,0.8848888106418379,1
35,1.1666666666666667,True,True,0.8854543160308491,1
36,1.2,True,True,0.8888162862170826,1
37,1.2333333333333334,True,True,0.8708828290303549,1
38,1.2666666666666666,True,True,0.85515742410313,1
39,1.3,True,True,0.845674991607666,0
40,1.3333333333333333,True,True,0.8238814735051357,2
41,1.3666666666666667,True,True,0.8107423285643259,2
42,1.4,True,True,0.8144935965538025,0
43,1.4333333333333333,True,True,0.8198591326222275,0
44,1.4666666666666666,True,True,0.8237932125727335,0
45,1.5,True,True,0.8316733132709156,0
46,1.5333333333333332,True,True,0.8308656757528131,0
47,1.5666666666666667,True,True,0.8194270133972168,0
48,1.6,True,True,0.825040233857704,0
49,1.6333333333333333,True,True,0.8277515642570726,0
50,1.6666666666666667,True,True,0.8391661047935486,0
51,1.7,True,True,0.8500225020177437,0
52,1.7333333333333334,True,True,0.8555501663323605,0
53,1.7666666666666666,True,True,0.8599952369025259,0
54,1.8,True,True,0.8727695363940615,0
55,1.8333333333333333,True,True,0.8824280572660042,0
56,1.8666666666666667,True,True,0.889764130115509,0
57,1.9,True,True,0.8961639747475133,0
58,1.9333333333333333,True,True,0.8898527152610548,0
59,1.9666666666666666,True,True,0.8835528041377212,0
60,2.0,True,True,0.8745724342086099,1
61,2.033333333333333,True,True,0.8692196481155626,0
62,2.0666666666666664,True,True,0.8602184590065118,1
63,2.1,True,True,0.845808460856929,2
64,2.1333333333333333,True,True,0.8326921291423567,3
65,2.1666666666666665,True,True,0.8171039928089489,7
66,2.2,True,True,0.7941247866009221,8
67,2.2333333333333334,True,True,0.7738638664736892,8
68,2.2666666666666666,True,True,0.7664207689689867,8
69,2.3,True,True,0.7746654017405077,7
70,2.3333333333333335,True,True,0.7843785620096958,4
71,2.3666666666666667,True,True,0.792698267734412,0
72,2.4,True,True,0.7979351119561628,0
73,2.433333333333333,True,True,0.8143499421350884,0
74,2.466666666666667,True,True,0.8249665011059154,0
75,2.5,True,True,0.827072184194218,1
76,2.533333333333333,True,True,0.8382666761224921,0
77,2.5666666666666664,True,True,0.8517853816350301,0
78,2.6,True,True,0.8623167836304867,0
79,2.6333333333333333,True,True,0.864714503288269,0
80,2.6666666666666665,True,True,0.8765509273066665,0
81,2.7,True,True,0.8750681804888176,0
82,2.7333333333333334,True,True,0.8763427355072715,0
83,2.7666666666666666,True,True,0.8775938586755232,0
84,2.8,True,True,0.8721840706738558,1
85,2.8333333333333335,True,True,0.8664789804906556,1
86,2.8666666666666667,True,True,0.854449580113093,1
87,2.9,True,True,0.8465348572442026,2
88,2.933333333333333,True,True,0.8416475220160051,2
89,2.966666666666667,True,True,0.8358447353045145,4
90,3.0,True,True,0.8170581712867274,6
91,3.033333333333333,True,True,0.8048416899912285,7
92,3.0666666666666664,True,True,0.7890233126553622,6
93,3.1,True,True,0.7703156082919149,8
94,3.1333333333333333,True,True,0.7801372571425005,6
95,3.1666666666666665,True,True,0.7883485591772831,4
96,3.2,True,True,0.797728652303869,0
97,3.2333333333333334,True,True,0.8124160585981427,0
98,3.2666666666666666,True,True,0.8228086504069242,0
99,3.3,True,True,0.8303269129810911,0
100,3.3333333333333335,True,True,0.8372459592241229,0
101,3.3666666666666667,True,True,0.8498098091645674,0
102,3.4,True,True,0.8615098035696781,0
103,3.433333333333333,True,True,0.8703806869911425,0
104,3.466666666666667,True,True,0.8711948051597133,0
105,3.5,True,True,0.8710589508215586,1
106,3.533333333333333,True,True,0.8713568611578508,1
107,3.5666666666666664,True,True,0.879973522641442,1
108,3.6,True,True,0.8873946115826116,1
109,3.6333333333333333,True,True,0.8847635343219294,1
110,3.6666666666666665,True,True,0.8824673403393138,1
111,3.6999999999999997,True,True,0.8848447591969462,1
112,3.7333333333333334,True,True,0.8730586125995173,1
113,3.7666666666666666,True,True,0.8683033964850686,0
114,3.8,True,True,0.8643178596641078,0
115,3.8333333333333335,True,True,0.8576521891536135,0
116,3.8666666666666667,True,True,0.8368520899252458,0
117,3.9,True,True,0.8233348853660353,0
118,3.933333333333333,True,True,0.8111586950042031,1
119,3.966666666666667,True,True,0.805088839747689,3
120,4.0,True,True,0.8118342251488657,0
121,4.033333333333333,True,True,0.8194965647928643,0
122,4.066666666666666,True,True,0.8199627038204309,0
123,4.1,True,True,0.8348243272665775,0
124,4.133333333333333,True,True,0.8458125591278076,0
125,4.166666666666667,True,True,0.8460296554998918,0
126,4.2,True,True,0.8504055323022784,0
127,4.233333333333333,True,True,0.8532810120871572,0
