frame,timestamp_sec,detected,used_roi,mean_visibility,n_low_visibility_landmarks
0,0.0,True,False,0.46196368569111323,18
1,0.03333333333333333,True,True,0.5397023013060926,14
2,0.06666666666666667,True,True,0.5740604953783931,14
3,0.1,True,True,0.6016829126712048,14
4,0.13333333333333333,True,True,0.6167958852919665,14
5,0.16666666666666666,True,True,0.6451372355222702,14
6,0.2,True,True,0.650791279294274,14
7,0.23333333333333334,True,True,0.6500824202190746,14
8,0.26666666666666666,True,True,0.6503195198196353,14
9,0.3,True,True,0.6278720845778784,15
10,0.3333333333333333,True,True,0.6263337618473804,16
11,0.36666666666666664,True,True,0.6121363964947787,18
12,0.4,True,True,0.6034136495806954,18
13,0.43333333333333335,True,True,0.57470705789147,18
14,0.4666666666666667,True,True,0.562692232204206,18
15,0.5,True,True,0.573556869318991,18
16,0.5333333333333333,True,True,0.5917843512513421,18
17,0.5666666666666667,True,True,0.6058268005197699,18
18,0.6,True,True,0.5835629832563978,18
19,0.6333333333333333,True,True,0.5759846843553312,18
20,0.6666666666666666,True,True,0.5707318719589349,18
21,0.7,True,True,0.5532697274377851,18
22,0.7333333333333333,True,True,0.5698656950033072,18
23,0.7666666666666666,True,True,0.5674132004831777,18
24,0.8,True,True,0.5701388052918694,18
25,0.8333333333333334,True,True,0.5608311469356219,18
26,0.8666666666666667,True,True,0.5891801769083197,18
27,0.9,True,True,0.6077683622186835,18
28,0.9333333333333333,True,True,0.6258897013736494,18
29,0.9666666666666667,True,True,0.6382635660243757,16
30,1.0,True,True,0.6525739837776531,13
31,1.0333333333333332,True,True,0.6561341177333485,13
32,1.0666666666666667,True,True,0.6483975405042822,11
33,1.1,True,True,0.6498999112483227,10
34,1.1333333333333333,True,True,0.6478973058137026,10
35,1.1666666666666667,True,True,0.6192793715180773,10
36,1.2,True,True,0.6143512016896046,10
37,1.2333333333333334,True,True,0.571821677865404,16
38,1.2666666666666666,True,True,0.5669348646293987,16
39,1.3,True,True,0.5854716779607715,15
40,1.3333333333333333,True,True,0.5777914431510549,16
41,1.3666666666666667,True,True,0.5675341879779642,18
42,1.4,True,True,0.5474420393055136,18
43,1.4333333333333333,True,True,0.5265429509860097,18
44,1.4666666666666666,True,True,0.5275710159630487,18
45,1.5,False,True,0.0,33
46,1.5333333333333332,True,True,0.5395238433371891,18
47,1.5666666666666667,True,True,0.5434907148733283,18
48,1.6,True,True,0.5551975651672392,16
49,1.6333333333333333,True,True,0.5959792033289418,14
50,1.6666666666666667,False,True,0.0,33
51,1.7,True,True,0.6110634058713913,13
52,1.7333333333333334,True,True,0.6403695195913315,12
53,1.7666666666666666,True,True,0.6473887707247878,11
54,1.8,True,True,0.6497365326592417,11
55,1.8333333333333333,True,True,0.6429446962746707,10
56,1.8666666666666667,True,True,0.6197409977515539,10
57,1.9,True,True,0.6203395480459387,10
58,1.9333333333333333,True,True,0.6239589170524569,10
59,1.9666666666666666,True,True,0.6409768076105551,10
60,2.0,True,True,0.6399014508633902,10
61,2.033333333333333,True,True,0.6580120984351996,10
62,2.0666666666666664,True,True,0.6374661529606039,10
63,2.1,True,True,0.620345568115061,10
64,2.1333333333333333,False,True,0.0,33
65,2.1666666666666665,True,True,0.6531576604554148,10
66,2.2,True,True,0.6705330899267485,10
67,2.2333333333333334,True,True,0.6833430031935374,10
68,2.2666666666666666,True,True,0.692978793924505,10
69,2.3,True,True,0.668373167514801,10
70,2.3333333333333335,True,True,0.6881753088849963,9
71,2.3666666666666667,True,True,0.7159008365688901,9
72,2.4,True,True,0.7438946944294553,5
73,2.433333333333333,True,True,0.763801125865994,5
74,2.466666666666667,True,True,0.769217211188692,5
75,2.5,True,True,0.7667143958987612,8
76,2.533333333333333,True,True,0.7796920248956392,1
77,2.5666666666666664,True,True,0.7782769519271273,1
78,2.6,True,True,0.77887347611514,0
79,2.6333333333333333,True,True,0.7656955511280985,1
80,2.6666666666666665,True,True,0.7681633730729421,3
81,2.7,True,True,0.7749255904645631,5
82,2.7333333333333334,True,True,0.7899962464968363,5
83,2.7666666666666666,True,True,0.8054813191746221,1
84,2.8,True,True,0.8234724492737742,0
85,2.8333333333333335,True,True,0.8401593367258707,0
86,2.8666666666666667,True,True,0.8506681250803398,0
87,2.9,True,True,0.8516664324384747,0
88,2.933333333333333,True,True,0.834009132601998,0
89,2.966666666666667,True,True,0.8274479201345732,0
90,3.0,True,True,0.8213698611114965,0
