frame,timestamp_sec,detected,used_roi,mean_visibility,n_low_visibility_landmarks
0,0.0,True,False,0.9980409307913347,0
1,0.03333333333333333,True,True,0.9331716858979427,2
2,0.06666666666666667,True,True,0.9316774480270616,2
3,0.1,True,True,0.9356926489960063,2
4,0.13333333333333333,True,True,0.9408294395966963,1
5,0.16666666666666666,True,True,0.9407310657428972,1
6,0.2,True,True,0.9417490019942775,1
7,0.23333333333333334,True,True,0.9390186044302854,1
8,0.26666666666666666,True,True,0.9284945220658274,1
9,0.3,True,True,0.9161707244136117,1
10,0.3333333333333333,True,True,0.9062829071825201,1
11,0.36666666666666664,True,True,0.8843092123667399,1
12,0.4,True,True,0.8672591908411547,1
13,0.43333333333333335,True,True,0.8489302198092142,0
14,0.4666666666666667,True,True,0.8347142230380665,0
15,0.5,True,True,0.8226294752323267,4
16,0.5333333333333333,True,True,0.8219179772969448,1
17,0.5666666666666667,True,True,0.8246973572355328,0
18,0.6,True,True,0.825051921786684,4
19,0.6333333333333333,True,True,0.8275328739122911,4
20,0.6666666666666666,True,True,0.8144970301425818,5
21,0.7,True,True,0.8163308320623456,4
22,0.7333333333333333,True,True,0.8090970931631146,0
23,0.7666666666666666,True,True,0.8191071911291643,0
24,0.8,True,True,0.8369274175528324,0
25,0.8333333333333334,True,True,0.8531528476512793,0
26,0.8666666666666667,True,True,0.8677022926735155,0
27,0.9,True,True,0.8808646653637742,0
28,0.9333333333333333,True,True,0.8925249088894237,0
29,0.9666666666666667,True,True,0.9006857203714775,0
30,1.0,True,True,0.9035204341917327,0
31,1.0333333333333332,True,True,0.903118119095311,0
32,1.0666666666666667,True,True,0.906563477082686,0
33,1.1,True,True,0.9015685897884946,0
34,1.1333333333333333,True,True,0.89441497036905,0
35,1.1666666666666667,True,True,0.8766881660981611,0
36,1.2,True,True,0.8547742980899233,0
37,1.2333333333333334,True,True,0.8281045574130435,0
38,1.2666666666666666,True,True,0.8148973466772022,4
39,1.3,True,True,0.7997431574445782,4
40,1.3333333333333333,True,True,0.7848156446760352,4
41,1.3666666666666667,True,True,0.7801482840017839,5
42,1.4,True,True,0.784462902582053,8
43,1.4333333333333333,True,True,0.7916425267855326,6
44,1.4666666666666666,True,True,0.7947748845273798,4
45,1.5,True,True,0.8016827955390468,5
46,1.5333333333333332,True,True,0.7932185079112197,5
47,1.5666666666666667,True,True,0.7961700621879462,5
48,1.6,True,True,0.8008152445157369,0
49,1.6333333333333333,True,True,0.8173912763595581,0
50,1.6666666666666667,True,True,0.8353939778877028,0
51,1.7,True,True,0.8517267884630145,0
52,1.7333333333333334,True,True,0.8665047432437087,0
53,1.7666666666666666,True,True,0.8797668706287037,0
54,1.8,True,True,0.8913775032216852,0
55,1.8333333333333333,True,True,0.8993077838059628,0
56,1.8666666666666667,True,True,0.9030707514647281,0
57,1.9,True,True,0.9039706208489158,0
58,1.9333333333333333,True,True,0.9055024873126637,0
59,1.9666666666666666,True,True,0.890072473973939,0
60,2.0,True,True,0.8768443754225066,0
61,2.033333333333333,True,True,0.8627220663157377,0
62,2.0666666666666664,True,True,0.843191025835095,0
63,2.1,True,True,0.825122639988408,0
64,2.1333333333333333,True,True,0.8114816293571935,4
65,2.1666666666666665,True,True,0.7984229552023339,4
66,2.2,True,True,0.7894750824480345,4
67,2.2333333333333334,True,True,0.7829454776012537,5
68,2.2666666666666666,True,True,0.7869451064052004,8
69,2.3,True,True,0.7928340994950497,5
70,2.3333333333333335,True,True,0.8002453563791333,4
71,2.3666666666666667,True,True,0.8018307460076881,4
72,2.4,True,True,0.8092495139801141,1
73,2.433333333333333,True,True,0.8185301621754965,0
74,2.466666666666667,True,True,0.8313404989965034,0
75,2.5,True,True,0.8480197064804308,0
76,2.533333333333333,True,True,0.8629928032557169,0
77,2.5666666666666664,True,True,0.8765886118917754,0
78,2.6,True,True,0.8888421817259355,0
79,2.6333333333333333,True,True,0.899546585299752,0
80,2.6666666666666665,True,True,0.903398638421839,0
81,2.7,True,True,0.9037915395967888,0
82,2.7333333333333334,True,True,0.9055796283664126,0
83,2.7666666666666666,True,True,0.9043373989336418,0
84,2.8,True,True,0.8974789579709371,0
85,2.8333333333333335,True,True,0.8914855249000319,0
86,2.8666666666666667,True,True,0.8657316728071733,0
87,2.9,True,True,0.8448812997702396,0
88,2.933333333333333,True,True,0.8195392868735574,0
89,2.966666666666667,True,True,0.8059325281417731,2
90,3.0,True,True,0.7942738388523911,6
91,3.033333333333333,True,True,0.7831279066475955,5
92,3.0666666666666664,True,True,0.7724960012869402,5
93,3.1,True,True,0.7767045416615226,8
94,3.1333333333333333,True,True,0.7835247480508053,8
95,3.1666666666666665,True,True,0.7912220196290449,4
96,3.2,True,True,0.8027853685798068,5
97,3.2333333333333334,True,True,0.8024349781599912,5
98,3.2666666666666666,True,True,0.8032367292678717,5
99,3.3,True,True,0.8109583222504818,0
100,3.3333333333333335,True,True,0.8295639915899797,0
101,3.3666666666666667,True,True,0.8464363795338254,0
102,3.4,True,True,0.8615129806778647,0
103,3.433333333333333,True,True,0.8752398960518114,0
104,3.466666666666667,True,True,0.8876528360626914,0
105,3.5,True,True,0.8951971585100348,0
106,3.533333333333333,True,True,0.9026392788598032,0
107,3.5666666666666664,True,True,0.9051487933505665,0
108,3.6,True,True,0.9058124910701405,0
109,3.6333333333333333,True,True,0.9033180150118741,0
110,3.6666666666666665,True,True,0.9021936167370189,0
111,3.6999999999999997,True,True,0.8869871497154236,0
112,3.7333333333333334,True,True,0.8567200808814077,0
113,3.7666666666666666,True,True,0.8304504697973077,2
114,3.8,True,True,0.8110950525962946,3
115,3.8333333333333335,True,True,0.7959599531058109,4
116,3.8666666666666667,True,True,0.782084867809758,7
117,3.9,True,True,0.7721168615601279,6
118,3.933333333333333,True,True,0.7667863197398909,6
119,3.966666666666667,True,True,0.77439617117246,8
120,4.0,True,True,0.7827885728893857,8
121,4.033333333333333,True,True,0.7914108913956266,4
122,4.066666666666666,True,True,0.7946084656498649,5
123,4.1,True,True,0.7852074368433519,5
124,4.133333333333333,True,True,0.784180588794477,5
125,4.166666666666667,True,True,0.7864375990448575,5
126,4.2,True,True,0.8061796788013342,2
127,4.233333333333333,True,True,0.8252658139575612,0
128,4.266666666666667,True,True,0.842581590016683,0
129,4.3,True,True,0.8582820585279753,0
130,4.333333333333333,True,True,0.8722930640885325,0
131,4.366666666666666,True,True,0.8841937798442263,0
132,4.4,True,True,0.8870025078455607,0
133,4.433333333333334,True,True,0.8871510263645288,0
134,4.466666666666667,True,True,0.8889958172133474,0
135,4.5,True,True,0.8906294902165731,0
136,4.533333333333333,True,True,0.8839659239306594,0
137,4.566666666666666,True,True,0.868261871915875,0
138,4.6,True,True,0.8589772708488234,0
139,4.633333333333333,True,True,0.8343433051398306,0
140,4.666666666666667,True,True,0.815790472608624,0
141,4.7,True,True,0.8016821516282631,5
142,4.733333333333333,True,True,0.7881156766053402,5
143,4.766666666666667,True,True,0.7781577606995901,5
144,4.8,True,True,0.7747463457512133,8
145,4.833333333333333,True,True,0.7723120261322368,9
146,4.866666666666666,True,True,0.7800531423453129,8
147,4.9,True,True,0.7876074675357703,9
148,4.933333333333334,True,True,0.7930496858827996,5
149,4.966666666666667,True,True,0.7900464272860325,5
150,5.0,True,True,0.7922074081319751,5
151,5.033333333333333,True,True,0.8125994900862376,4
152,5.066666666666666,True,True,0.8311378793282942,0
153,5.1,True,True,0.8477598735780427,0
154,5.133333333333333,True,True,0.8629085150631991,0
155,5.166666666666667,True,True,0.876547867601568,0
156,5.2,True,True,0.8816353787075389,0
157,5.233333333333333,True,True,0.885963808406483,0
158,5.266666666666667,True,True,0.8908720648649967,0
159,5.3,True,True,0.8921819365385807,0
160,5.333333333333333,True,True,0.891769775838563,0
161,5.366666666666666,True,True,0.8880880059617938,0
162,5.4,True,True,0.8782681822776794,0
163,5.433333333333334,True,True,0.863208425767494,0
164,5.466666666666667,True,True,0.8435613476868832,0
165,5.5,True,True,0.8256746945959149,0
166,5.533333333333333,True,True,0.8121777926430558,5
167,5.566666666666666,True,True,0.797859585646427,5
168,5.6,True,True,0.7878923506447764,4
169,5.633333333333333,True,True,0.7787447752374591,6
170,5.666666666666667,True,True,0.782710667812463,8
171,5.7,True,True,0.7897907080072345,8
172,5.733333333333333,True,True,0.7974980157433134,4
173,5.766666666666667,True,True,0.7981285696679895,5
174,5.8,True,True,0.793745267571825,5
175,5.833333333333333,True,True,0.7975619245659221,5
176,5.866666666666666,True,True,0.8141488694783413,4
177,5.9,True,True,0.8324356765458079,0
178,5.933333333333334,True,True,0.8487797776858012,0
179,5.966666666666667,True,True,0.8638540217370698,0
180,6.0,True,True,0.8773738489006505,0
181,6.033333333333333,True,True,0.8895151579018795,0
182,6.066666666666666,True,True,0.8937525351842245,0
183,6.1,True,True,0.8956971403324243,0
184,6.133333333333333,True,True,0.8962780833244324,0
185,6.166666666666667,True,True,0.8932143955519705,0
186,6.2,True,True,0.8941179243001071,0
187,6.233333333333333,True,True,0.881507057132143,0
188,6.266666666666667,True,True,0.862148718400435,0
189,6.3,True,True,0.8499079202160691,0
190,6.333333333333333,True,True,0.8288224158865033,0
191,6.366666666666666,True,True,0.8115579323335127,0
192,6.4,True,True,0.7998197638627255,5
193,6.433333333333334,True,True,0.7926530503865444,4
194,6.466666666666667,True,True,0.7826224330699805,4
195,6.5,True,True,0.7731502263834982,9
196,6.533333333333333,True,True,0.7812347475326422,8
197,6.566666666666666,True,True,0.7881698933514681,8
198,6.6,True,True,0.7954747631694331,5
199,6.633333333333333,True,True,0.7957197319377552,5
200,6.666666666666667,True,True,0.7944804177139745,5
201,6.7,True,True,0.7940495375430945,5
202,6.733333333333333,True,True,0.8086825591145139,4
203,6.766666666666667,True,True,0.8277156551678976,0
204,6.8,True,True,0.8447936899734266,0
205,6.833333333333333,True,True,0.8601945728966685,0
206,6.866666666666666,True,True,0.874134412317565,0
207,6.8999999999999995,True,True,0.8866048166246125,0
208,6.933333333333334,True,True,0.8895263491254864,0
209,6.966666666666667,True,True,0.8936701416969299,0
210,7.0,True,True,0.8943609414678632,0
211,7.033333333333333,True,True,0.8997637087648566,0
212,7.066666666666666,True,True,0.8984423568754485,0
213,7.1,True,True,0.8900360284429608,0
214,7.133333333333333,True,True,0.873246248924371,0
215,7.166666666666667,True,True,0.8547730734854033,0
216,7.2,True,True,0.832592127901135,0
217,7.233333333333333,True,True,0.8179352084795634,5
218,7.266666666666667,True,True,0.8078833701032581,4
219,7.3,True,True,0.7947623964511987,4
220,7.333333333333333,True,True,0.7878855593276747,8
221,7.366666666666666,True,True,0.7930202628626968,8
222,7.3999999999999995,True,True,0.7997076384948961,8
223,7.433333333333334,True,True,0.803973404747067,5
224,7.466666666666667,True,True,0.8073210960084741,5
225,7.5,True,True,0.8120474291570259,5
226,7.533333333333333,True,True,0.8210478867545272,4
227,7.566666666666666,True,True,0.8294204437371456,0
228,7.6,True,True,0.8462022253961274,0
229,7.633333333333333,True,True,0.8611714984431411,0
230,7.666666666666667,True,True,0.8749014608787767,0
231,7.7,True,True,0.8873249075629495,0
232,7.733333333333333,True,True,0.8985149535265836,0
233,7.766666666666667,True,True,0.9081320618138169,0
234,7.8,True,True,0.9128990335897966,0
235,7.833333333333333,True,True,0.9140793428276525,0
236,7.866666666666666,True,True,0.9135763663234133,0
237,7.8999999999999995,True,True,0.9124194762923501,0
238,7.933333333333334,True,True,0.9026719259493279,0
239,7.966666666666667,True,True,0.8844496282664213,0
240,8.0,True,True,0.8676989927436366,0
241,8.033333333333333,True,True,0.8472710378242262,0
242,8.066666666666666,True,True,0.828352922743017,0
243,8.1,True,True,0.8145934650392244,4
244,8.133333333333333,True,True,0.8003890333753644,4
245,8.166666666666666,True,True,0.789851800961928,4
246,8.2,True,True,0.7896255724357836,8
247,8.233333333333333,True,True,0.7942907051606611,8
248,8.266666666666666,True,True,0.8014173652186538,5
249,8.3,True,True,0.8075349276716058,5
250,8.333333333333334,True,True,0.8085794846216837,5
251,8.366666666666667,True,True,0.8019173623937549,5
252,8.4,True,True,0.8080883838913657,5
253,8.433333333333334,True,True,0.8241966393860903,5
254,8.466666666666667,True,True,0.8411882591970039,0
255,8.5,True,True,0.8569383603153806,0
256,8.533333333333333,True,True,0.871189787532344,0
257,8.566666666666666,True,True,0.883993331230048,0
258,8.6,True,True,0.8953525153073397,0
