Frame,Time,FPS,Landmark_ID,Visibility,X_clean,Y_clean,Z_clean,X_raw,Y_raw,Z_raw
0,0.0,30.0,0,0.9998754262924194,789.4389495849609,449.9212739467621,31.1843683719635,0.4740842282772064,-0.399700403213501,-0.06569705903530121
0,0.0,30.0,1,0.9998225569725037,786.3285827636719,456.6090188026428,46.93795394897461,0.4622160494327545,-0.4318740665912628,-0.05854512006044388
0,0.0,30.0,2,0.9998087286949158,785.0181884765625,456.41144835948944,46.7591986656189,0.4640825688838959,-0.4317814111709595,-0.04961944743990898
0,0.0,30.0,3,0.9998421669006348,783.7202224731445,456.2562804222107,46.79354381561279,0.4630438983440399,-0.43172165751457214,-0.05053029954433441
0,0.0,30.0,4,0.9999181032180786,786.2206420898438,456.75600814819336,15.185079574584961,0.4698247015476227,-0.4317675232887268,-0.09889111667871475
0,0.0,30.0,5,0.9999457597732544,784.7575378417969,456.6020117998123,14.873480916023254,0.4696595072746277,-0.4276323616504669,-0.10801399499177933
0,0.0,30.0,6,0.9999552965164185,783.2112808227539,456.5000385046005,14.696614980697632,0.46744394302368164,-0.41735175251960754,-0.08875912427902222
0,0.0,30.0,7,0.9999045133590698,773.3857269287109,455.27072632312775,109.84817504882812,0.39339348673820496,-0.4582064747810364,0.020488180220127106
0,0.0,30.0,8,0.9999192953109741,772.3420257568359,455.4383761882782,-35.272106409072876,0.34084758162498474,-0.4178435802459717,-0.11759667098522186
0,0.0,30.0,9,0.9997887015342712,784.4391403198242,440.9382061958313,58.011383056640625,0.4657987952232361,-0.3926927447319031,-0.026832057163119316
0,0.0,30.0,10,0.9998555183410645,784.0248184204102,441.2498263120651,14.354970216751099,0.4322849214076996,-0.3608548045158386,-0.09271621704101562
0,0.0,30.0,11,0.9999359846115112,744.5508728027344,410.8655469417572,205.1718406677246,0.3267131745815277,-0.32298415899276733,0.17505276203155518
0,0.0,30.0,12,0.9999963045120239,751.422477722168,429.90488040447235,-134.86661052703857,0.3507239818572998,-0.3784082233905792,-0.09645042568445206
0,0.0,30.0,13,0.041529204696416855,730.9437561035156,380.007404923439,382.60708236694336,0.2958506941795349,-0.22944499552249908,0.35995572805404663
0,0.0,30.0,14,0.9985696077346802,790.965087890625,373.7762417793274,-229.35664558410645,0.4391818046569824,-0.1524425745010376,-0.20954401791095734
0,0.0,30.0,15,0.06545621156692505,732.2608108520508,373.0375099182129,498.6109313964844,0.34235864877700806,-0.16491636633872986,0.5554689764976501
0,0.0,30.0,16,0.9911044836044312,842.9349517822266,347.89998865127563,-217.59712028503418,0.6087122559547424,-0.08051186800003052,-0.18520957231521606
0,0.0,30.0,17,0.0985417291522026,739.1515045166016,370.32690382003784,533.4436683654785,0.34944701194763184,-0.18641507625579834,0.6003474593162537
0,0.0,30.0,18,0.9858707785606384,854.884162902832,338.215589761734,-247.96236991882324,0.6771959066390991,-0.061464935541152954,-0.2412119209766388
0,0.0,30.0,19,0.10066045820713043,740.2813110351562,371.31860876083374,503.1665840148926,0.35881155729293823,-0.19270700216293335,0.5773006081581116
0,0.0,30.0,20,0.9825552701950073,858.1313781738281,340.7512686252594,-224.38100624084473,0.7214131951332092,-0.08971357345581055,-0.21978910267353058
0,0.0,30.0,21,0.1196511760354042,739.5218811035156,374.034441947937,489.9895820617676,0.3428778648376465,-0.15033771097660065,0.5512586832046509
0,0.0,30.0,22,0.9637563824653625,854.184814453125,343.3828375339508,-209.12612915039062,0.634670615196228,-0.09001821279525757,-0.18031640350818634
0,0.0,30.0,23,0.9999982118606567,678.4858245849609,324.6558451652527,93.33583545684814,0.05010077357292175,0.010095691308379173,0.10753098130226135
0,0.0,30.0,24,0.9999991655349731,658.2771606445312,337.7135639190674,-93.45566368103027,-0.04540899768471718,-0.013021216727793217,-0.10357115417718887
0,0.0,30.0,25,0.9993921518325806,762.5183944702148,267.51979780197144,-61.57566976547241,0.3238934576511383,0.2397191971540451,-0.05710352212190628
0,0.0,30.0,26,0.9999622106552124,580.5258178710938,272.25409841537476,-162.69558906555176,-0.2686334252357483,0.2229037880897522,-0.15595680475234985
0,0.0,30.0,27,0.9996476173400879,770.6880340576172,170.17053866386414,-47.36790990829468,0.3967200517654419,0.6076865792274475,0.004380011465400457
0,0.0,30.0,28,0.9999591112136841,486.0135612487793,239.67982649803162,-172.31341552734375,-0.6982200145721436,0.35706809163093567,-0.07979197055101395
0,0.0,30.0,29,0.9992436170578003,761.3988189697266,150.09162282943726,-50.30965805053711,0.3914894461631775,0.6333104372024536,0.016428079456090927
0,0.0,30.0,30,0.9984583854675293,471.2545967102051,241.17418813705444,-175.12785530090332,-0.7402647733688354,0.3684186637401581,-0.1090758815407753
0,0.0,30.0,31,0.9996575117111206,811.3740463256836,147.42585253715515,-116.90194702148438,0.5249786376953125,0.6297449469566345,0.0055360631085932255
0,0.0,30.0,32,0.9998743534088135,447.59337615966797,205.12642550468445,-274.9519672393799,-0.7282717823982239,0.41130685806274414,-0.1868714690208435
1,0.03333333333333333,30.0,0,0.9998058080673218,776.1128768920898,452.8338214159012,56.57947826385498,0.441342830657959,-0.4085957705974579,-0.054282061755657196
1,0.03333333333333333,30.0,1,0.9996261596679688,771.8535461425781,460.54150199890137,74.64779949188232,0.4269685447216034,-0.44030243158340454,-0.04461454600095749
1,0.03333333333333333,30.0,2,0.9995855093002319,770.4902801513672,460.9764994382858,74.52051258087158,0.4294794797897339,-0.43962737917900085,-0.03758138418197632
1,0.03333333333333333,30.0,3,0.9996756911277771,769.1067581176758,461.21539092063904,74.58649063110352,0.4287836253643036,-0.440512478351593,-0.03918418660759926
1,0.03333333333333333,30.0,4,0.9998379945755005,771.5495681762695,460.69939613342285,42.63866901397705,0.4333447813987732,-0.43951329588890076,-0.08808482438325882
1,0.03333333333333333,30.0,5,0.999880313873291,770.2268142700195,461.1678739786148,42.38405656814575,0.43399903178215027,-0.43589505553245544,-0.09765943139791489
1,0.03333333333333333,30.0,6,0.9999096393585205,768.9532928466797,461.5206574201584,42.25373983383179,0.4312247037887573,-0.4260604977607727,-0.07775013893842697
1,0.03333333333333333,30.0,7,0.9997344613075256,758.6117248535156,458.6859530210495,138.10679626464844,0.34975576400756836,-0.46430978178977966,0.034115321934223175
1,0.03333333333333333,30.0,8,0.9998185634613037,757.9711532592773,459.80563151836395,-7.10613888502121,0.2994149923324585,-0.4229556620121002,-0.10841258615255356
1,0.03333333333333333,30.0,9,0.9996495246887207,770.8108749389648,445.2660781145096,82.29813766479492,0.43024125695228577,-0.40013477206230164,-0.016175905242562294
