Sportista,Tip,I_topple [kg*m2],theta_0 [deg],omega_spin [rev/s],omega_spin [deg/s],t_pad (9.3deg) [s],t_opseg [s],N_kruto (ODE),N_kruto_tol,N_kruto opseg,N_stvarno (izvedeno),Stvarni theta_sr [deg],Status stabilnosti
TRUSOVA,Umetničko klizanje,75.25,4.65,2.06,742.5,0.56,[0.43 - 0.63],1.16,0.2,[0.89 - 1.30],8.29,3.62,Sumnjivo / Granicna stabilnost
LIU,Umetničko klizanje,61.36,1.88,2.18,783.9,0.93,[0.83 - 0.99],2.02,0.18,[1.80 - 2.16],8.68,4.29,Sumnjivo / Granicna stabilnost
SCEREBAKOVA,Umetničko klizanje,59.46,3.13,2.18,785.1,0.73,[0.63 - 0.79],1.59,0.18,[1.37 - 1.73],8.65,3.94,Sumnjivo / Granicna stabilnost
VALIEVA,Umetničko klizanje,61.52,10.41,1.77,636.7,0.0,[0.00 - 0.17],0.0,0.15,[0.00 - 0.29],7.04,4.6,Sumnjivo / Granicna stabilnost
KHOREVA,Balet,76.83,1.34,1.23,442.6,1.09,[1.02 - 1.19],1.34,0.1,[1.26 - 1.46],4.95,4.14,Sumnjivo / Granicna stabilnost
MARIANELA,Balet,85.99,4.62,1.5,539.3,0.56,[0.46 - 0.66],0.84,0.15,[0.69 - 0.99],6.11,3.84,Sumnjivo / Granicna stabilnost
KAPITONOVA,Balet,73.99,9.28,1.23,443.7,0.03,[0.00 - 0.26],0.04,0.16,[0.00 - 0.33],4.8,4.79,Sumnjivo / Granicna stabilnost
