Atletičarka,Sport,Masa [kg],Visina [m],I_topple [kg·m²],Pad pri 0.1° [s],Okreta pri 0.1°,Pad pri 1.0° [s],Okreta pri 1.0°,Pad pri 3.0° [s],Okreta pri 3.0°
Marianela Nuñez,Balet,52.0,1.74,86.0,0.62,1.05,0.35,0.59,0.21,0.36
Sofia Kapitonova,Balet,48.0,1.68,74.0,0.62,1.05,0.35,0.59,0.21,0.36
Maria Khoreva,Balet,47.0,1.73,76.8,0.62,1.05,0.35,0.59,0.21,0.36
Alexandra Trusova,Umetničko klizanje,50.0,1.66,75.3,0.62,1.05,0.35,0.59,0.21,0.36
Kamila Valieva,Umetničko klizanje,44.0,1.6,61.5,0.62,1.05,0.35,0.59,0.21,0.36
Anna Shcherbakova,Umetničko klizanje,42.0,1.61,59.5,0.62,1.05,0.35,0.59,0.21,0.36
Alysa Liu,Umetničko klizanje,45.0,1.58,61.4,0.62,1.05,0.35,0.59,0.21,0.36
