Frame,Time_s,Theta_continuous_deg,Angular_Displacement_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,Rotational_KE_J
234.0000,7.8000,988.4665,988.4665,111.1194,1.9394,-0.0000,-0.3468,-12.9546,12.9593,6.7143
235.0000,7.8333,992.1705,992.1705,111.1194,1.9394,0.0000,0.5635,-14.8667,14.8774,6.7143
236.0000,7.8667,995.8745,995.8745,111.1194,1.9394,-0.0000,1.8125,-17.6162,17.7092,6.7143
237.0000,7.9000,999.5785,999.5785,111.1194,1.9394,-0.0000,3.5605,-21.0989,21.3972,6.7143
238.0000,7.9333,1003.2825,1003.2825,111.1194,1.9394,-0.0000,5.6116,-23.7713,24.4247,6.7143
239.0000,7.9667,1006.9864,1006.9864,111.1194,1.9394,0.0000,7.9522,-26.0324,27.2199,6.7143
240.0000,8.0000,1010.6904,1010.6904,111.1194,1.9394,0.0000,10.3311,-27.3542,29.2401,6.7143
241.0000,8.0333,1014.3944,1014.3944,111.1194,1.9394,0.0000,12.4444,-27.4407,30.1306,6.7143
242.0000,8.0667,1018.0984,1018.0984,111.1194,1.9394,0.0000,13.7159,-25.6894,29.1216,6.7143
243.0000,8.1000,1021.8024,1021.8024,111.1194,1.9394,0.0000,14.5158,-23.4095,27.5447,6.7143
244.0000,8.1333,1025.5064,1025.5064,111.1194,1.9394,-0.0000,14.9836,-21.0012,25.7984,6.7143
245.0000,8.1667,1029.2103,1029.2103,111.1194,1.9394,-0.0000,14.9971,-18.3815,23.7232,6.7143
246.0000,8.2000,1032.9143,1032.9143,111.1194,1.9394,-0.0000,14.9019,-16.0284,21.8855,6.7143
247.0000,8.2333,1036.6183,1036.6183,111.1194,1.9394,-0.0000,14.9809,-14.1577,20.6123,6.7143
248.0000,8.2667,1040.3223,1040.3223,111.1194,1.9394,-0.0000,15.5841,-12.9279,20.2483,6.7143
249.0000,8.3000,1044.0263,1044.0263,111.1194,1.9394,-0.0000,16.8798,-12.2521,20.8576,6.7143
250.0000,8.3333,1047.7302,1047.7302,111.1194,1.9394,-0.0000,18.7483,-11.8383,22.1731,6.7143
251.0000,8.3667,1051.4342,1051.4342,111.1194,1.9394,-0.0000,21.4955,-11.7031,24.4749,6.7143
252.0000,8.4000,1055.1382,1055.1382,111.1194,1.9394,0.0000,24.4265,-11.3186,26.9215,6.7143
253.0000,8.4333,1058.8422,1058.8422,111.1194,1.9394,0.0000,26.8326,-10.3849,28.7721,6.7143
254.0000,8.4667,1062.5462,1062.5462,111.1194,1.9394,0.0000,28.7651,-9.0441,30.1534,6.7143
255.0000,8.5000,1066.2501,1066.2501,111.1194,1.9394,0.0000,29.2232,-7.1508,30.0854,6.7143
256.0000,8.5333,1069.9541,1069.9541,111.1194,1.9394,0.0000,28.3055,-5.0144,28.7462,6.7143
257.0000,8.5667,1073.6581,1073.6581,111.1194,1.9394,0.0000,27.0266,-3.0038,27.1930,6.7143
258.0000,8.6000,1077.3621,1077.3621,111.1194,1.9394,-0.0000,24.6948,-1.1378,24.7210,6.7143
259.0000,8.6333,1081.0661,1081.0661,111.1194,1.9394,-0.0000,22.6076,0.4207,22.6115,6.7143
260.0000,8.6667,1084.7700,1084.7700,111.1194,1.9394,-0.0000,20.9039,1.7443,20.9765,6.7143
261.0000,8.7000,1088.4740,1088.4740,111.1194,1.9394,-0.0000,20.8279,3.1031,21.0578,6.7143
262.0000,8.7333,1092.1780,1092.1780,111.1194,1.9394,-0.0000,22.1872,4.7881,22.6980,6.7143
263.0000,8.7667,1095.8820,1095.8820,111.1194,1.9394,-0.0000,24.3582,6.9303,25.3249,6.7143
264.0000,8.8000,1099.5860,1099.5860,111.1194,1.9394,0.0000,27.0440,9.6225,28.7048,6.7143
265.0000,8.8333,1103.2900,1103.2900,111.1194,1.9394,0.0000,30.4678,13.1152,33.1707,6.7143
266.0000,8.8667,1106.9939,1106.9939,111.1194,1.9394,0.0000,33.7404,17.1871,37.8657,6.7143
267.0000,8.9000,1110.6979,1110.6979,111.1194,1.9394,0.0000,35.9213,21.3267,41.7752,6.7143
268.0000,8.9333,1114.4019,1114.4019,111.1194,1.9394,-0.0000,38.1476,26.1221,46.2342,6.7143
269.0000,8.9667,1118.1059,1118.1059,111.1194,1.9394,-0.0000,38.7278,30.3729,49.2174,6.7143
270.0000,9.0000,1121.8099,1121.8099,111.1194,1.9394,-0.0000,37.6418,33.6673,50.5015,6.7143
271.0000,9.0333,1125.5138,1125.5138,111.1194,1.9394,-0.0000,34.8141,35.4442,49.6821,6.7143
272.0000,9.0667,1129.2178,1129.2178,111.1194,1.9394,-0.0000,31.1136,36.0681,47.6336,6.7143
273.0000,9.1000,1132.9218,1132.9218,111.1194,1.9394,-0.0000,27.8850,36.8997,46.2510,6.7143
274.0000,9.1333,1136.6258,1136.6258,111.1194,1.9394,-0.0000,24.0971,36.5810,43.8046,6.7143
275.0000,9.1667,1140.3298,1140.3298,111.1194,1.9394,0.0000,20.4075,35.8214,41.2267,6.7143
276.0000,9.2000,1144.0337,1144.0337,111.1194,1.9394,0.0000,16.3846,33.6437,37.4213,6.7143
277.0000,9.2333,1147.7377,1147.7377,111.1194,1.9394,0.0000,12.5767,30.7227,33.1972,6.7143
278.0000,9.2667,1151.4417,1151.4417,111.1194,1.9394,-0.0000,9.1911,27.3768,28.8785,6.7143
279.0000,9.3000,1155.1457,1155.1457,111.1194,1.9394,-0.0000,6.5150,24.5640,25.4133,6.7143
280.0000,9.3333,1158.8497,1158.8497,111.1194,1.9394,-0.0000,4.2835,21.7321,22.1503,6.7143
281.0000,9.3667,1162.5537,1162.5537,111.1194,1.9394,-0.0000,2.4952,19.0913,19.2536,6.7143
282.0000,9.4000,1166.2576,1166.2576,111.1194,1.9394,0.0000,1.2178,18.6181,18.6579,6.7143
283.0000,9.4333,1169.9616,1169.9616,111.1194,1.9394,0.0000,0.0129,19.3278,19.3278,6.7143
284.0000,9.4667,1173.6656,1173.6656,111.1194,1.9394,0.0000,-1.3514,21.0950,21.1383,6.7143
285.0000,9.5000,1177.3696,1177.3696,111.1194,1.9394,0.0000,-3.0310,23.4351,23.6303,6.7143
286.0000,9.5333,1181.0736,1181.0736,111.1194,1.9394,0.0000,-5.3971,27.5767,28.0999,6.7143
287.0000,9.5667,1184.7775,1184.7775,111.1194,1.9394,0.0000,-8.4250,31.9380,33.0305,6.7143
288.0000,9.6000,1188.4815,1188.4815,111.1194,1.9394,-0.0000,-11.5105,34.4382,36.3109,6.7143
289.0000,9.6333,1192.1855,1192.1855,111.1194,1.9394,-0.0000,-14.9547,36.6719,39.6040,6.7143
290.0000,9.6667,1195.8895,1195.8895,111.1194,1.9394,-0.0000,-18.4845,38.0851,42.3338,6.7143
291.0000,9.7000,1199.5935,1199.5935,111.1194,1.9394,-0.0000,-21.9863,38.7131,44.5208,6.7143
292.0000,9.7333,1203.2974,1203.2974,111.1194,1.9394,0.0000,-24.9195,37.9400,45.3919,6.7143
293.0000,9.7667,1207.0014,1207.0014,111.1194,1.9394,0.0000,-27.1947,36.0867,45.1863,6.7143
294.0000,9.8000,1210.7054,1210.7054,111.1194,1.9394,0.0000,-28.1467,32.7173,43.1586,6.7143
295.0000,9.8333,1214.4094,1214.4094,111.1194,1.9394,0.0000,-28.5245,29.1188,40.7621,6.7143
296.0000,9.8667,1218.1134,1218.1134,111.1194,1.9394,0.0000,-29.3790,26.3479,39.4631,6.7143
297.0000,9.9000,1221.8173,1221.8173,111.1194,1.9394,0.0000,-30.5356,24.0142,38.8472,6.7143
298.0000,9.9333,1225.5213,1225.5213,111.1194,1.9394,0.0000,-31.6729,21.7508,38.4223,6.7143
299.0000,9.9667,1229.2253,1229.2253,111.1194,1.9394,-0.0000,-32.3232,19.2491,37.6207,6.7143
300.0000,10.0000,1232.9293,1232.9293,111.1194,1.9394,-0.0000,-33.0552,16.8939,37.1221,6.7143
301.0000,10.0333,1236.6333,1236.6333,111.1194,1.9394,-0.0000,-33.3996,14.4303,36.3836,6.7143
302.0000,10.0667,1240.3373,1240.3373,111.1194,1.9394,-0.0000,-32.7656,11.7078,34.7945,6.7143
303.0000,10.1000,1244.0412,1244.0412,111.1194,1.9394,-0.0000,-31.7934,9.0918,33.0678,6.7143
304.0000,10.1333,1247.7452,1247.7452,111.1194,1.9394,-0.0000,-29.9030,6.4952,30.6003,6.7143
305.0000,10.1667,1251.4492,1251.4492,111.1194,1.9394,-0.0000,-27.1598,4.0837,27.4651,6.7143
306.0000,10.2000,1255.1532,1255.1532,111.1194,1.9394,0.0000,-23.4907,1.9919,23.5750,6.7143
307.0000,10.2333,1258.8572,1258.8572,111.1194,1.9394,0.0000,-19.6481,0.3920,19.6520,6.7143
308.0000,10.2667,1262.5611,1262.5611,111.1194,1.9394,0.0000,-15.5484,-0.6955,15.5639,6.7143
309.0000,10.3000,1266.2651,1266.2651,111.1194,1.9394,-0.0000,-12.0847,-1.3267,12.1573,6.7143
310.0000,10.3333,1269.9691,1269.9691,111.1194,1.9394,-0.0000,-9.5969,-1.6869,9.7440,6.7143
311.0000,10.3667,1273.6731,1273.6731,111.1194,1.9394,-0.0000,-8.3157,-2.0230,8.5583,6.7143
312.0000,10.4000,1277.3771,1277.3771,111.1194,1.9394,-0.0000,-5.9003,-1.8464,6.1824,6.7143
313.0000,10.4333,1281.0810,1281.0810,111.1194,1.9394,-0.0000,-4.9443,-1.9060,5.2990,6.7143
314.0000,10.4667,1284.7850,1284.7850,111.1194,1.9394,-0.0000,-5.8353,-2.6944,6.4273,6.7143
315.0000,10.5000,1288.4890,1288.4890,111.1194,1.9394,-0.0000,-8.2373,-4.4704,9.3722,6.7143
316.0000,10.5333,1292.1930,1292.1930,111.1194,1.9394,-0.0000,-10.7076,-6.7411,12.6529,6.7143
317.0000,10.5667,1295.8970,1295.8970,111.1194,1.9394,0.0000,-13.6169,-9.8559,16.8095,6.7143
318.0000,10.6000,1299.6010,1299.6010,111.1194,1.9394,-0.0000,-16.3268,-13.5072,21.1899,6.7143
319.0000,10.6333,1303.3049,1303.3049,111.1194,1.9394,0.0000,-18.5178,-17.4533,25.4466,6.7143
320.0000,10.6667,1307.0089,1307.0089,111.1194,1.9394,0.0000,-20.2478,-21.7199,29.6939,6.7143
321.0000,10.7000,1310.7129,1310.7129,111.1194,1.9394,0.0000,-21.2060,-25.9205,33.4898,6.7143
322.0000,10.7333,1314.4169,1314.4169,111.1194,1.9394,0.0000,-20.9791,-29.3215,36.0538,6.7143
323.0000,10.7667,1318.1209,1318.1209,111.1194,1.9394,0.0000,-19.8507,-31.9174,37.5869,6.7143
324.0000,10.8000,1321.8248,1321.8248,111.1194,1.9394,0.0000,-18.1518,-33.8883,38.4435,6.7143
325.0000,10.8333,1325.5288,1325.5288,111.1194,1.9394,0.0000,-15.8868,-34.9070,38.3522,6.7143
326.0000,10.8667,1329.2328,1329.2328,111.1194,1.9394,0.0000,-13.1661,-34.7198,37.1323,6.7143
327.0000,10.9000,1332.9368,1332.9368,111.1194,1.9394,-0.0000,-10.7018,-34.8665,36.4719,6.7143
328.0000,10.9333,1336.6408,1336.6408,111.1194,1.9394,-0.0000,-8.1299,-34.2339,35.1860,6.7143
329.0000,10.9667,1340.3447,1340.3447,111.1194,1.9394,-0.0000,-5.5744,-32.7656,33.2364,6.7143
330.0000,11.0000,1344.0487,1344.0487,111.1194,1.9394,-0.0000,-3.2739,-31.4063,31.5765,6.7143
331.0000,11.0333,1347.7527,1347.7527,111.1194,1.9394,-0.0000,-1.1417,-29.0934,29.1158,6.7143
332.0000,11.0667,1351.4567,1351.4567,111.1194,1.9394,0.0000,0.6327,-24.8790,24.8871,6.7143
333.0000,11.1000,1355.1607,1355.1607,111.1194,1.9394,0.0000,1.8365,-20.3349,20.4176,6.7143
334.0000,11.1333,1358.8647,1358.8647,111.1194,1.9394,0.0000,2.5686,-16.4694,16.6685,6.7143
335.0000,11.1667,1362.5686,1362.5686,111.1194,1.9394,-0.0000,3.0501,-13.6807,14.0166,6.7143
336.0000,11.2000,1366.2726,1366.2726,111.1194,1.9394,-0.0000,3.5265,-12.0813,12.5855,6.7143
337.0000,11.2333,1369.9766,1369.9766,111.1194,1.9394,-0.0000,4.6580,-12.8141,13.6344,6.7143
338.0000,11.2667,1373.6806,1373.6806,111.1194,1.9394,-0.0000,6.1840,-14.1006,15.3970,6.7143
339.0000,11.3000,1377.3846,1377.3846,111.1194,1.9394,0.0000,8.1751,-15.7817,17.7734,6.7143
340.0000,11.3333,1381.0885,1381.0885,111.1194,1.9394,0.0000,9.9588,-16.5163,19.2864,6.7143
341.0000,11.3667,1384.7925,1384.7925,111.1194,1.9394,-0.0000,11.6667,-16.7908,20.4461,6.7143
342.0000,11.4000,1388.4965,1388.4965,111.1194,1.9394,-0.0000,13.5680,-17.0594,21.7971,6.7143
343.0000,11.4333,1392.2005,1392.2005,111.1194,1.9394,-0.0000,15.6498,-17.2591,23.2979,6.7143
344.0000,11.4667,1395.9045,1395.9045,111.1194,1.9394,0.0000,18.5436,-17.9672,25.8202,6.7143
345.0000,11.5000,1399.6084,1399.6084,111.1194,1.9394,0.0000,20.1504,-17.1442,26.4568,6.7143
346.0000,11.5333,1403.3124,1403.3124,111.1194,1.9394,-0.0000,20.2802,-15.1096,25.2900,6.7143
347.0000,11.5667,1407.0164,1407.0164,111.1194,1.9394,-0.0000,20.0408,-13.0065,23.8915,6.7143
348.0000,11.6000,1410.7204,1410.7204,111.1194,1.9394,-0.0000,19.6033,-10.9917,22.4746,6.7143
349.0000,11.6333,1414.4244,1414.4244,111.1194,1.9394,0.0000,19.2458,-9.2110,21.3364,6.7143
350.0000,11.6667,1418.1283,1418.1283,111.1194,1.9394,0.0000,18.5575,-7.4494,19.9968,6.7143
351.0000,11.7000,1421.8323,1421.8323,111.1194,1.9394,0.0000,18.2231,-5.9801,19.1792,6.7143
352.0000,11.7333,1425.5363,1425.5363,111.1194,1.9394,0.0000,16.6636,-4.2982,17.2091,6.7143
353.0000,11.7667,1429.2403,1429.2403,111.1194,1.9394,0.0000,14.7514,-2.8032,15.0154,6.7143
354.0000,11.8000,1432.9443,1432.9443,111.1194,1.9394,-0.0000,12.5128,-1.5487,12.6083,6.7143
355.0000,11.8333,1436.6483,1436.6483,111.1194,1.9394,-0.0000,11.3044,-0.6621,11.3238,6.7143
356.0000,11.8667,1440.3522,1440.3522,111.1194,1.9394,-0.0000,11.0088,0.0677,11.0090,6.7143
357.0000,11.9000,1444.0562,1444.0562,111.1194,1.9394,-0.0000,11.6861,0.8287,11.7155,6.7143
358.0000,11.9333,1447.7602,1447.7602,111.1194,1.9394,-0.0000,13.6315,1.8576,13.7575,6.7143
359.0000,11.9667,1451.4642,1451.4642,111.1194,1.9394,0.0000,14.8807,3.0178,15.1837,6.7143
360.0000,12.0000,1455.1682,1455.1682,111.1194,1.9394,0.0000,16.0653,4.3553,16.6452,6.7143
361.0000,12.0333,1458.8721,1458.8721,111.1194,1.9394,0.0000,17.3783,5.9405,18.3656,6.7143
362.0000,12.0667,1462.5761,1462.5761,111.1194,1.9394,0.0000,18.5064,7.6944,20.0423,6.7143
363.0000,12.1000,1466.2801,1466.2801,111.1194,1.9394,0.0000,19.2589,9.5100,21.4790,6.7143
364.0000,12.1333,1469.9841,1469.9841,111.1194,1.9394,0.0000,19.5614,11.2865,22.5839,6.7143
365.0000,12.1667,1473.6881,1473.6881,111.1194,1.9394,0.0000,19.7473,13.1639,23.7327,6.7143
366.0000,12.2000,1477.3920,1477.3920,111.1194,1.9394,0.0000,19.5251,14.9237,24.5753,6.7143
367.0000,12.2333,1481.0960,1481.0960,111.1194,1.9394,-0.0000,18.8316,16.4256,24.9886,6.7143
368.0000,12.2667,1484.8000,1484.8000,111.1194,1.9394,-0.0000,17.5783,17.4560,24.7732,6.7143
369.0000,12.3000,1488.5040,1488.5040,111.1194,1.9394,-0.0000,15.8941,17.9675,23.9887,6.7143
370.0000,12.3333,1492.2080,1492.2080,111.1194,1.9394,-0.0000,14.4644,18.6528,23.6039,6.7143
371.0000,12.3667,1495.9120,1495.9120,111.1194,1.9394,0.0000,13.0813,19.3297,23.3401,6.7143
372.0000,12.4000,1499.6159,1499.6159,111.1194,1.9394,0.0000,11.9561,20.3916,23.6382,6.7143
373.0000,12.4333,1503.3199,1503.3199,111.1194,1.9394,0.0000,10.7414,21.3754,23.9224,6.7143
374.0000,12.4667,1507.0239,1507.0239,111.1194,1.9394,-0.0000,9.5383,22.4970,24.4355,6.7143
375.0000,12.5000,1510.7279,1510.7279,111.1194,1.9394,-0.0000,8.2438,23.5774,24.9771,6.7143
376.0000,12.5333,1514.4319,1514.4319,111.1194,1.9394,-0.0000,6.7449,24.2093,25.1314,6.7143
377.0000,12.5667,1518.1358,1518.1358,111.1194,1.9394,-0.0000,5.2034,24.7688,25.3094,6.7143
378.0000,12.6000,1521.8398,1521.8398,111.1194,1.9394,-0.0000,3.6140,25.2034,25.4612,6.7143
379.0000,12.6333,1525.5438,1525.5438,111.1194,1.9394,-0.0000,1.9846,25.4653,25.5426,6.7143
380.0000,12.6667,1529.2478,1529.2478,111.1194,1.9394,-0.0000,0.3355,25.5513,25.5535,6.7143
381.0000,12.7000,1532.9518,1532.9518,111.1194,1.9394,0.0000,-1.3128,25.4602,25.4940,6.7143
382.0000,12.7333,1536.6557,1536.6557,111.1194,1.9394,0.0000,-2.9398,25.1932,25.3642,6.7143
383.0000,12.7667,1540.3597,1540.3597,111.1194,1.9394,0.0000,-4.5252,24.7536,25.1639,6.7143
384.0000,12.8000,1544.0637,1544.0637,111.1194,1.9394,0.0000,-6.0491,24.1470,24.8932,6.7143
