Frame,Time_s,Theta_continuous_deg,Angular_Displacement_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,Rotational_KE_J
54.0000,1.8000,255.1151,255.1151,114.8954,2.0053,-0.0037,-4.8955,-18.4182,19.0577,7.1784
55.0000,1.8333,258.9450,258.9450,114.8954,2.0053,-0.0314,-3.7117,-18.9976,19.3568,7.1784
56.0000,1.8667,262.7748,262.7748,114.8954,2.0053,-0.0159,-2.5610,-20.2012,20.3629,7.1784
57.0000,1.9000,266.6047,266.6047,114.7863,2.0034,0.1298,-1.2417,-20.9298,20.9666,7.1648
58.0000,1.9333,270.4345,270.4345,114.8810,2.0051,0.3152,0.1638,-21.5950,21.5956,7.1766
59.0000,1.9667,274.2644,274.2644,115.6984,2.0193,0.2255,1.7307,-23.2108,23.2752,7.2791
60.0000,2.0000,278.0942,278.0942,116.4609,2.0326,-0.4617,3.3747,-23.7290,23.9678,7.3753
61.0000,2.0333,281.9241,281.9241,115.2226,2.0110,-1.6678,4.9501,-23.4410,23.9580,7.2193
62.0000,2.0667,285.7539,285.7539,110.8314,1.9344,-2.6010,6.3722,-22.5884,23.4700,6.6796
63.0000,2.1000,289.5838,289.5838,104.6606,1.8267,-2.0666,7.6169,-21.4100,22.7245,5.9565
64.0000,2.1333,293.4136,293.4136,101.0728,1.7641,0.6824,8.5515,-19.7486,21.5206,5.5551
65.0000,2.1667,297.2435,297.2435,105.5557,1.8423,5.4086,9.3723,-18.2025,20.4737,6.0588
66.0000,2.2000,300.1633,300.1633,121.3097,2.1173,10.9967,9.7995,-16.8621,19.5028,8.0023
67.0000,2.2333,303.1910,303.1910,147.6725,2.5774,15.7423,9.8983,-15.1314,18.0813,11.8583
68.0000,2.2667,308.0243,308.0243,181.4718,3.1673,17.7299,10.5517,-13.4938,17.1295,17.9077
69.0000,2.3000,315.0972,315.0972,216.7800,3.7835,15.4653,12.1709,-12.1297,17.1832,25.5541
70.0000,2.3333,323.6643,323.6643,243.7966,4.2551,8.5965,14.4619,-10.6372,17.9526,32.3204
71.0000,2.3667,332.6742,332.6742,252.5915,4.4086,-1.4645,17.2906,-8.9342,19.4624,34.6944
72.0000,2.4000,341.5757,341.5757,238.6942,4.1660,-11.6200,20.5223,-6.8366,21.6311,30.9817
73.0000,2.4333,349.5657,349.5657,205.6915,3.5900,-18.5065,23.3846,-4.3063,23.7778,23.0067
74.0000,2.4667,356.1509,356.1509,164.0717,2.8636,-20.2764,25.4052,-1.7093,25.4626,14.6382
75.0000,2.5000,360.8408,360.8408,125.7487,2.1947,-17.2037,26.9318,0.3952,26.9347,8.5986
76.0000,2.5333,363.1476,363.1476,98.2677,1.7151,-11.0825,27.6890,1.5226,27.7308,5.2510
77.0000,2.5667,364.8868,364.8868,84.1106,1.4680,-4.2325,28.0007,2.3940,28.1029,3.8470
78.0000,2.6000,367.5224,367.5224,82.7107,1.4436,1.3649,27.6084,3.6457,27.8481,3.7200
79.0000,2.6333,371.0099,371.0099,90.6736,1.5826,4.5224,26.8650,5.2269,27.3687,4.4708
80.0000,2.6667,374.7717,374.7717,101.9349,1.7791,4.9766,25.5448,6.7357,26.4179,5.6503
