Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
58,1.9174,769.7263,473.7919,8.2692,5.0217,5.2783,6.2298,8.1652,0.6500,22.2235
59,1.9504,771.1321,468.5155,8.1771,3.5797,4.5341,5.6256,7.2253,0.6500,21.7313
60,1.9835,781.5437,460.4117,8.0357,2.4435,3.5023,6.4623,7.3503,0.6500,20.9861
61,2.0165,801.4650,453.1132,7.9083,1.7586,1.2670,8.4423,8.5369,0.6500,20.3260
62,2.0496,828.2154,449.3426,7.8425,1.4938,-3.3632,10.2200,10.7591,0.6500,19.9891
63,2.0826,859.2123,450.5188,7.8630,1.4343,-9.9240,8.5624,13.1072,0.6500,20.0939
64,2.1157,891.4591,456.7338,7.9715,1.3184,-14.5716,2.1884,14.7350,0.6500,20.6521
65,2.1488,921.7869,466.6898,8.1453,0.9307,-13.9405,-5.5721,15.0129,0.6500,21.5623
66,2.1818,946.8984,478.1206,8.3448,0.1112,-9.5360,-10.1898,13.9559,0.6500,22.6315
67,2.2149,963.7145,487.8329,8.5143,-1.1788,-5.2968,-10.7240,11.9608,0.6500,23.5603
68,2.2479,970.0093,492.5910,8.5973,-2.8325,-3.3474,-9.2015,9.7914,0.6500,24.0221
69,2.2810,967.9463,490.7201,8.5647,-4.7378,-3.0016,-7.4093,7.9942,0.6500,23.8400
70,2.3140,970.1760,483.6769,8.4418,-6.5675,-2.3883,-6.6252,7.0425,0.6500,23.1606
71,2.3471,972.9703,471.1117,8.2225,-7.8894,-2.0040,-6.5427,6.8428,0.6500,21.9728
72,2.3802,982.4534,451.1604,7.8742,-8.2763,-0.9986,-7.5377,7.6036,0.6500,20.1512
73,2.4132,998.9471,428.0482,7.4709,-7.6742,1.4314,-9.0918,9.2037,0.6500,18.1394
74,2.4463,1020.8283,407.3761,7.1101,-6.0589,5.4868,-9.1939,10.7067,0.6500,16.4297
75,2.4793,1045.2492,393.3224,6.8648,-3.6244,9.6811,-6.7162,11.7826,0.6500,15.3157
76,2.5124,1069.8594,388.3837,6.7786,-0.7719,12.3821,-2.2146,12.5786,0.6500,14.9334
77,2.5455,1092.3951,393.2778,6.8640,2.0078,12.8016,2.8135,13.1072,0.6500,15.3122
78,2.5785,1110.9003,407.0597,7.1045,4.2691,11.8116,7.0692,13.7654,0.6500,16.4042
79,2.6116,1123.6118,426.9354,7.4514,5.6793,9.9748,9.5028,13.7767,0.6500,18.0452
80,2.6446,1130.2705,448.3853,7.8258,6.1112,8.4451,10.1615,13.2127,0.6500,19.9040
81,2.6777,1132.5094,465.6093,8.1264,5.7096,7.2582,9.4623,11.9255,0.6500,21.4626
82,2.7107,1137.3576,473.5481,8.2650,4.7882,5.6649,8.8436,10.5024,0.6500,22.2007
83,2.7438,1142.8502,473.6491,8.2667,3.5619,4.2294,8.2474,9.2686,0.6500,22.2101
84,2.7769,1145.9695,466.5366,8.1426,2.4716,3.4688,7.7799,8.5182,0.6500,21.5481
85,2.8099,1154.6066,454.5150,7.9328,1.4722,2.2876,8.3087,8.6179,0.6500,20.4519
86,2.8430,1172.8524,441.1908,7.7002,0.5848,-0.4772,9.5784,9.5903,0.6500,19.2704
87,2.8760,1198.5241,430.1894,7.5082,-0.1526,-5.4388,10.0070,11.3895,0.6500,18.3214
88,2.9091,1228.4462,424.0164,7.4005,-0.7344,-11.7006,7.1852,13.7306,0.6500,17.7993
89,2.9421,1259.4957,423.7589,7.3960,-1.2420,-15.4138,0.1357,15.4144,0.6500,17.7777
90,2.9752,1289.1399,429.1368,7.4899,-1.7728,-14.0193,-7.8158,16.0508,0.6500,18.2318
91,3.0083,1314.3721,438.3828,7.6512,-2.4326,-8.9425,-12.4780,15.3515,0.6500,19.0259
92,3.0413,1332.4152,448.6482,7.8304,-3.2104,-4.2134,-13.2946,13.9463,0.6500,19.9274
93,3.0744,1341.1864,456.4975,7.9674,-4.0200,-1.8306,-11.8068,11.9478,0.6500,20.6307
94,3.1074,1341.1001,458.8480,8.0084,-4.7368,-1.5550,-9.9304,10.0514,0.6500,20.8437
95,3.1405,1341.7116,455.3698,7.9477,-5.4508,-1.2368,-8.4897,8.5793,0.6500,20.5289
96,3.1736,1343.8125,446.3042,7.7895,-5.9027,-0.8349,-7.7007,7.7459,0.6500,19.7197
97,3.2066,1346.8613,430.9435,7.5214,-5.6454,-0.4187,-7.6362,7.6477,0.6500,18.3856
98,3.2397,1354.6961,409.5959,7.1488,-4.9998,0.6898,-8.3978,8.4261,0.6500,16.6092
