Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
63,2.1000,866.2850,754.5687,94.3235,3.1713,-23.4292,23.6429,6.8287,592.1929
64,2.1333,871.4620,929.1395,62.3429,3.6545,-19.4929,19.8325,6.6493,874.3060
65,2.1667,903.6098,1018.1032,13.7697,3.6711,-19.1971,19.5450,2.3385,369.1846
66,2.2000,946.6145,989.2695,-44.2174,3.5528,-17.7882,18.1395,2.6054,388.3532
67,2.2333,988.2275,884.7435,-96.7905,3.4385,-19.5880,19.8875,2.3568,280.9849
68,2.2667,1012.5552,666.4190,-119.5361,3.5422,-21.4248,21.7156,4.0370,273.0704
69,2.3000,1027.6873,342.6669,-99.4525,3.9019,-23.6328,23.9528,4.1246,73.7656
70,2.3333,1028.9511,110.7753,-46.4821,3.9623,-23.2261,23.5616,4.6900,8.7656
71,2.3667,1028.9311,92.9604,19.7190,4.0802,-27.8990,28.1958,10.3223,13.5861
72,2.4000,1037.0208,273.3479,71.0336,3.4134,-34.2236,34.3935,11.8820,135.2211
73,2.4333,1040.4232,507.0587,79.5571,2.9294,-37.7607,37.8742,10.0125,392.0890
74,2.4667,1062.8310,684.2976,41.1575,2.7707,-36.0081,36.1145,8.6590,617.5662
75,2.5000,1096.7684,702.2007,-19.5539,2.8585,-34.9882,35.1048,9.1376,686.2479
76,2.5333,1126.3937,558.0830,-67.5510,2.5371,-35.2218,35.3131,7.7139,365.9265
77,2.5667,1136.5176,341.9512,-80.3992,2.5481,-37.3863,37.4730,7.4645,132.9389
78,2.6000,1145.4686,153.0583,-55.5935,3.8888,-41.6083,41.7897,9.8011,34.9715
79,2.6333,1134.8339,81.1490,-9.5073,4.2495,-43.5500,43.7568,12.2103,12.2466
80,2.6667,1138.0297,146.1141,27.0697,4.0559,-38.9441,39.1548,9.7835,31.8129
81,2.7000,1152.0157,274.5578,33.9338,3.3245,-33.1084,33.2749,7.8157,89.7351
82,2.7333,1166.1770,390.1114,13.8086,3.3276,-31.9593,32.1320,8.4318,195.4433
83,2.7667,1175.4871,391.8805,-15.6643,2.3588,-34.7761,34.8560,10.5937,247.7865
84,2.8000,1191.9028,261.9843,-29.7830,2.2621,-34.7547,34.8282,11.6366,121.6468
85,2.8333,1200.4404,145.8008,-10.8280,2.7903,-31.7243,31.8468,7.4805,24.2200
86,2.8667,1204.5773,136.9872,39.1839,3.2309,-28.2969,28.4807,8.9295,25.5218
87,2.9000,1202.2580,268.2044,96.3533,2.5755,-28.9545,29.0688,11.8552,129.8867
88,2.9333,1209.9133,542.5711,124.8486,2.6099,-27.9197,28.0414,13.3700,599.4743
89,2.9667,1231.0923,862.1894,104.4072,3.2805,-23.9380,24.1617,6.7664,766.1071
90,3.0000,1271.8508,1073.8103,42.6561,3.9397,-19.0560,19.4590,2.5627,450.0753
91,3.0333,1316.9163,1078.7380,-36.6948,3.9917,-18.3475,18.7767,2.7207,482.2153
92,3.0667,1355.6693,869.8711,-102.3531,3.8652,-18.4647,18.8649,2.5978,299.3905
93,3.1000,1375.1690,567.0452,-126.2017,3.8894,-21.0036,21.3606,2.7111,132.7711
94,3.1333,1385.1928,299.7163,-99.4826,3.9962,-24.6221,24.9443,6.2813,85.9400
95,3.1667,1386.7892,145.5040,-37.2621,4.2541,-27.8019,28.1255,6.5306,21.0584
96,3.2000,1391.5814,146.7111,28.7503,4.5581,-30.7810,31.1167,13.1193,43.0090
97,3.2333,1401.6812,295.3943,66.4745,4.7560,-37.0475,37.3515,11.3201,150.4457
98,3.2667,1411.1023,497.8657,59.5035,4.2624,-39.9530,40.1797,11.9790,452.2394
99,3.3000,1425.7908,641.1370,16.4326,3.7150,-38.3766,38.5560,8.4225,527.3090
100,3.3333,1452.6945,621.6913,-36.8498,3.2218,-36.2066,36.3496,8.2026,482.8632
101,3.3667,1482.1795,437.1570,-73.0068,3.0503,-36.8862,37.0121,8.1118,236.1118
102,3.4000,1496.1292,188.6505,-71.7060,3.3541,-39.2069,39.3501,7.9430,43.0550
103,3.4333,1495.9363,60.1466,-33.6478,5.0685,-41.3312,41.6409,10.2083,5.6247
104,3.4667,1479.4401,60.1466,18.6345,6.9560,-41.9049,42.4783,9.5171,5.2439
105,3.5000,1474.4145,180.7259,54.1715,7.4946,-40.1176,40.8116,9.0183,44.8633
106,3.5333,1489.7161,368.0922,50.6202,6.0133,-39.5647,40.0191,8.3713,172.7544
107,3.5667,1518.7172,477.6163,14.7624,4.3382,-38.0231,38.2697,10.2838,357.3041
108,3.6000,1541.5535,467.2363,-25.3548,3.1090,-36.1127,36.2462,10.3604,344.4885
109,3.6333,1547.3042,327.4340,-43.8805,3.3384,-34.5315,34.6925,10.7690,175.8530
110,3.6667,1546.5411,156.8461,-25.7781,3.8258,-34.4159,34.6279,7.7062,28.8745
111,3.7000,1553.1227,110.8907,24.5123,4.0484,-33.2035,33.4494,7.5776,14.1921
112,3.7333,1563.9250,252.3590,83.7564,3.9259,-26.7300,27.0168,8.8963,86.2922
113,3.7667,1569.9639,508.6855,121.1588,4.1502,-18.5639,19.0222,4.2362,166.9567
114,3.8000,1585.3311,797.7067,114.1674,4.4520,-14.7211,15.3795,3.4578,335.1282
115,3.8333,1617.7102,1023.4980,61.5896,4.7317,-15.1421,15.8641,3.9008,622.3758
116,3.8667,1659.1880,1082.4899,-15.9409,4.9664,-16.6408,17.3661,2.4223,432.3182
117,3.9000,1703.1620,956.8943,-87.2828,4.8881,-17.5121,18.1815,3.1466,438.8309
118,3.9333,1737.6816,698.5335,-125.2279,4.7788,-19.6238,20.1973,3.0017,223.0821
119,3.9667,1745.3562,380.2520,-114.7574,4.9520,-22.4971,23.0357,3.9018,85.9279
120,4.0000,1744.6297,148.3544,-64.7878,5.0192,-25.7093,26.1946,8.1199,27.2194
121,4.0333,1752.4616,92.0545,-4.7483,5.4196,-27.6454,28.1717,7.8967,10.1920
122,4.0667,1756.8977,195.7626,39.2672,5.3958,-33.2145,33.6500,8.1750,47.7170
123,4.1000,1760.0190,379.3242,50.4754,5.1478,-39.6491,39.9818,12.2052,267.4798
124,4.1333,1781.0442,485.2063,26.4900,4.5874,-43.7366,43.9765,11.7842,422.5500
125,4.1667,1795.9722,465.1588,-11.5212,4.3210,-40.1335,40.3655,11.5592,380.9374
126,4.2000,1817.0610,388.0508,-37.6780,3.5223,-37.5157,37.6807,10.4290,239.1897
127,4.2333,1833.6980,257.8223,-36.2205,3.5307,-36.5403,36.7105,9.1023,92.1545
128,4.2667,1831.2254,167.2751,-8.9972,5.0997,-38.6777,39.0124,10.1160,43.1119
129,4.3000,1828.2104,201.4690,23.0223,7.3987,-39.0120,39.7074,10.0223,61.9598
130,4.3333,1841.0198,300.0303,40.7483,7.1894,-40.9503,41.5766,11.1206,152.4691
131,4.3667,1850.3175,433.4748,33.2963,5.4707,-42.1367,42.4904,12.5097,358.0146
132,4.4000,1874.2819,512.1340,1.6903,4.0365,-41.4692,41.6652,11.0795,442.6003
133,4.4333,1895.1908,463.4576,-33.2119,4.2650,-39.5496,39.7789,10.4162,340.7646
134,4.4667,1903.9185,332.2781,-50.3317,3.9967,-37.8631,38.0735,11.4528,192.5924
135,4.5000,1912.6156,181.2221,-38.3395,3.5871,-34.6978,34.8828,11.3662,56.8541
136,4.5333,1918.7456,110.4426,2.7764,3.2733,-31.7906,31.9586,9.6122,17.8575
137,4.5667,1920.1810,181.0458,55.3247,3.2724,-29.6763,29.8562,9.3875,46.8653
138,4.6000,1921.6321,355.6703,97.1898,2.9309,-29.8275,29.9711,8.4325,162.4715
139,4.6333,1939.1790,598.1958,107.2306,3.5158,-25.6195,25.8596,9.1922,500.9935
140,4.6667,1964.3723,824.5135,76.7030,4.7689,-20.0613,20.6204,3.0920,320.1530
141,4.7000,1996.0123,954.4266,19.5676,5.7303,-16.4708,17.4392,2.4478,339.6117
142,4.7333,2034.8005,949.0452,-42.0182,5.4303,-18.0790,18.8769,2.7300,374.5113
143,4.7667,2064.8984,757.5993,-79.1429,5.2859,-18.9155,19.6401,2.6732,233.6886
144,4.8000,2083.4945,526.6637,-73.7942,5.3469,-19.3512,20.0763,2.9487,124.5744
145,4.8333,2100.9691,352.6827,-40.1664,5.4282,-22.4875,23.1334,3.3618,63.6885
146,4.8667,2108.3621,313.4775,-0.7516,5.6031,-27.6914,28.2525,13.0071,194.6780
147,4.9000,2103.4638,462.1371,19.1781,5.9139,-32.4540,32.9884,10.0148,325.7685
148,4.9333,2133.2748,581.7550,4.5455,5.9492,-35.1408,35.6408,9.2506,476.8422
149,4.9667,2147.0352,534.1785,-29.5979,5.4467,-37.1401,37.5373,9.9486,432.3752
150,5.0000,2184.9167,416.7962,-59.4553,4.7597,-38.9425,39.2323,8.5484,226.1803
151,5.0333,2198.0784,202.0081,-58.7544,4.9249,-37.3711,37.6942,8.8078,54.7434
152,5.0667,2185.9358,60.1466,-20.8929,7.1046,-33.9284,34.6643,7.9797,4.3968
153,5.1000,2171.3425,90.5114,24.9979,9.6923,-32.3609,33.7811,9.8507,12.2913
154,5.1333,2189.7197,219.1049,54.0884,9.1921,-36.1459,37.2964,9.5544,69.8606
155,5.1667,2192.4154,416.2156,53.3896,6.8808,-40.1765,40.7615,11.6299,306.8567
