Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
57,1.8843,1519.8333,891.3230,15.5565,1.4864,6.1713,34.4132,34.9621,0.6500,78.6517
58,1.9174,1551.2956,892.8609,15.5834,1.7204,-13.8861,35.6242,38.2349,0.6500,78.9234
59,1.9504,1584.1211,898.5538,15.6827,2.1815,-30.1769,21.8275,37.2435,0.6500,79.9330
60,1.9835,1603.2087,904.9837,15.7949,3.3341,-31.8341,9.6060,33.2519,0.6500,81.0811
61,2.0165,1631.0825,911.1386,15.9024,4.3806,-26.7313,-5.2360,27.2392,0.6500,82.1877
62,2.0496,1661.9056,916.2656,15.9919,4.8256,-15.4386,-13.8550,20.7440,0.6500,83.1153
63,2.0826,1692.3766,919.6985,16.0518,4.7921,-4.4450,-13.9927,14.6817,0.6500,83.7392
64,2.1157,1724.8786,919.8349,16.0541,4.1190,2.5212,-9.4896,9.8188,0.6500,83.7641
65,2.1488,1763.7579,919.2418,16.0438,2.7158,5.2619,-3.8571,6.5242,0.6500,83.6561
66,2.1818,1795.4167,919.7212,16.0522,1.2961,7.1651,-0.5744,7.1881,0.6500,83.7434
67,2.2149,1822.3648,919.6393,16.0507,-0.0606,9.8003,4.0323,10.5974,0.6500,83.7285
68,2.2479,1855.1878,920.7441,16.0700,-1.3181,8.9463,12.8663,15.6709,0.6500,83.9298
69,2.2810,1887.1612,922.3774,16.0985,-2.2497,1.0457,21.0881,21.1140,0.6500,84.2278
70,2.3140,1912.4119,921.8689,16.0896,-2.5767,-10.4494,25.3373,27.4074,0.6500,84.1349
71,2.3471,1952.6637,920.5272,16.0662,-3.1938,-29.3437,15.1689,33.0326,0.6500,83.8902
72,2.3802,1992.2702,918.9984,16.0395,-4.1356,-35.7307,-7.7711,36.5660,0.6500,83.6118
73,2.4132,2024.1651,914.0256,15.9528,-4.2959,-26.9379,-26.1641,37.5528,0.6500,82.7094
74,2.4463,2050.4518,906.6827,15.8246,-4.3677,-12.2880,-34.6076,36.7244,0.6500,81.3858
75,2.4793,2075.8408,897.8039,15.6696,-4.4650,3.3187,-32.4420,32.6113,0.6500,79.7997
76,2.5124,2095.8776,887.7570,15.4943,-4.4288,12.0367,-24.8133,27.5787,0.6500,78.0237
77,2.5455,2118.3439,877.4890,15.3151,-4.3046,16.4972,-14.6758,22.0803,0.6500,76.2292
78,2.5785,2149.5129,870.7060,15.1967,-4.2124,16.7005,-3.0914,16.9842,0.6500,75.0553
79,2.6116,2178.6400,865.7829,15.1108,-3.7580,11.9679,4.0370,12.6305,0.6500,74.2089
80,2.6446,2211.2589,859.2890,14.9974,-3.0963,6.1748,7.6961,9.8670,0.6500,73.0999
81,2.6777,2245.1066,852.9255,14.8864,-2.5768,0.6370,7.4401,7.4674,0.6500,72.0212
82,2.7107,2276.6205,848.5621,14.8102,-1.7705,-3.0186,6.0227,6.7369,0.6500,71.2862
83,2.7438,2302.6185,844.6715,14.7423,-0.2125,-6.0716,4.6390,7.6410,0.6500,70.6340
84,2.7769,2328.9971,845.2499,14.7524,0.9705,-9.7181,1.8895,9.9000,0.6500,70.7308
85,2.8099,2358.0586,851.2664,14.8574,1.7848,-11.3252,-3.6926,11.9120,0.6500,71.7413
86,2.8430,2382.2779,860.5722,15.0198,2.5078,-10.6182,-9.6543,14.3511,0.6500,73.3183
87,2.8760,2405.9852,869.0290,15.1674,2.9086,-7.1456,-16.0380,17.5578,0.6500,74.7664
88,2.9091,2430.7987,875.9294,15.2879,3.0184,0.2911,-20.8795,20.8815,0.6500,75.9585
89,2.9421,2456.3311,879.5802,15.3516,3.2823,10.9590,-22.1435,24.7070,0.6500,76.5930
90,2.9752,2487.6470,879.1780,15.3446,3.4317,23.0822,-14.6219,27.3237,0.6500,76.5230
91,3.0083,2520.3353,878.6200,15.3348,3.3138,27.3444,0.1600,27.3449,0.6500,76.4258
92,3.0413,2545.9256,879.4634,15.3495,3.4791,24.0180,11.6757,26.7055,0.6500,76.5726
93,3.0744,2571.1310,881.5674,15.3863,3.4040,15.5017,19.2327,24.7022,0.6500,76.9395
94,3.1074,2603.3183,883.7958,15.4251,2.6302,2.5602,21.8543,22.0038,0.6500,77.3289
