Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
57,1.8843,1205.7978,480.6443,8.3888,-0.8658,-22.6709,31.4366,38.7586,0.6500,22.8710
58,1.9174,1211.3319,487.1548,8.5025,0.0591,-25.4779,28.9683,38.5783,0.6500,23.4948
59,1.9504,1216.4801,482.3069,8.4178,1.1207,-26.9090,25.5535,37.1089,0.6500,23.0295
60,1.9835,1220.1749,469.8261,8.2000,2.4007,-26.3191,21.9478,34.2695,0.6500,21.8531
61,2.0165,1220.0669,452.9348,7.9052,3.3479,-23.4229,19.6076,30.5465,0.6500,20.3100
62,2.0496,1229.5789,436.9046,7.6254,4.0822,-22.7604,13.3647,26.3941,0.6500,18.8978
63,2.0826,1249.5301,426.3490,7.4412,4.7064,-22.1576,4.0946,22.5328,0.6500,17.9957
64,2.1157,1277.2089,424.0326,7.4008,5.1476,-18.5118,-5.7335,19.3794,0.6500,17.8007
65,2.1488,1308.8183,430.9172,7.5209,5.2603,-11.4277,-13.0622,17.3555,0.6500,18.3834
66,2.1818,1341.5004,446.1531,7.7868,4.9196,-2.4626,-16.4783,16.6613,0.6500,19.7063
67,2.2149,1372.1570,467.1107,8.1526,4.1054,6.4424,-15.8206,17.0820,0.6500,21.6012
68,2.2479,1397.5855,489.2221,8.5385,3.0238,13.6302,-12.4525,18.4621,0.6500,23.6946
69,2.2810,1414.8974,506.4456,8.8391,2.0537,18.5935,-8.7108,20.5328,0.6500,25.3924
70,2.3140,1422.1735,517.2118,9.0270,0.6170,21.9953,-7.0731,23.1046,0.6500,26.4835
71,2.3471,1420.7538,520.2752,9.0805,-1.5308,24.5462,-8.5701,25.9993,0.6500,26.7981
72,2.3802,1422.4607,516.8308,9.0204,-3.7432,27.6306,-8.7327,28.9778,0.6500,26.4445
