Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
63,2.1000,720.6168,1032.2525,131.5425,20.1291,-7.3377,21.4248,2.5862,419.7224
64,2.1333,765.4351,1333.4462,62.5854,20.4818,-0.5935,20.4904,2.7240,737.7026
65,2.1667,818.3227,1241.8791,-22.8407,18.5089,1.3823,18.5605,2.8396,667.0179
66,2.2000,874.1559,965.0426,-98.0485,15.1415,-2.3452,15.3220,3.6116,512.2884
67,2.2333,904.5348,674.1614,-90.0938,13.9910,-5.8798,15.1763,4.6677,323.1154
68,2.2667,887.7501,535.7526,-4.7234,14.2572,-9.0126,16.8670,5.1737,226.1791
69,2.3000,900.1880,588.2203,71.4681,14.0816,-11.9646,18.4782,5.8111,306.2434
70,2.3333,931.4139,849.9297,65.6363,14.0334,-16.5916,21.7305,8.2342,905.9628
71,2.3667,975.6482,1210.4943,10.0311,13.7746,-18.2226,22.8430,8.1008,1807.9075
72,2.4000,1019.5936,1229.7003,-69.7837,12.5271,-15.3875,19.8420,8.2675,1904.1275
73,2.4333,1051.5951,770.7705,-145.8625,10.8350,-8.3154,13.6581,8.2219,743.9594
74,2.4667,1082.1636,93.4752,-190.4417,8.2285,-1.7018,8.4026,5.5259,7.3539
75,2.5000,1076.8827,93.4752,-180.4822,5.5776,3.3923,6.5282,3.0068,4.0015
76,2.5333,1029.2013,93.4752,-133.7835,2.5989,0.8623,2.7382,4.9348,6.5673
77,2.5667,961.3702,93.4752,-70.9323,0.0664,-6.9692,6.9695,1.9612,2.6100
78,2.6000,895.1171,93.4752,-3.2953,-2.2526,-11.5464,11.7641,3.2381,4.3093
79,2.6333,851.5659,93.4752,69.3392,-4.0834,-3.9087,5.6526,2.5513,3.3953
80,2.6667,870.2085,114.2282,113.5420,-5.5529,4.7517,7.3084,4.0343,8.0175
81,2.7000,891.3231,712.7121,121.8467,-7.3243,2.4324,7.7176,3.2367,250.4149
82,2.7333,918.2342,1032.3296,92.9947,-8.5226,-3.0577,9.0546,3.0822,500.2945
83,2.7667,950.7384,1031.6009,32.3289,-9.3193,-7.2923,11.8333,3.2006,518.7756
84,2.8000,987.0471,905.0216,-44.2604,-9.6775,-11.7661,15.2346,2.5428,317.2162
85,2.8333,1016.5327,770.3333,-96.4185,-10.2442,-16.0686,19.0564,3.5234,318.4535
86,2.8667,1040.6166,581.8631,-100.2208,-10.5794,-14.8154,18.2050,4.2521,219.2663
87,2.9000,1051.7975,436.6846,-81.5244,-10.6384,-5.4511,11.9537,5.6526,164.1755
88,2.9333,1063.0084,288.5298,-46.3408,-11.5810,2.7673,11.9070,7.3147,92.7470
89,2.9667,1070.6853,173.8542,10.2522,-13.0022,7.7126,15.1176,5.4347,25.0192
90,3.0000,1082.0248,240.1098,74.9426,-14.0779,8.4704,16.4297,4.9103,43.1173
91,3.0333,1094.7965,452.7968,120.4172,-14.0423,15.3127,20.7765,4.3645,136.2897
92,3.0667,1089.8759,756.5975,122.8424,-14.1604,21.3795,25.6437,7.5311,656.6156
93,3.1000,1128.1747,1071.2292,58.5924,-14.6027,28.9810,32.4521,6.3246,1105.4023
94,3.1333,1174.7368,1158.6694,-26.0327,-15.1329,9.2011,17.7105,7.2122,1474.7176
95,3.1667,1222.2256,976.2145,-103.3844,-15.5323,-11.4739,19.3107,7.9536,1154.4660
96,3.2000,1258.3892,569.2823,-152.9597,-17.1851,-25.1309,30.4449,10.9895,542.4500
97,3.2333,1268.5683,93.4752,-160.8051,-17.1638,-25.7913,30.9804,13.2826,17.6766
98,3.2667,1236.8026,93.4752,-133.4358,-16.5639,-29.1826,33.5558,15.5454,20.6880
99,3.3000,1231.2205,93.4752,-94.1070,-16.7775,-12.2867,20.7954,5.4076,7.1965
100,3.3333,1223.9592,93.4752,-65.5298,-19.1515,0.1168,19.1519,4.7970,6.3839
101,3.3667,1223.4847,93.4752,-61.6129,-19.8422,-6.9990,21.0404,5.2015,6.9223
102,3.4000,1246.0807,93.4752,-52.4360,-19.3923,-22.4428,29.6604,6.6533,8.8543
103,3.4333,1228.2830,93.4752,-45.0521,-21.2853,-28.9305,35.9171,10.1518,13.5101
104,3.4667,1181.9704,93.4752,-39.0455,-24.3247,-37.6159,44.7956,21.9997,29.2775
105,3.5000,1125.9178,93.4752,-34.0002,-24.4960,-40.2845,47.1476,21.8338,29.0567
106,3.5333,1076.4235,93.4752,-29.5005,-21.7812,-37.2225,43.1270,18.3328,24.3976
107,3.5667,1049.4894,93.4752,-25.1307,-19.9335,-30.0747,36.0809,14.5598,19.3764
108,3.6000,1065.8974,93.4752,-20.4748,-20.3429,-30.3984,36.5772,13.4781,17.9368
109,3.6333,1062.2700,93.4752,-15.1173,-20.5445,-34.7122,40.3362,17.3250,23.0563
110,3.6667,1052.8037,93.4752,-8.9657,-19.5928,-38.0688,42.8148,18.0875,24.0711
111,3.7000,1042.5721,93.4752,3.4744,-16.9638,-34.1612,38.1413,12.5928,16.7587
112,3.7333,1033.8910,93.4752,15.1452,-14.5740,-27.5165,31.1377,9.8257,13.0762
113,3.7667,1030.0004,93.4752,17.1028,-12.9597,-21.6291,25.2145,7.4496,9.9141
114,3.8000,1036.6403,176.1589,12.4982,-11.8347,-17.4884,21.1164,4.9084,23.1994
115,3.8333,1047.6229,247.4433,11.9596,-10.9489,-11.9688,16.2213,5.4291,50.6296
116,3.8667,1056.9497,222.8892,25.1782,-9.6291,-1.9062,9.8159,3.2744,24.7766
117,3.9000,1065.8870,213.0435,54.2242,-8.3854,4.8624,9.6932,4.6543,32.1745
118,3.9333,1073.7553,319.1754,87.0547,-6.6753,10.3458,12.3124,4.4898,69.6636
119,3.9667,1074.3732,551.1091,103.5550,-6.3228,16.1387,17.3331,4.7913,221.6436
120,4.0000,1094.1418,839.3357,80.0508,-5.4422,18.3281,19.1190,5.1353,551.0119
121,4.0333,1134.1564,1044.3647,20.5371,-3.4079,14.5678,14.9611,1.7985,298.7772
122,4.0667,1178.3449,1013.9707,-41.3994,0.4569,13.1750,13.1829,2.1087,330.2103
123,4.1000,1216.5709,767.3172,-67.1709,2.8558,15.8554,16.1105,3.8508,345.3228
124,4.1333,1241.4216,510.7743,-37.4856,3.1528,11.0904,11.5298,2.7906,110.8865
125,4.1667,1241.7712,452.7061,33.2535,4.1645,0.2665,4.1730,3.2597,101.7487
126,4.2000,1238.4310,645.3263,96.5932,6.8125,-15.0886,16.5552,3.8045,241.3152
127,4.2333,1269.3954,999.1158,97.2119,10.0838,-28.2119,29.9599,7.8911,1199.7635
128,4.2667,1318.3795,1279.6454,25.9102,12.1838,-35.1577,37.2091,11.1908,2791.0284
129,4.3000,1374.1445,1288.5871,-74.2474,12.6136,-35.4952,37.6697,9.8099,2480.9400
130,4.3333,1420.0183,933.6783,-149.2520,13.6434,-27.1873,30.4186,10.1735,1350.7892
131,4.3667,1445.1381,406.5400,-150.8791,14.3851,-26.6416,30.2771,4.8411,121.8637
132,4.4000,1436.5952,93.4752,-68.6033,16.5477,-19.9086,25.8878,9.9150,13.1951
133,4.4333,1434.9698,93.4752,49.6925,17.2598,-19.3388,25.9208,3.6493,4.8566
134,4.4667,1422.9872,356.0071,132.5460,15.9789,-10.6354,19.1947,5.5181,106.5209
135,4.5000,1445.9670,843.9720,130.8717,11.3952,-3.7577,11.9988,4.4852,486.5928
136,4.5333,1488.5406,1165.8057,57.3614,6.8983,7.7591,10.3822,4.1747,864.1715
137,4.5667,1541.8290,1136.9097,-33.5206,4.5179,8.1048,9.2790,2.3453,461.7157
138,4.6000,1585.5269,837.0591,-88.1734,3.5691,8.1053,8.8563,1.5965,170.3732
139,4.6333,1609.0884,499.0674,-70.3972,2.5877,7.1124,7.5685,4.7136,178.8110
140,4.6667,1601.8978,379.7980,6.6684,0.9889,2.2905,2.4948,2.2393,49.1976
141,4.7000,1598.7939,541.3843,81.6526,0.3287,-9.3787,9.3845,2.5758,114.9887
142,4.7333,1626.3259,898.4356,96.6361,1.4685,-17.8846,17.9447,3.8531,473.7065
143,4.7667,1673.3089,1190.7040,38.9857,3.0948,-24.8564,25.0483,5.5479,1198.0027
144,4.8000,1726.3340,1211.2997,-53.5790,4.2412,-30.4593,30.7531,9.2762,2072.9902
145,4.8333,1769.5424,905.0216,-122.8832,5.7828,-28.6111,29.1896,8.1757,1019.9177
146,4.8667,1791.2300,461.0271,-121.2502,10.3984,-21.6731,24.0385,6.3371,205.1494
147,4.9000,1786.5397,187.9518,-44.9864,15.9576,-11.6360,19.7495,4.5113,24.2728
148,4.9333,1792.0750,214.2825,57.4765,15.5515,-3.6305,15.9696,3.5407,24.7619
149,4.9667,1789.7574,524.9044,120.7597,10.8975,3.6105,11.4801,4.6966,197.0922
150,5.0000,1816.5766,952.7113,105.9990,7.0452,9.6861,11.9773,4.6138,637.8331
151,5.0333,1861.6600,1187.8392,29.6773,7.1799,13.3443,15.1533,2.8095,603.7578
152,5.0667,1911.2076,1088.8654,-55.4583,8.0872,14.4469,16.5565,3.0021,542.1285
153,5.1000,1953.9543,759.5969,-95.6607,9.3197,11.2497,14.6087,6.3975,562.2151
154,5.1333,1973.5596,442.0377,-62.0615,9.6100,9.4899,13.5060,3.4118,101.5375
155,5.1667,1966.1658,369.1227,21.1921,9.4340,5.3382,10.8396,2.6101,54.1664
156,5.2000,1961.3068,562.2925,89.7919,9.4743,-10.4065,14.0733,2.8647,137.9542
157,5.2333,1991.7983,924.4942,92.5980,10.1651,-28.8211,30.5612,8.4495,1099.9267
158,5.2667,2041.6878,1209.0723,28.2973,9.7210,-36.8243,38.0858,10.9395,2435.7121
159,5.3000,2094.5513,1176.1541,-60.2034,8.0907,-32.2941,33.2921,12.2365,2578.1660
160,5.3333,2134.3625,826.5619,-117.0950,7.7020,-29.2984,30.2938,6.9891,727.2760
161,5.3667,2153.9676,420.2980,-103.4953,10.8475,-26.5673,28.6965,8.5133,229.0537
162,5.4000,2147.1213,223.8082,-25.3935,14.3853,-16.9746,22.2502,8.5716,65.3945
163,5.4333,2147.0754,314.4090,66.1619,15.4467,-5.6487,16.4472,4.2488,63.9714
164,5.4667,2159.7069,643.3563,112.8990,11.9858,1.3877,12.0659,2.2325,140.7396
165,5.5000,2193.3488,1003.4777,88.5359,6.2377,5.5814,8.3703,4.4303,679.4769
166,5.5333,2236.8501,1131.6974,13.2103,1.9897,10.1687,10.3615,1.2292,239.7848
167,5.5667,2281.7703,996.6965,-70.5151,1.6221,10.9724,11.0917,1.2063,182.5182
168,5.6000,2315.7538,691.7191,-123.5995,2.0022,9.0753,9.2936,2.4164,176.1004
169,5.6333,2323.8165,375.0123,-128.1340,1.8574,6.3913,6.6557,3.7960,81.3102
170,5.6667,2323.5498,177.9381,-96.5336,1.7953,1.6412,2.4324,3.4852,16.8071
171,5.7000,2328.0926,93.4752,-42.2386,2.2439,-13.6824,13.8651,3.0420,4.0483
172,5.7333,2328.6672,93.4752,20.2487,2.9908,-31.8072,31.9475,10.1188,13.4662
173,5.7667,2342.6234,93.4752,76.1978,2.7720,-41.1565,41.2497,12.5151,16.6553
174,5.8000,2342.2066,270.2920,116.3699,2.7470,-36.7001,36.8027,9.7278,108.2442
175,5.8333,2335.6340,569.1146,134.5659,3.8014,-24.1245,24.4222,8.1551,402.3019
176,5.8667,2363.0814,900.4874,124.3079,7.3244,-12.1841,14.2162,2.6130,322.7146
177,5.9000,2409.1898,1124.7149,87.3162,9.5662,-10.6287,14.2997,5.7956,1116.6258
178,5.9333,2455.2080,1228.6162,33.4477,9.9469,-15.9637,18.8091,4.4314,1018.8221
179,5.9667,2503.9752,1194.6587,-15.2179,7.9433,-20.9388,22.3948,4.7511,1032.7775
180,6.0000,2531.6734,1091.6275,-45.6693,5.4703,-7.9947,9.6870,6.0464,1097.4061
181,6.0333,2549.3719,997.7940,-62.5737,4.8222,7.5769,8.9813,2.8809,436.8463
182,6.0667,2591.4319,878.2876,-77.9115,6.5505,16.2435,17.5145,2.4416,286.8640
183,6.1000,2629.8677,748.9232,-91.9301,8.8047,5.9165,10.6079,5.9983,512.4229
184,6.1333,2654.5473,593.9271,-98.1009,9.0183,1.9973,9.2369,6.9018,370.8100
185,6.1667,2662.6352,355.1515,-86.4631,8.7398,2.1082,8.9905,4.9812,95.6949
186,6.2000,2666.5783,151.0003,-51.8671,8.6220,1.5121,8.7536,6.0421,20.9831
187,6.2333,2670.0482,96.2926,2.2792,9.6078,-0.8872,9.6487,4.1176,5.8151
188,6.2667,2678.0051,176.5834,65.2919,11.2076,-9.9484,14.9860,2.8603,13.5845
189,6.3000,2685.1156,370.4765,113.1750,13.1474,-21.3993,25.1154,7.8514,164.1316
190,6.3333,2697.0688,636.5172,120.8084,15.0648,-33.5268,36.7558,10.5485,650.9298
191,6.3667,2718.6555,893.1580,84.3693,16.5650,-34.3424,38.1288,12.9152,1569.2131
192,6.4000,2755.2018,1053.9226,20.7792,17.6714,-37.4128,41.3763,10.6951,1809.3696
193,6.4333,2799.9613,1035.3043,-42.2189,18.7142,-27.4201,33.1976,13.7308,2241.5953
194,6.4667,2838.3664,827.7465,-75.3915,19.5057,-13.0870,23.4892,4.2680,445.3911
195,6.5000,2860.5457,582.1268,-63.1279,19.7994,0.3179,19.8020,4.5484,234.7561
196,6.5333,2870.8878,454.2872,-14.5423,19.5642,2.9550,19.7861,5.3843,169.2455
197,6.5667,2873.5615,512.6897,39.4018,19.5667,6.9231,20.7553,5.1787,207.3273
198,6.6000,2890.5098,716.7960,63.8154,20.0694,10.2369,22.5294,4.0772,319.0614
199,6.6333,2927.7045,930.8995,46.3017,21.4382,9.2564,23.3512,6.9149,912.6724
200,6.6667,2967.2998,999.7667,4.1224,22.4336,8.5416,24.0047,9.5148,1448.5158
201,6.7000,3003.6076,892.3103,-33.8111,22.8695,7.8164,24.1684,6.8193,826.9844
202,6.7333,3029.9839,708.8741,-45.0505,22.8740,11.7035,25.6942,6.6352,507.8255
203,6.7667,3046.0107,598.2747,-27.9462,23.1704,11.0128,25.6544,9.8652,537.8151
204,6.8000,3054.7503,613.0308,-1.7812,23.7740,5.7917,24.4693,7.9253,453.6358
205,6.8333,3080.6238,707.4342,16.6012,24.4553,-0.8740,24.4710,4.6927,357.7003
206,6.8667,3108.8711,797.6690,26.8067,25.0830,-7.1089,26.0709,5.0398,488.4115
207,6.9000,3143.1632,804.3417,36.2445,25.4909,-13.0636,28.6434,6.9062,680.5296
208,6.9333,3170.1883,785.7902,51.5686,25.7867,-14.5503,29.6085,5.9133,556.1193
209,6.9667,3195.3643,884.8429,66.2527,26.1280,-5.7050,26.7435,4.2040,501.3243
210,7.0000,3213.5328,1085.3709,58.7406,25.5741,5.5348,26.1662,4.3183,774.8004
211,7.0333,3247.1842,1257.0980,13.1052,25.0110,13.0878,28.2284,6.6702,1605.4777
212,7.0667,3304.8639,1301.3609,-61.8031,24.4834,18.5013,30.6877,5.6010,1444.7146
213,7.1000,3361.4647,1085.5468,-127.7044,24.2542,7.3846,25.3535,5.8284,1046.0952
214,7.1333,3392.4879,668.1994,-141.3172,22.8543,2.2775,22.9675,5.8608,398.5625
215,7.1667,3403.3588,293.0349,-90.4836,21.9191,2.0090,22.0109,6.2713,82.0199
216,7.2000,3398.9683,158.1808,-0.7076,20.4722,12.5523,24.0140,6.4481,24.5735
217,7.2333,3385.3272,333.8364,80.7365,17.7464,12.4991,21.7063,4.6565,79.0403
218,7.2667,3411.5051,695.7619,115.2079,14.0348,11.6944,18.2684,4.2175,310.9592
219,7.3000,3451.1728,992.6664,95.9140,10.9780,6.1981,12.6069,2.7812,417.4155
220,7.3333,3490.9461,1063.0795,24.4619,7.3863,0.4107,7.3977,1.5006,258.2993
221,7.3667,3530.5988,953.9614,-63.3686,4.5437,-2.2006,5.0486,1.3352,185.0681
