Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,Rotational_KE_J
285.0000,9.5000,2030.8367,1676.8784,178.9301,-29.1322,-41.6340,50.8141,1516.5789
286.0000,9.5333,2100.8110,1639.6173,-181.6702,-28.4705,-45.5651,53.7285,1449.9294
287.0000,9.5667,2146.5063,821.6327,-341.5871,-28.2487,-44.3676,52.5973,364.0972
288.0000,9.6000,2148.7743,222.3319,-209.4680,-28.9517,-39.8517,49.2581,26.6603
289.0000,9.6333,2155.8989,63.1549,-46.6901,-29.5221,-36.3854,46.8556,2.1512
290.0000,9.6667,2159.9788,152.7565,-9.8420,-29.5429,-30.3542,42.3575,12.5852
291.0000,9.7000,2157.2007,7.5201,-23.5320,-28.6513,-24.8761,37.9436,0.0305
292.0000,9.7333,2169.1651,0.0000,-13.4192,-28.1789,-26.3447,38.5758,0.0000
293.0000,9.7667,2117.9378,0.0000,2.7528,-26.0857,-46.1031,52.9713,0.0000
294.0000,9.8000,2052.3232,0.0000,-0.9772,-25.0502,-37.1723,44.8251,0.0000
295.0000,9.8333,1987.8090,0.0000,4.5839,-24.0901,-25.1327,34.8136,0.0000
296.0000,9.8667,1985.1033,0.0000,7.1694,-24.2388,-28.1556,37.1518,0.0000
297.0000,9.9000,1976.5636,51.0689,-7.8953,-23.0745,-35.6438,42.4607,1.4066
298.0000,9.9333,1983.9346,0.0000,8.3944,-22.6488,-18.6997,29.3709,0.0000
299.0000,9.9667,1981.2473,20.9659,131.9926,-21.6111,-2.7651,21.7872,0.2371
300.0000,10.0000,1978.5648,435.7062,280.6032,-20.5127,-7.4612,21.8275,102.3881
301.0000,10.0333,2007.9055,1168.0559,246.0908,-18.5823,-21.1710,28.1694,735.8497
302.0000,10.0667,2058.3658,1490.6181,8.0774,-16.6323,-28.6976,33.1690,1198.3802
303.0000,10.1000,2113.1268,1156.1805,-206.6786,-14.9633,-25.4737,29.5433,720.9632
304.0000,10.1333,2134.9709,606.9661,-228.2454,-13.7685,-13.7341,19.4473,198.6967
305.0000,10.1667,2148.9774,266.8786,-138.5971,-12.3499,-12.3574,17.4707,38.4140
306.0000,10.2000,2154.3016,150.2828,-62.1511,-10.6891,-11.7906,15.9146,12.1809
307.0000,10.2333,2158.5678,49.4222,35.4192,-8.1897,-13.6824,15.9461,1.3174
308.0000,10.2667,2161.4290,195.3856,215.2627,-6.4334,2.9416,7.0740,20.5896
309.0000,10.3000,2166.0089,829.8109,330.2649,-4.6622,-2.1043,5.1151,371.3813
310.0000,10.3333,2212.1733,1580.9827,171.5050,-3.0575,-11.6375,12.0324,1348.0814
311.0000,10.3667,2278.1046,1599.4359,-156.7537,-1.1315,-13.8049,13.8512,1379.7346
312.0000,10.4000,2325.3356,869.9291,-323.3192,0.1657,8.7717,8.7732,408.1592
313.0000,10.4333,2331.8458,235.5874,-224.0006,1.6149,11.6086,11.7204,29.9341
314.0000,10.4667,2335.1867,63.6100,-62.2699,2.5273,5.3748,5.9393,2.1823
315.0000,10.5000,2339.7263,76.1924,14.8093,2.8731,3.6447,4.6410,3.1310
316.0000,10.5333,2341.0997,94.7735,42.4810,3.5681,-1.4002,3.8330,4.8444
317.0000,10.5667,2344.2227,211.1369,47.9970,4.8170,-10.6153,11.6571,24.0431
318.0000,10.6000,2355.0021,319.9295,10.3771,5.1152,-27.9305,28.3950,55.2040
319.0000,10.6333,2367.3708,267.3975,-17.7581,4.3835,-36.5484,36.8103,38.5635
320.0000,10.6667,2374.2298,190.5609,36.5315,3.7897,-39.8054,39.9853,19.5853
321.0000,10.7000,2377.7331,371.9749,106.0485,4.7125,-35.7962,36.1050,74.6258
322.0000,10.7333,2395.3502,667.0282,62.5454,6.9589,-33.8657,34.5733,239.9663
323.0000,10.7667,2426.4832,668.7486,-60.0243,9.2106,-40.3181,41.3568,241.2057
324.0000,10.8000,2442.9405,375.9011,-107.1159,8.7410,-45.3902,46.2242,76.2095
325.0000,10.8333,2448.4142,200.0164,-46.9368,6.3173,-45.9178,46.3503,21.5771
326.0000,10.8667,2454.0849,236.7653,19.3399,4.3725,-41.7882,42.0163,30.2342
327.0000,10.9000,2466.5115,299.4879,35.2765,4.7004,-45.4570,45.6993,48.3749
328.0000,10.9333,2474.1914,354.0775,19.2657,6.1265,-45.4733,45.8841,67.6174
329.0000,10.9667,2487.9844,382.7474,-11.5768,7.5695,-41.7896,42.4696,79.0108
330.0000,11.0000,2502.3294,316.8676,-36.0343,7.9236,-35.8936,36.7578,54.1524
331.0000,11.0333,2509.1516,216.9451,-48.1692,7.7712,-37.4890,38.2860,25.3841
332.0000,11.0667,2514.5397,174.4311,-37.5433,6.3369,-24.4127,25.2218,16.4100
333.0000,11.1000,2522.5668,81.3629,84.3115,4.5331,-7.6162,8.8632,3.5704
334.0000,11.1333,2525.1879,345.5459,310.1154,2.8715,11.5471,11.8988,64.3981
335.0000,11.1667,2533.1842,1266.6358,334.7656,2.6316,16.3216,16.5324,865.2974
336.0000,11.2000,2606.1652,1899.1897,-32.2453,0.4064,3.6683,3.6908,1945.3536
337.0000,11.2333,2677.6783,1198.0072,-387.6757,-0.3863,-4.4298,4.4466,774.0708
338.0000,11.2667,2689.6733,80.3460,-288.6885,0.5937,-2.3558,2.4295,3.4817
339.0000,11.3000,2666.6552,0.0000,9.1357,2.4350,5.9453,6.4246,0.0000
340.0000,11.3333,2684.0095,429.5178,54.9376,1.3899,-5.7217,5.8881,99.5003
341.0000,11.3667,2708.5826,266.1712,-22.4987,0.1171,-22.0849,22.0852,38.2106
342.0000,11.4000,2707.6006,92.5402,86.2827,-0.4640,-29.0833,29.0870,4.6187
343.0000,11.4333,2694.8337,573.0551,219.8838,-0.1594,-34.2454,34.2458,177.1147
344.0000,11.4667,2752.6394,1128.6669,102.7444,0.2104,-32.9994,33.0001,687.0581
345.0000,11.5000,2777.5403,997.4417,-148.8926,-0.9978,-36.7239,36.7374,536.5830
346.0000,11.5333,2814.3899,463.3455,-237.6665,-2.1072,-33.3624,33.4289,115.7902
347.0000,11.5667,2809.2652,0.0000,-154.6370,-3.9774,-34.1716,34.4023,0.0000
348.0000,11.6000,2801.2083,0.0000,43.7315,-5.3075,-29.0727,29.5532,0.0000
349.0000,11.6333,2740.2284,0.0000,237.3107,-6.7155,-29.8365,30.5829,0.0000
350.0000,11.6667,2755.2213,941.0768,143.5475,-6.2446,-32.3953,32.9917,477.6525
351.0000,11.7000,2823.6262,959.5447,-140.7848,-6.0377,-38.0297,38.5060,496.5835
352.0000,11.7333,2835.0423,0.0000,-228.0184,-5.0744,-37.6490,37.9894,0.0000
353.0000,11.7667,2768.6376,0.0000,-72.6676,-5.9052,-19.3172,20.1996,0.0000
354.0000,11.8000,2700.6721,0.0000,34.7181,-7.8823,1.8112,8.0877,0.0000
355.0000,11.8333,2683.6193,0.0000,94.1645,-9.8472,13.5012,16.7108,0.0000
356.0000,11.8667,2690.3609,341.2117,195.6011,-9.5936,7.9519,12.4607,62.7928
357.0000,11.9000,2705.4150,777.2370,217.9145,-9.4682,-9.3368,13.2975,325.8133
358.0000,11.9333,2735.7844,1187.4034,98.4037,-9.8584,-28.9161,30.5505,760.4286
359.0000,11.9667,2789.0045,1214.5448,-93.1449,-11.5295,-41.9984,43.5522,795.5893
360.0000,12.0000,2820.5184,788.4510,-223.0919,-12.8974,-35.4572,37.7300,335.2828
361.0000,12.0333,2837.9768,319.1418,-200.3240,-12.7427,-29.7997,32.4099,54.9325
362.0000,12.0667,2840.8558,0.0000,-91.2604,-11.8158,-25.5195,28.1222,0.0000
363.0000,12.1000,2838.9428,0.0000,-10.9533,-13.2867,-28.4660,31.4142,0.0000
364.0000,12.1333,2822.8985,0.0000,7.1615,-17.1370,-26.7882,31.8007,0.0000
365.0000,12.1667,2820.5267,0.0000,0.0000,-19.3475,-18.9361,27.0721,0.0000
366.0000,12.2000,2751.1415,0.0000,0.0000,-18.4681,-18.4707,26.1197,0.0000
367.0000,12.2333,2726.5200,0.0000,0.0000,-16.3124,-32.1103,36.0162,0.0000
368.0000,12.2667,2700.9177,0.0000,-2.3225,-16.4940,-27.3266,31.9186,0.0000
369.0000,12.3000,2714.1515,0.0000,5.3896,-18.5211,-11.5384,21.8213,0.0000
370.0000,12.3333,2676.8564,0.0000,27.3308,-20.9577,2.9657,21.1665,0.0000
371.0000,12.3667,2695.8767,103.4969,29.7957,-21.9281,-0.4800,21.9333,5.7772
372.0000,12.4000,2699.0231,173.8097,34.6744,-21.9800,2.9746,22.1803,16.2933
373.0000,12.4333,2699.4793,167.2638,93.7276,-21.0273,-2.0433,21.1263,15.0892
374.0000,12.4667,2709.5096,499.9876,169.3370,-19.7224,-18.3883,26.9649,134.8280
375.0000,12.5000,2733.5967,879.8563,154.9937,-19.1766,-38.9216,43.3893,417.5277
376.0000,12.5333,2767.5522,1103.1393,34.2147,-19.7099,-46.9469,50.9166,656.3305
377.0000,12.5667,2808.5627,1025.2020,-89.8803,-20.6780,-39.0396,44.1777,566.8665
378.0000,12.6000,2837.9744,719.5296,-132.4372,-21.2116,-29.8360,36.6077,279.2282
379.0000,12.6333,2855.1144,489.6789,-96.5300,-21.1066,-23.7767,31.7934,129.3256
380.0000,12.6667,2867.6822,387.2496,-35.2674,-20.1022,-19.3903,27.9299,80.8805
381.0000,12.7000,2884.8269,347.9943,25.5764,-19.8780,-10.7657,22.6061,65.3140
382.0000,12.7333,2889.7998,480.8135,90.5767,-20.0031,-2.5154,20.1606,124.6853
383.0000,12.7667,2912.7542,697.4093,140.0738,-21.8374,-4.2920,22.2552,262.3236
384.0000,12.8000,2945.3223,1034.4402,179.0516,-24.9967,-13.2298,28.2818,577.1287
