Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,Rotational_KE_J
66.0000,2.2000,547.0009,101.2159,93.5033,-9.5502,-4.7047,10.6462,5.5253
67.0000,2.2333,548.6596,401.5173,214.8545,-8.8021,-21.4002,23.1397,86.9502
68.0000,2.2667,570.5076,959.8466,220.3738,-7.5398,-38.1550,38.8928,496.8960
69.0000,2.3000,613.8423,1322.0857,61.0091,-5.7725,-43.4390,43.8209,942.7164
70.0000,2.3333,662.4075,1190.4297,-129.8102,-4.7182,-38.5713,38.8588,764.3097
71.0000,2.3667,693.6776,766.1350,-206.2786,-4.7648,-34.3154,34.6446,316.5719
72.0000,2.4000,711.4504,378.1346,-164.6372,-5.0810,-31.6896,32.0944,77.1178
73.0000,2.4333,718.7768,153.1152,-85.8022,-4.4542,-34.3304,34.6182,12.6444
74.0000,2.4667,721.3152,61.1344,-27.5154,-3.1945,-24.9123,25.1163,2.0157
75.0000,2.5000,722.6959,54.8945,-2.7833,-2.0244,-6.8934,7.1845,1.6252
76.0000,2.5333,725.1567,55.7707,1.0680,-1.1735,7.2106,7.3055,1.6775
77.0000,2.5667,727.0819,48.0522,-4.9935,-0.1526,9.2006,9.2019,1.2453
78.0000,2.6000,727.5853,46.1581,-19.8116,0.6251,12.7569,12.7722,1.1491
79.0000,2.6333,729.7198,0.0000,-6.9105,0.9450,22.3275,22.3475,0.0000
80.0000,2.6667,728.2274,0.0000,143.1440,0.4550,9.8237,9.8342,0.0000
81.0000,2.7000,716.6639,394.3378,359.0615,0.1142,-22.4688,22.4691,83.8685
82.0000,2.7333,745.6106,1441.1459,321.2325,0.1351,-41.3422,41.3425,1120.1540
83.0000,2.7667,816.3093,1877.9394,-55.7950,0.4960,-20.0559,20.0620,1902.0635
84.0000,2.8000,883.1246,1164.5602,-370.4262,0.5031,4.7166,4.7433,731.4518
85.0000,2.8333,892.7204,233.7109,-299.6229,-0.5405,11.4066,11.4194,29.4591
86.0000,2.8667,888.5937,0.0000,-53.8507,-1.5139,4.1887,4.4539,0.0000
87.0000,2.9000,892.2347,175.6778,43.3658,-1.2619,-1.7442,2.1528,16.6454
88.0000,2.9333,903.9982,220.5740,0.6876,-0.3258,-13.8737,13.8776,26.2404
89.0000,2.9667,908.2770,114.8750,22.1634,0.0981,-17.7765,17.7768,7.1173
90.0000,3.0000,911.4090,227.1838,153.3937,0.5626,-23.1561,23.1629,27.8366
91.0000,3.0333,919.3727,706.4544,222.6388,1.5415,-29.2387,29.2793,269.1721
92.0000,3.0667,957.2037,1179.4965,94.8559,2.8050,-39.1380,39.2384,750.3350
93.0000,3.1000,1002.3290,1119.4891,-108.8724,5.0003,-42.7119,43.0035,675.9298
94.0000,3.1333,1036.0393,666.2446,-168.9591,7.3065,-44.5310,45.1265,239.4028
95.0000,3.1667,1042.4543,397.5815,-79.6198,9.1734,-44.4577,45.3943,85.2539
96.0000,3.2000,1058.5927,421.7346,-19.7490,9.5505,-46.5262,47.4963,95.9269
97.0000,3.2333,1074.2407,392.0805,-52.4238,8.0875,-54.1447,54.7454,82.9110
98.0000,3.2667,1085.9766,187.9248,-81.8337,6.9021,-53.3074,53.7523,19.0472
99.0000,3.3000,1085.9719,49.6198,-26.9890,7.6610,-31.3428,32.2655,1.3279
100.0000,3.3333,1087.7178,51.8489,51.4283,9.9171,-7.0396,12.1616,1.4499
101.0000,3.3667,1090.9990,281.7527,33.2919,11.1551,2.7493,11.4889,42.8152
102.0000,3.4000,1098.6404,275.9718,-45.6906,11.9331,-1.5971,12.0395,41.0763
103.0000,3.4333,1118.0826,0.0000,-102.5125,11.8590,2.2748,12.0752,0.0000
104.0000,3.4667,1068.0959,0.0000,50.0172,11.1591,-9.0710,14.3808,0.0000
105.0000,3.5000,973.3970,0.0000,513.6603,10.3225,-31.1196,32.7870,0.0000
106.0000,3.5333,956.7687,1653.3300,754.3131,10.4196,-42.9763,44.2214,1474.2832
107.0000,3.5667,1094.3700,3562.2504,218.3720,10.6712,-25.8455,27.9618,6844.0117
108.0000,3.6000,1225.0761,2656.7309,-567.8746,10.5311,-3.8409,11.2097,3806.7731
109.0000,3.6333,1266.5673,760.5137,-681.6999,10.2347,7.5205,12.7007,311.9435
110.0000,3.6667,1258.8535,0.0000,-260.9239,10.4601,13.5656,17.1301,0.0000
111.0000,3.7000,1263.3714,14.8518,17.6238,10.7739,2.9368,11.1669,0.1190
112.0000,3.7333,1266.4465,131.0492,34.5183,10.7372,-10.2049,14.8131,9.2626
113.0000,3.7667,1269.7997,116.0951,26.0999,10.9255,-21.1547,23.8094,7.2693
114.0000,3.8000,1277.0743,167.3410,137.4272,11.6479,-25.0466,27.6226,15.1031
115.0000,3.8333,1280.3783,566.5804,276.4760,12.2429,-38.4885,40.3888,173.1350
116.0000,3.8667,1307.4370,1285.7603,202.1833,13.8134,-49.1438,51.0483,891.6243
117.0000,3.9000,1367.7037,1512.7121,-100.6389,14.8950,-53.8344,55.8570,1234.1684
118.0000,3.9333,1419.8069,852.9385,-301.9331,15.7115,-51.5854,53.9250,392.3713
119.0000,3.9667,1422.8635,156.0576,-192.3415,16.3589,-48.9833,51.6428,13.1350
120.0000,4.0000,1419.5939,124.5815,6.2271,15.4456,-50.5160,52.8246,8.3708
121.0000,4.0333,1433.3411,332.6641,38.5035,14.3047,-52.2367,54.1599,59.6862
122.0000,4.0667,1447.1883,281.2430,-34.0246,14.5612,-41.9706,44.4248,42.6604
123.0000,4.1000,1450.1834,125.8085,-60.7157,16.8984,-16.1106,23.3475,8.5365
124.0000,4.1333,1454.3107,60.5045,-16.6833,17.6262,0.1925,17.6273,1.9744
125.0000,4.1667,1455.2680,36.9637,17.8822,17.9320,-5.9078,18.8801,0.7369
126.0000,4.2000,1456.9324,175.8892,1.1994,17.7596,-10.3594,20.5602,16.6855
127.0000,4.2333,1459.1554,62.4126,-28.2731,16.6837,8.1148,18.5526,2.1009
128.0000,4.2667,1471.8052,0.0000,-24.2952,16.5790,5.5747,17.4911,0.0000
129.0000,4.3000,1409.2750,0.0000,-1.6552,15.1595,-26.7401,30.7383,0.0000
130.0000,4.3333,1320.9475,0.0000,-0.0718,13.0106,-50.2835,51.9394,0.0000
131.0000,4.3667,1255.5771,0.0000,4.8404,10.5694,-34.3224,35.9129,0.0000
132.0000,4.4000,1259.0812,0.0000,11.7675,10.1264,-8.4829,13.2100,0.0000
133.0000,4.4333,1254.5443,65.6129,13.7608,9.3477,5.0836,10.6406,2.3219
134.0000,4.4667,1255.5916,46.7455,11.2129,8.2282,9.4943,12.5637,1.1785
135.0000,4.5000,1259.5091,100.0023,9.0695,6.6539,4.0887,7.8097,5.3936
