Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
62,2.0667,1254.2099,172.0970,-65.0900,-11.7768,18.7473,22.1394,5.6075,25.2953
63,2.1000,1274.7605,144.1077,25.2422,-11.2383,12.7438,16.9913,11.1183,35.1671
64,2.1333,1268.9980,320.1423,95.2012,-10.7760,8.4105,13.6697,7.3415,114.6022
65,2.1667,1270.6174,555.8005,119.5219,-9.9637,3.0589,10.4227,4.1336,194.4859
66,2.2000,1294.3018,789.5624,95.2060,-9.3799,-4.5378,10.4199,3.4117,323.9467
67,2.2333,1333.2843,1006.3467,31.6765,-8.6584,-20.6409,22.3834,4.6637,719.3614
68,2.2667,1375.1687,1031.2626,-42.3015,-7.4408,-36.8012,37.5459,13.7209,2222.5223
69,2.3000,1413.1228,811.3840,-99.0782,-5.7362,-41.8978,42.2886,17.4987,1754.6259
70,2.3333,1432.8083,497.0671,-119.3613,-4.7193,-37.2027,37.5009,21.7603,818.8781
71,2.3667,1435.2688,246.7045,-86.7766,-4.7210,-32.9729,33.3091,13.7280,127.2584
72,2.4000,1439.7123,132.0606,-11.3553,-5.2426,-31.0651,31.5043,11.6988,31.0752
73,2.4333,1442.6018,170.1523,64.4276,-4.7102,-33.8205,34.1469,12.6179,55.6400
74,2.4667,1453.2488,391.7297,81.9871,-3.4230,-24.5282,24.7659,14.7222,344.0880
75,2.5000,1468.4335,666.0884,40.8041,-2.0778,-6.5239,6.8468,3.9662,268.0168
76,2.5333,1489.2962,812.5504,-14.7326,-1.3004,6.9548,7.0753,4.6131,463.8947
77,2.5667,1516.4735,648.9747,-66.9294,-0.3157,8.8742,8.8798,3.3169,212.7723
78,2.6000,1556.7477,163.4536,-104.7970,0.4343,12.3043,12.3119,6.3231,25.7303
79,2.6333,1559.5412,61.9653,-87.6873,0.7430,21.5353,21.5481,6.5403,3.8249
80,2.6667,1536.6174,61.9653,-2.2823,0.2703,9.4751,9.4790,6.3603,3.7196
81,2.7000,1481.0074,61.9653,93.9039,-0.0419,-21.6175,21.6176,8.8814,5.1940
82,2.7333,1465.3750,158.8931,131.6516,-0.1041,-40.0916,40.0918,15.0784,57.9817
83,2.7667,1497.8977,697.4423,110.4125,0.2166,-19.6506,19.6518,2.2172,164.2625
84,2.8000,1559.7907,1006.4217,67.0120,0.2508,4.3330,4.3402,4.3632,673.1220
85,2.8333,1601.4450,1012.0648,19.0675,-0.6735,11.0560,11.0765,2.8203,439.9792
86,2.8667,1618.6229,812.0823,-11.4226,-1.6288,4.0401,4.3561,3.4999,351.5444
87,2.9000,1621.1530,662.6279,-5.7161,-1.3857,-1.6823,2.1795,4.4145,295.2172
88,2.9333,1639.9909,682.6532,12.9856,-0.4828,-13.3815,13.3902,4.3668,309.9459
89,2.9667,1681.3477,923.3001,-1.6621,-0.0739,-17.1458,17.1460,5.6556,734.3311
90,3.0000,1717.7021,1080.0913,-39.7684,0.3741,-22.3345,22.3376,3.5620,632.9098
91,3.0333,1749.3732,851.8472,-90.9813,1.3183,-28.2012,28.2320,8.5549,945.5006
92,3.0667,1770.8197,420.1449,-133.8828,2.5370,-37.7494,37.8345,11.9935,322.4559
93,3.1000,1806.6739,61.9653,-128.7470,4.6186,-41.2077,41.4658,20.1812,11.8024
94,3.1333,1772.6109,61.9653,-53.7030,7.0216,-42.9056,43.4764,18.9418,11.0776
95,3.1667,1756.0805,61.9653,34.4241,8.8819,-42.8160,43.7275,22.1708,12.9659
96,3.2000,1752.1059,82.9896,76.5587,9.1860,-44.8300,45.7615,26.3710,27.6630
97,3.2333,1760.4727,432.4507,59.9541,7.5963,-52.2349,52.7844,32.9711,939.1438
98,3.2667,1789.5176,650.5918,25.5547,6.4886,-51.4160,51.8238,26.2856,1694.5707
99,3.3000,1834.4069,594.1953,6.7639,7.2206,-30.2307,31.0811,11.2531,605.1387
