Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
63,2.1000,637.5097,87.2745,14.5344,3.5981,-10.3383,10.9466,2.0503,2.3786
64,2.1333,627.3322,87.2745,74.1259,3.6697,-3.8364,5.3089,2.9443,3.4157
65,2.1667,612.4559,87.2745,133.8988,2.5151,-13.5019,13.7341,3.8064,4.4158
66,2.2000,593.0823,396.5753,165.1100,1.5569,-23.5337,23.5851,8.4221,201.7430
67,2.2333,641.4871,900.4994,152.0288,0.7603,-29.8685,29.8782,4.4390,548.2430
68,2.2667,671.6616,1284.3739,102.9974,0.7832,-14.2042,14.2258,10.8869,2735.3408
69,2.3000,727.2021,1381.5254,31.0150,1.0963,-1.9059,2.1987,0.9272,269.5413
70,2.3333,779.5295,1208.6967,-45.0175,1.9793,9.9557,10.1505,1.4122,314.2344
71,2.3667,818.1678,1007.7091,-80.3223,2.7838,7.4544,7.9572,3.9759,614.9433
72,2.4000,828.4506,874.0399,-75.1425,3.5726,-4.0308,5.3862,1.4130,164.4125
73,2.4333,854.2335,769.1534,-57.9152,4.0478,-15.0393,15.5745,1.8834,169.7039
74,2.4667,887.1456,735.0253,-46.3552,4.5891,-15.3680,16.0386,2.5008,205.7847
75,2.5000,915.2472,691.5244,-32.0139,5.3181,-18.3647,19.1192,2.8434,207.0969
76,2.5333,940.8270,577.4436,-2.6922,7.4320,-25.6385,26.6940,17.6111,894.3970
77,2.5667,956.5712,485.6076,29.2839,9.4082,-36.1825,37.3856,15.6599,562.4493
78,2.6000,962.1915,582.2825,26.1402,10.9183,-45.1112,46.4137,17.6931,913.6845
79,2.6333,977.5549,781.0224,-7.1299,11.1493,-43.2917,44.7043,16.2826,1512.7802
80,2.6667,1006.8404,878.9405,-42.9460,10.2728,-27.0054,28.8933,4.9392,581.1701
81,2.7000,1048.2833,670.9541,-78.8243,9.0700,-10.0108,13.5086,1.8872,129.3963
82,2.7333,1082.7187,164.4202,-100.7722,9.8370,0.8456,9.8733,1.9847,8.1719
83,2.7667,1083.4360,87.2745,-72.0247,11.8030,0.5410,11.8154,3.9454,4.5771
84,2.8000,1049.1391,87.2745,-0.6649,12.6124,-7.1247,14.4856,4.2674,4.9506
85,2.8333,1002.3059,87.2745,57.6689,11.3080,-23.2476,25.8520,4.1200,4.7797
86,2.8667,1001.6489,236.3313,57.9445,9.5909,-25.2834,27.0414,6.0620,51.5685
87,2.9000,1047.0660,523.1539,29.9305,8.9026,-10.0982,13.4622,1.5419,64.2733
88,2.9333,1096.3718,526.1295,25.4814,8.9373,5.5804,10.5364,4.6865,197.5867
89,2.9667,1102.8330,409.4705,48.4699,10.4855,12.1296,16.0335,6.1300,156.5425
90,3.0000,1098.9602,397.9834,87.6457,12.9975,12.6240,18.1191,4.9729,119.9672
91,3.0333,1073.8170,643.6153,127.8328,13.7959,14.9333,20.3305,5.2835,333.3472
92,3.0667,1116.6983,1083.8904,119.8798,12.7688,9.8643,16.1353,3.8725,692.9299
93,3.1000,1185.4310,1427.1426,43.6893,12.0697,-5.8509,13.4131,1.7940,556.5219
94,3.1333,1253.0761,1472.9668,-61.1599,12.0498,-17.7776,21.4765,5.3773,1776.9541
95,3.1667,1284.4807,1097.3186,-142.4914,11.7583,-25.9233,28.4653,4.2627,781.7605
96,3.2000,1309.8902,544.8856,-153.2115,11.6390,-28.2642,30.5668,11.1328,503.4303
97,3.2333,1313.4053,257.7622,-89.5230,10.9887,-40.6115,42.0719,8.8251,89.3060
98,3.2667,1323.9873,243.7672,8.0866,10.4985,-43.3356,44.5892,17.0950,154.7196
99,3.3000,1319.5313,433.1780,80.0680,9.4189,-43.2764,44.2895,15.8870,454.0448
100,3.3333,1348.1931,733.1076,69.1314,6.8288,-39.9687,40.5479,12.2159,999.9700
101,3.3667,1374.3240,866.4241,8.3750,3.8026,-24.1473,24.4449,7.7373,884.6600
102,3.4000,1405.5530,805.8662,-60.3307,3.0719,-8.2432,8.7970,2.4554,242.8707
103,3.4333,1443.8070,508.5157,-109.2830,4.1574,-0.1818,4.1614,1.7646,69.4996
104,3.4667,1454.0408,87.2745,-119.2545,5.0165,-2.4159,5.5679,2.9240,3.3922
105,3.5000,1423.0919,87.2745,-93.0230,4.7061,-1.7859,5.0335,3.9151,4.5420
106,3.5333,1410.5625,87.2745,-48.6059,2.4498,-14.9575,15.1568,1.7527,2.0333
107,3.5667,1343.8301,87.2745,-5.9548,-0.1363,-26.6186,26.6190,5.9235,6.8720
108,3.6000,1284.5434,87.2745,5.6863,-1.6409,-18.9459,19.0168,2.0732,2.4051
109,3.6333,1202.5634,87.2745,65.6275,-2.0536,0.7811,2.1971,1.7150,1.9896
110,3.6667,1102.7039,87.2745,164.5284,-1.7047,13.7419,13.8472,5.5388,6.4256
111,3.7000,1043.2332,87.2745,236.4498,-0.9919,17.0996,17.1283,4.4298,5.1391
112,3.7333,1064.3536,708.9952,236.4303,-1.7670,14.9741,15.0780,3.6610,280.2942
113,3.7667,1116.9888,1580.5859,154.2525,-3.1408,1.6605,3.5527,2.0413,776.7329
114,3.8000,1212.8015,1851.1594,16.3829,-3.9126,-14.3045,14.8300,2.8807,1503.5466
115,3.8333,1271.3768,1532.2635,-119.3726,-3.4331,-23.2118,23.4643,3.9330,1406.4279
116,3.8667,1293.6375,945.5606,-209.3709,-2.5940,-26.3124,26.4399,6.7840,923.8292
117,3.9000,1306.5259,368.3856,-188.5313,-2.7060,-31.7678,31.8829,10.1106,208.9810
118,3.9333,1316.2183,140.2411,-85.9108,-4.3463,-41.8384,42.0635,10.0926,30.2329
119,3.9667,1323.4219,278.7038,22.2623,-5.0611,-43.2166,43.5120,16.4626,194.7641
120,4.0000,1323.4595,434.1235,85.1623,-5.1839,-40.2352,40.5678,10.8007,310.0298
121,4.0333,1342.8277,614.1324,85.3652,-7.3288,-34.8965,35.6578,8.3867,481.7719
122,4.0667,1381.5680,782.8161,40.5583,-10.4060,-25.6172,27.6500,6.5323,609.6955
123,4.1000,1403.6970,795.2535,-5.3472,-11.3200,-8.2310,13.9961,2.0215,194.7181
124,4.1333,1423.9049,707.4180,-39.3496,-10.4857,-3.0552,10.9217,2.6913,205.1341
