Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
63,2.1000,1219.0189,663.0588,88.8445,8.5158,-7.6352,11.4374,4.9146,329.0894
64,2.1333,1239.9064,877.8851,67.2011,10.2442,1.3262,10.3297,5.5464,651.0440
65,2.1667,1278.8341,1005.3637,16.4349,10.9913,0.9984,11.0365,2.7682,426.1555
66,2.2000,1319.0914,974.2096,-46.9088,11.7995,-0.1824,11.8009,2.3771,343.6161
67,2.2333,1352.4735,787.9866,-96.4614,11.6916,1.4141,11.7768,4.4159,417.6172
68,2.2667,1370.0282,522.5313,-114.6055,11.9457,3.9921,12.5951,4.4287,184.1734
69,2.3000,1382.8605,271.9898,-101.9999,12.4325,0.0582,12.4327,4.4271,49.8822
70,2.3333,1382.0580,104.3652,-71.4097,12.5779,-8.6448,15.2622,6.3738,10.5738
71,2.3667,1386.4189,61.2745,-31.3870,12.0599,-17.0549,20.8880,9.9427,5.6858
72,2.4000,1389.1867,61.2745,10.9999,12.5531,-19.6268,23.2979,10.1000,5.7758
73,2.4333,1391.6107,61.2745,51.9054,13.7019,-18.7307,23.2073,8.0938,4.6285
74,2.4667,1392.0187,161.4128,84.6965,14.6582,-19.4525,24.3570,7.0112,27.8223
75,2.5000,1402.6198,358.6139,100.0521,13.0004,-24.1232,27.4033,7.8448,153.6602
76,2.5333,1406.0811,602.2054,88.8052,10.7946,-28.0566,30.0616,9.2288,509.7527
77,2.5667,1434.8692,811.1556,45.3456,9.3275,-28.2894,29.7874,7.7899,780.6660
78,2.6000,1470.1517,854.8289,-19.7224,9.6182,-26.8111,28.4841,7.0195,781.2521
79,2.6333,1504.3145,719.9416,-76.5161,9.5530,-26.2065,27.8934,7.7420,611.1851
80,2.6667,1524.7900,473.0921,-101.0309,9.1472,-25.9127,27.4798,6.5140,222.0570
81,2.7000,1536.7531,211.1131,-84.2125,9.1133,-26.3123,27.8458,7.8450,53.2533
82,2.7333,1525.1713,75.2334,-43.7848,9.0705,-26.2145,27.7393,7.1546,6.1678
83,2.7667,1528.9933,78.2659,-7.6679,9.0317,-25.1293,26.7030,9.0892,8.4800
84,2.8000,1534.6693,177.3545,13.1456,9.2788,-24.8879,26.5613,8.5603,41.0109
85,2.8333,1546.0302,256.8736,22.4873,8.9621,-21.7578,23.5313,8.1670,82.0775
86,2.8667,1557.0787,234.2402,34.2692,7.8172,-17.3851,19.0617,9.3753,78.3492
87,2.9000,1568.2648,224.2496,59.1199,6.6020,-12.8980,14.4895,13.2492,101.4793
88,2.9333,1574.3601,348.5344,91.2114,6.2975,-6.8061,9.2726,4.7688,88.2324
89,2.9667,1574.3362,595.0727,110.9529,6.1757,1.2753,6.3060,7.6009,409.9515
90,3.0000,1598.1558,897.3188,92.4068,5.9058,1.6456,6.1308,6.4783,794.4750
91,3.0333,1639.9615,1090.8599,28.0059,6.3132,0.3695,6.3240,2.8472,516.0439
92,3.0667,1686.4649,1076.3408,-53.6761,7.2393,1.3123,7.3573,4.4063,777.4947
93,3.1000,1726.9980,844.1609,-114.4903,7.9250,1.9643,8.1648,4.3347,470.4687
94,3.1333,1747.8304,486.3238,-136.9645,7.3795,-4.5486,8.6687,2.8224,101.6704
95,3.1667,1744.7210,171.9317,-114.8878,6.7207,-8.0922,10.5191,6.7593,30.4325
96,3.2000,1745.2700,61.2745,-56.6627,6.2497,-15.9403,17.1217,5.6320,3.2207
97,3.2333,1747.6880,61.2745,13.1575,5.6207,-21.8245,22.5367,17.8153,10.1877
98,3.2667,1749.1879,102.2369,71.0864,5.8638,-26.2815,26.9277,14.9149,23.7444
