Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
57,1.8843,1475.2893,878.9787,15.3411,-4.5473,25.5141,18.0578,31.2578,0.6500,76.4883
58,1.9174,1500.1885,872.4991,15.2280,-4.1787,16.2280,28.3224,32.6420,0.6500,75.3647
59,1.9504,1523.7927,861.4061,15.0344,-3.9258,3.5132,32.3017,32.4922,0.6500,73.4605
60,1.9835,1544.2743,846.8831,14.7809,-3.8389,-7.8451,30.8352,31.8176,0.6500,71.0044
61,2.0165,1574.9779,831.2247,14.5076,-4.2319,-21.2548,21.2713,30.0705,0.6500,68.4030
62,2.0496,1606.7773,819.1796,14.2974,-4.4308,-26.7538,6.2862,27.4824,0.6500,66.4349
63,2.0826,1630.3581,809.6468,14.1310,-3.8810,-23.6150,-4.3163,24.0062,0.6500,64.8977
64,2.1157,1659.7779,802.8831,14.0130,-3.2702,-15.4271,-12.8433,20.0735,0.6500,63.8179
65,2.1488,1691.3104,799.2056,13.9488,-2.9381,-5.2916,-15.6427,16.5135,0.6500,63.2346
66,2.1818,1720.6074,799.0132,13.9454,-2.4610,2.5340,-13.5308,13.7660,0.6500,63.2042
67,2.2149,1748.0357,799.0538,13.9461,-1.2495,8.3557,-10.6812,13.5612,0.6500,63.2106
68,2.2479,1779.7410,801.1466,13.9826,-0.5738,15.2252,-5.6196,16.2292,0.6500,63.5422
69,2.2810,1810.9703,805.1967,14.0533,-0.1122,21.1979,4.1090,21.5925,0.6500,64.1863
70,2.3140,1831.7622,810.0327,14.1377,0.6232,23.8140,14.7435,28.0085,0.6500,64.9596
71,2.3471,1848.2709,814.8140,14.2212,1.3938,22.3251,25.0315,33.5408,0.6500,65.7287
72,2.3802,1864.2953,816.1745,14.2449,1.7341,16.7461,34.7885,38.6092,0.6500,65.9484
73,2.4132,1880.1079,812.0507,14.1730,1.7937,7.0882,40.6471,41.2605,0.6500,65.2836
74,2.4463,1909.4834,805.2814,14.0548,1.0640,-13.7177,38.7734,41.1285,0.6500,64.1998
75,2.4793,1942.6246,798.4333,13.9353,-0.0482,-30.3901,23.2143,38.2422,0.6500,63.1125
76,2.5124,1971.6757,792.1933,13.8264,-0.4085,-33.1588,4.8517,33.5118,0.6500,62.1299
77,2.5455,1999.4384,788.9796,13.7703,-0.2910,-26.8444,-9.4737,28.4671,0.6500,61.6268
78,2.5785,2032.5156,788.9335,13.7695,-0.0744,-14.2248,-18.5486,23.3751,0.6500,61.6196
79,2.6116,2065.7962,789.4078,13.7778,-0.1492,-1.4241,-19.3749,19.4272,0.6500,61.6937
80,2.6446,2092.4682,788.9619,13.7700,-0.6067,6.7263,-16.2642,17.6002,0.6500,61.6240
81,2.6777,2122.2364,788.9040,13.7690,-1.7259,14.7836,-11.4523,18.7006,0.6500,61.6150
82,2.7107,2154.6536,789.0256,13.7711,-3.5624,22.0714,-2.0655,22.1678,0.6500,61.6340
83,2.7438,2184.0973,788.3179,13.7587,-5.0402,24.3367,10.8850,26.6601,0.6500,61.5235
84,2.7769,2203.2677,786.8844,13.7337,-5.5172,22.6210,21.2929,31.0660,0.6500,61.2999
85,2.8099,2218.0614,784.3231,13.6890,-4.8939,18.0503,28.9555,34.1209,0.6500,60.9015
86,2.8430,2231.4737,779.1061,13.5980,-3.3011,11.2051,33.4374,35.2649,0.6500,60.0940
87,2.8760,2251.4503,773.0582,13.4924,-1.9263,-0.8692,34.3302,34.3412,0.6500,59.1647
88,2.9091,2281.8048,765.8113,13.3659,-1.3255,-16.6498,26.8483,31.5918,0.6500,58.0606
89,2.9421,2315.0589,756.3822,13.2014,-1.1966,-25.7032,11.9535,28.3468,0.6500,56.6397
90,2.9752,2346.8492,746.5591,13.0299,-0.9876,-25.5861,-3.0732,25.7701,0.6500,55.1781
91,3.0083,2371.6027,740.0634,12.9165,-0.6684,-21.1848,-13.0343,24.8735,0.6500,54.2221
92,3.0413,2392.8431,737.8586,12.8781,-0.2721,-15.4502,-20.3867,25.5798,0.6500,53.8995
93,3.0744,2413.6189,737.9007,12.8788,0.4206,-7.8621,-26.7455,27.8771,0.6500,53.9056
94,3.1074,2433.2530,740.2318,12.9195,0.9253,1.7584,-30.9378,30.9877,0.6500,54.2467
95,3.1405,2459.6156,742.3983,12.9573,0.2941,16.6852,-29.3526,33.7635,0.6500,54.5647
96,3.1736,2491.4530,742.1123,12.9523,-1.6147,31.2424,-16.9964,35.5664,0.6500,54.5227
97,3.2066,2523.6528,738.2074,12.8841,-3.6854,36.3420,2.3200,36.4160,0.6500,53.9504
98,3.2397,2551.9584,731.5750,12.7684,-5.0189,30.7367,19.1753,36.2276,0.6500,52.9854
99,3.2727,2573.1466,724.1979,12.6396,-4.8715,21.2706,28.3779,35.4647,0.6500,51.9221
100,3.3058,2588.2548,718.6341,12.5425,-3.4555,12.8567,32.2334,34.7028,0.6500,51.1274
101,3.3388,2602.7702,717.7067,12.5263,-1.5678,4.3479,34.2744,34.5491,0.6500,50.9955
102,3.3719,2623.8742,721.0432,12.5846,0.1352,-8.2430,33.3725,34.3755,0.6500,51.4708
103,3.4050,2651.9935,725.5961,12.6640,1.0177,-22.8819,25.4187,34.2008,0.6500,52.1228
104,3.4380,2682.9293,730.0240,12.7413,1.6088,-32.5502,9.9955,34.0504,0.6500,52.7609
