Frame,Time,FPS,Landmark_ID,Visibility,Detection_OK,X_raw,Y_raw,Z_raw,X_clean,Y_clean,Z_clean
1,0.033333,30.000000,16,0.275547,False,-0.386349,-0.521815,0.173005,-0.427336,-0.635516,0.202113
1,0.033333,30.000000,17,0.121952,False,0.002870,-0.260113,0.052577,0.191394,-0.326720,-0.578500
1,0.033333,30.000000,18,0.292465,False,-0.436380,-0.558129,0.121371,-0.500826,-0.679424,0.164627
1,0.033333,30.000000,19,0.114440,False,-0.016616,-0.273354,0.046722,0.168925,-0.369791,-0.592887
1,0.033333,30.000000,20,0.273920,False,-0.473408,-0.552437,0.115937,-0.540943,-0.682367,0.124731
1,0.033333,30.000000,21,0.099352,False,0.009847,-0.216069,0.063454,0.177189,-0.285003,-0.660563
1,0.033333,30.000000,22,0.267982,False,-0.396722,-0.542863,0.156784,-0.450106,-0.658905,0.181289
1,0.033333,30.000000,23,0.999994,True,-0.019066,-0.013276,-0.007098,-0.016095,-0.024715,-0.023027
1,0.033333,30.000000,24,0.999999,True,0.012937,0.011033,0.011186,0.009746,0.024326,0.025696
1,0.033333,30.000000,25,0.901719,True,-0.034785,-0.155712,-0.117422,-0.059770,-0.233873,-0.082083
1,0.033333,30.000000,26,0.991809,True,0.240408,0.112527,-0.265268,0.252683,0.131556,-0.161390
1,0.033333,30.000000,27,0.885005,True,-0.031633,-0.455002,-0.213046,-0.060247,-0.587421,-0.122962
1,0.033333,30.000000,28,0.974650,True,0.414243,0.333407,-0.328679,0.460596,0.347967,-0.173857
1,0.033333,30.000000,29,0.966895,True,-0.017981,-0.504190,-0.215583,-0.046981,-0.645457,-0.116337
1,0.033333,30.000000,30,0.986096,True,0.437854,0.344214,-0.379594,0.486049,0.357064,-0.213196
1,0.033333,30.000000,31,0.955767,True,-0.037173,-0.610992,-0.237865,-0.084125,-0.762503,-0.125574
1,0.033333,30.000000,32,0.984857,True,0.470488,0.290067,-0.457086,0.512618,0.311276,-0.311552
2,0.066667,30.000000,0,0.999908,True,-0.476562,-0.285225,0.113768,-0.482326,-0.310025,0.142091
2,0.066667,30.000000,1,0.999935,True,-0.488446,-0.260021,0.101736,-0.491048,-0.297672,0.124248
2,0.066667,30.000000,2,0.999930,True,-0.492128,-0.259027,0.110440,-0.494136,-0.297781,0.134136
2,0.066667,30.000000,3,0.999953,True,-0.494479,-0.261636,0.105710,-0.497698,-0.299855,0.128992
2,0.066667,30.000000,4,0.999945,True,-0.505094,-0.260840,0.110587,-0.517021,-0.291244,0.120971
2,0.066667,30.000000,5,0.999941,True,-0.504618,-0.259624,0.100534,-0.516499,-0.290172,0.111080
2,0.066667,30.000000,6,0.999949,True,-0.497547,-0.249618,0.118422,-0.509180,-0.279758,0.129308
2,0.066667,30.000000,7,0.999926,True,-0.457885,-0.200807,0.075958,-0.444773,-0.251347,0.077775
2,0.066667,30.000000,8,0.999889,True,-0.427999,-0.178167,0.186625,-0.452320,-0.194325,0.132554
2,0.066667,30.000000,9,0.999866,True,-0.467514,-0.259891,0.116841,-0.465949,-0.284554,0.139210
